K5P18_1.PV;K0P125.PV
-79.6974;66.64858
-79.69701;67.24525
-79.69375;66.85658
-79.68893;66.80908
-79.68568;66.611
-79.68359;66.79742
-79.68255;66.633
-79.68099;66.59533
-79.67904;66.73016
-79.67773;66.76483
-79.67539;67.0285
-79.67213;67.03567
-79.67097;68.07792
-79.66862;66.48742
-79.66719;66.879
-79.66692;67.04733
-79.66666;67.17983
-79.66537;66.85983
-79.66419;66.94092
-79.6638;66.93066
-79.66211;67.02483
-79.6599;67.55891
-79.65599;67.04775
-79.65586;67.00017
-79.64766;66.25658
-79.64531;66.54625
-79.64518;67.36325
-79.6418;67.22767
-79.63737;67.19209
-79.63659;67.02016
-79.63203;67.336
-79.62826;66.553
-79.625;66.63284
-79.62253;66.72192
-79.62187;67.279
-79.61914;66.8685
-79.61654;67.18625
-79.61549;66.82967
-79.61289;67.02983
-79.61133;67.07584
-79.6112;67.09258
-79.60976;66.936
-79.60873;66.82542
-79.60781;67.16917
-79.60768;66.87109
-79.60495;66.57475
-79.6013;66.85858
-79.60117;67.12167
-79.59792;67.1845
-79.5974;67.04733
-79.59583;67.17192
-79.59323;66.43691
-79.59206;67.33617
-79.58542;66.53809
-79.58529;67.01791
-79.58503;66.81741
-79.58347;67.05317
-79.58268;66.81667
-79.58177;67.4695
-79.5793;67.09925
-79.57722;66.59509
-79.57656;67.19217
-79.57565;66.926
-79.57552;66.60592
-79.57383;66.92142
-79.57304;67.17492
-79.57304;66.97967
-79.57188;67.16409
-79.57109;66.76483
-79.57044;67.21575
-79.5694;67.00259
-79.56628;66.56175
-79.56224;66.83517
-79.56003;66.50517
-79.55664;67.213
-79.5556;67.20441
-79.55196;67.2925
-79.54505;66.99641
-79.54479;66.68475
-79.54349;66.59175
-79.5431;67.20766
-79.54153;66.85533
-79.54128;66.9165
-79.54102;66.92533
-79.53932;67.22958
-79.53776;67.07708
-79.53672;67.34333
-79.53659;67.39066
-79.53216;67.22908
-79.53203;67.2235
-79.52852;67.01825
-79.52474;66.69675
-79.52213;66.27608
-79.52161;66.92517
-79.52135;67.27883
-79.51862;67.46716
-79.51758;67.25159
-79.51393;67.03267
-79.51393;66.484
-79.51159;66.30458
-79.51003;67.07983
-79.50846;66.50808
-79.5026;66.99408
-79.49805;66.69075
-79.49258;67.05067
-79.49101;67.30441
-79.48867;66.93875
-79.48815;67.28491
-79.4862;66.83192
-79.48568;67.129
-79.48073;66.786
-79.47513;68.07708
-79.4698;66.54792
-79.46693;66.826
-79.46432;67.06983
-79.46276;67.36041
-79.46016;66.80859
-79.45313;67.44517
-79.45261;67.57475
-79.45039;67.19383
-79.44714;67.08591
-79.44531;66.943
-79.44427;66.89042
-79.44089;66.95225
-79.43997;66.84983
-79.43958;66.9765
-79.43893;67.19825
-79.43411;66.91508
-79.42656;66.35709
-79.42097;66.8795
-79.41628;67.21758
-79.41511;67.44908
-79.41003;67.01092
-79.40742;67.15134
-79.40247;66.48475
-79.40104;66.69725
-79.39818;67.16425
-79.39726;67.29025
-79.39401;67.11892
-79.39101;67.16225
-79.3905;66.95525
-79.38919;66.91959
-79.38607;66.302
-79.38477;67.08975
-79.38412;67.25608
-79.38307;66.7995
-79.38151;66.50166
-79.38086;67.4545
-79.3806;66.67075
-79.38034;66.98417
-79.3793;67.17392
-79.37656;67.23383
-79.3694;67.4585
-79.36628;67.10008
-79.36406;67.26566
-79.36055;67.10333
-79.35495;67.20292
-79.34779;67.22317
-79.34427;66.39458
-79.34089;67.54325
-79.33997;68.12067
-79.33907;66.55967
-79.33711;66.75875
-79.33594;67.40608
-79.33581;66.9965
-79.32774;66.6405
-79.3224;66.66058
-79.31862;67.25058
-79.31836;67.23417
-79.31641;67.21167
-79.31341;67.11217
-79.31315;67.41433
-79.31003;66.35792
-79.30977;66.99875
-79.30872;66.93417
-79.30872;67.121
-79.30469;67.02317
-79.29987;67.12759
-79.29922;66.96508
-79.29883;66.41575
-79.29597;66.9185
-79.29531;66.80558
-79.29362;67.2355
-79.2931;67.34792
-79.29297;67.20942
-79.29063;66.74008
-79.2849;66.95492
-79.28464;66.62033
-79.28177;67.46833
-79.27122;67.0515
-79.27097;66.47125
-79.27018;66.89958
-79.26849;67.11758
-79.26745;67.4515
-79.26653;66.91617
-79.26588;67.05592
-79.25742;66.96833
-79.25638;67.116
-79.25039;66.75167
-79.24609;67.12217
-79.24297;67.02567
-79.24219;67.29716
-79.24141;66.33883
-79.23997;66.931
-79.23828;67.409
-79.23555;67.31467
-79.23438;66.7945
-79.23425;67.21259
-79.23008;66.94067
-79.22865;67.14875
-79.21966;67.43025
-79.21784;67.16859
-79.21745;67.04375
-79.21615;66.70409
-79.21549;66.77808
-79.21302;67.25833
-79.21263;67.31908
-79.21263;67.20742
-79.21029;67.3665
-79.20937;66.95908
-79.20937;67.232
-79.20872;66.53584
-79.20403;66.95758
-79.19857;66.36709
-79.19505;67.38658
-79.19453;66.53275
-79.19076;67.10066
-79.1905;67.09409
-79.18997;67.23042
-79.18737;66.76241
-79.18464;66.81892
-79.18464;66.97625
-79.1819;67.04775
-79.18138;67.109
-79.17956;67.16225
-79.1776;66.98717
-79.17722;67.094
-79.17539;67.42733
-79.17226;66.96267
-79.17213;67.24191
-79.17162;66.9165
-79.16875;67.25191
-79.16615;67.59267
-79.1608;66.5285
-79.16068;67.39858
-79.16055;66.69784
-79.15872;66.706
-79.15781;66.79758
-79.15703;66.47867
-79.15638;66.57808
-79.15052;67.45992
-79.15013;67.03592
-79.14427;67.40383
-79.14011;66.50575
-79.1362;66.73933
-79.13399;67.30766
-79.13333;67.22025
-79.13034;67.089
-79.12813;67.16742
-79.12734;66.86575
-79.12135;67.03025
-79.11953;67.17667
-79.11927;67.28875
-79.11862;67.00742
-79.1168;66.98866
-79.1151;66.40525
-79.11315;66.64667
-79.11263;66.66891
