K5PCV5I.PV;K5PCV6I.PV
97.26818;97.37646
97.26807;97.49219
97.26781;97.34953
97.26781;97.39989
97.2676;97.34688
97.2674;97.38458
97.2674;97.49219
97.26682;97.38594
97.26651;97.37875
97.2664;97.49422
97.26625;97.36875
97.2662;97.37521
97.26614;97.36922
97.26588;97.35302
97.26578;97.35609
97.26573;97.3475
97.26563;97.37594
97.26531;97.34776
97.26511;97.36292
97.265;97.37563
97.26469;97.36354
97.26401;97.34818
97.26365;97.38401
97.2636;97.34797
97.26349;97.33344
97.26339;97.49193
97.26323;97.37458
97.26276;97.35912
97.26255;97.49219
97.26245;97.39271
97.26234;97.33573
97.26229;97.35719
97.26229;97.38307
97.26224;97.37927
97.26203;97.5075
97.26172;97.39223
97.26172;97.38797
97.26161;97.36135
97.26161;97.36443
97.26141;97.49922
97.2613;97.3938
97.2612;97.36021
97.2612;97.38094
97.26094;97.3612
97.26089;97.3911
97.26078;97.3911
97.26073;97.35953
97.26073;97.40276
97.26026;97.35786
97.26026;97.38448
97.2601;97.38073
97.26;97.49807
97.25995;97.39516
97.25969;97.36005
97.25953;97.34969
97.25948;97.39584
97.25943;97.36156
97.25938;97.37979
97.25932;97.35854
97.25932;97.4937
97.25922;97.49807
97.25917;97.49693
97.25906;97.35834
97.25906;97.38453
97.25901;97.3451
97.25896;97.35036
97.25875;97.36115
97.2586;97.36271
97.25854;97.35932
97.25829;97.50479
97.25823;97.35661
97.25818;97.36849
97.25802;97.38901
97.25802;97.50464
97.25792;97.35927
97.25781;97.49443
97.25781;97.50073
97.25771;97.35604
97.25771;97.39818
97.25766;97.37959
97.25766;97.51089
97.25761;97.39568
97.25755;97.39151
97.25755;97.38479
97.2575;97.36359
97.25724;97.35709
97.25719;97.40031
97.25677;97.50578
97.25672;97.49239
97.25667;97.49864
97.25656;97.36146
97.25656;97.49656
97.25604;97.38604
97.25594;97.36333
97.25584;97.38292
97.25578;97.36474
97.25578;97.35547
97.25578;97.49557
97.25542;97.37386
97.25542;97.4963
97.25468;97.38547
97.25448;97.39005
97.25417;97.49339
97.25411;97.39
97.25411;97.3886
97.25401;97.40125
97.2538;97.39172
97.2538;97.3912
97.2538;97.50313
97.2537;97.39198
97.25365;97.50219
97.25359;97.35354
97.25349;97.39578
97.25323;97.38495
97.25286;97.38031
97.25276;97.5087
97.25271;97.38271
97.25271;97.38963
97.25271;97.50099
97.25266;97.34412
97.25234;97.51047
97.25214;97.38495
97.25193;97.40005
97.25162;97.39469
97.25151;97.39864
97.25146;97.38506
97.25057;97.36135
97.24974;97.39339
97.24958;97.38213
97.24953;97.38589
97.24922;97.3876
97.24911;97.39151
97.24849;97.39651
97.24838;97.38213
97.24792;97.38469
97.24766;97.50146
97.24724;97.39719
97.24713;97.3764
97.24713;97.50645
97.24709;97.35464
97.24698;97.39442
97.24682;97.51443
97.24667;97.34812
97.24661;97.38161
97.24656;97.39735
97.24651;97.38578
97.24646;97.34016
97.24625;97.44698
97.24625;97.34843
97.24609;97.38307
97.24599;97.34573
97.24594;97.3537
97.24594;97.50339
97.24593;97.50562
97.24589;97.39099
97.24583;97.34583
97.24567;97.38422
97.24547;97.49323
97.24532;97.34849
97.245;97.40308
97.24495;97.38333
97.2449;97.50365
97.24484;97.39708
97.24474;97.34521
97.24458;97.34016
97.24458;97.39901
97.24448;97.39521
97.24448;97.39151
97.24427;97.34443
97.24427;97.50099
97.24422;97.34541
97.2439;97.385
97.24385;97.50219
97.24349;97.39599
97.24344;97.34802
97.24297;97.35567
97.24287;97.40005
97.24265;97.4001
97.24239;97.38323
97.24224;97.39838
97.24193;97.40432
97.24156;97.40052
97.24151;97.37688
97.2413;97.38589
97.2412;97.34828
97.2411;97.50625
97.24104;97.50427
97.24084;97.34458
97.24083;97.40068
97.24078;97.38557
97.24073;97.51031
97.24057;97.40068
97.24052;97.39599
97.24042;97.5001
97.24021;97.35766
97.24021;97.38213
97.23994;97.49792
97.23979;97.39448
97.23974;97.45328
97.23959;97.40135
97.23948;97.40057
97.23948;97.3838
97.23943;97.39823
97.23932;97.38125
97.23922;97.3838
97.23911;97.39796
97.2387;97.39037
97.23859;97.39474
97.23812;97.39328
97.23802;97.37937
97.23776;97.45552
97.2376;97.39104
97.23745;97.39984
97.2374;97.34323
97.23734;97.40161
97.23729;97.3949
97.23672;97.38265
97.23646;97.38151
97.23646;97.50297
97.23636;97.45323
97.23635;97.38635
97.23563;97.32948
97.23505;97.51396
97.23489;97.4599
97.23463;97.43948
97.23463;97.39995
97.23454;97.40157
97.23454;97.38922
97.23438;97.4599
97.23427;97.50797
97.23412;97.44797
97.23406;97.43844
97.23401;97.5038
97.23391;97.3988
97.23386;97.39838
97.23344;97.4437
97.23338;97.50573
97.23323;97.45302
97.23323;97.39495
97.23318;97.45245
97.23312;97.46188
97.23286;97.38338
97.23266;97.3549
97.23224;97.44636
97.23183;97.45771
97.23183;97.34917
97.23167;97.34422
97.23156;97.45948
97.2313;97.45094
97.2312;97.4638
97.2312;97.44917
97.23089;97.44333
97.23089;97.51391
97.23083;97.45927
97.23078;97.45427
97.23073;97.50558
97.23067;97.35219
97.23063;97.39433
97.23021;97.45641
97.22969;97.34235
97.22964;97.39781
97.22958;97.39854
97.22942;97.39953
97.22932;97.43656
97.22906;97.44891
97.22896;97.38453
97.22839;97.45484
97.22792;97.39073
97.22776;97.50057
97.22771;97.38714
97.22761;97.45703
97.22755;97.29932
97.2275;97.50588
97.22724;97.45755
97.22713;97.45307
97.22713;97.44463
97.22704;97.33323
97.22693;97.45364
97.22656;97.44906
97.2263;97.34235
97.22604;97.45714
97.22568;97.45531
97.22568;97.44708
97.22562;97.39552
97.22557;97.44693
97.22552;97.31578
97.22547;97.44849
97.22547;97.32156
97.22526;97.33573
97.22479;97.43755
97.22459;97.33807
97.22459;97.40203
97.22459;97.3888
97.22396;97.38432
97.22396;97.39256
97.22385;97.44354
97.22375;97.32739
97.22349;97.39088
97.22339;97.305
97.22339;97.34776
97.22338;97.29313
97.22334;97.45963
97.22334;97.37406
97.22328;97.50349
97.22256;97.3876
97.22214;97.46989
97.22214;97.45797
97.22208;97.4675
97.22203;97.38401
97.22198;97.45969
97.22198;97.44765
97.22192;97.39365
97.22188;97.45047
97.22188;97.38412
97.22162;97.46755
97.22141;97.30729
97.2212;97.31625
97.22109;97.46792
97.22109;97.3862
97.22104;97.31297
97.22099;97.38599
97.22078;97.33297
97.22068;97.39208
97.22063;97.3289
97.22057;97.44067
97.22052;97.43979
97.22037;97.46646
97.22031;97.32922
97.22031;97.37521
97.22005;97.42958
97.22005;97.43031
97.22;97.43224
97.21995;97.46385
97.21995;97.38511
97.21995;97.49229
97.21984;97.4024
97.21974;97.44891
97.21969;97.32584
97.21953;97.44896
97.21953;97.31229
97.21938;97.42385
97.21938;97.37766
97.21932;97.46297
97.21927;97.46667
97.21927;97.38562
97.21906;97.43271
97.21896;97.39521
97.21886;97.45338
97.2188;97.38287
97.21859;97.39417
97.21854;97.50245
97.21849;97.46438
97.21849;97.32468
97.21807;97.39562
97.21792;97.3125
97.21771;97.30375
97.2177;97.39433
97.21755;97.2877
97.21724;97.44563
97.21713;97.39114
97.21698;97.38146
97.21693;97.31844
97.21651;97.43333
97.21635;97.30187
97.21635;97.40182
97.21625;97.46166
97.21625;97.39771
97.21619;97.4424
97.21615;97.43083
97.21615;97.37959
97.21604;97.46349
97.21604;97.4288
97.21593;97.38635
97.21584;97.39094
97.21578;97.30911
97.21578;97.39411
97.21568;97.43645
97.21568;97.48677
97.21536;97.41422
97.21531;97.46521
97.21531;97.43604
97.21531;97.4087
97.21505;97.41521
97.21469;97.42313
97.21448;97.43557
97.21442;97.30594
97.21432;97.38729
97.21427;97.39464
97.21411;97.40052
97.21411;97.40984
97.21407;97.46828
97.21407;97.38156
97.21396;97.45963
97.21396;97.43057
97.21344;97.43245
97.21344;97.43146
97.21328;97.29078
97.21323;97.38229
97.21265;97.28854
97.21255;97.42714
97.21245;97.40781
97.21229;97.44432
97.21223;97.43912
97.21208;97.285
97.21203;97.48885
97.21193;97.48281
97.21167;97.39558
97.21151;97.43844
97.21146;97.44099
97.2114;97.37833
97.2113;97.39589
97.21088;97.395
97.21078;97.43557
97.21073;97.3237
97.21052;97.43172
97.21026;97.40208
97.21011;97.41365
97.20979;97.43964
97.20979;97.4801
97.20875;97.40787
97.2086;97.41193
97.20844;97.40667
97.20703;97.44411
97.20625;97.43146
97.2062;97.43443
97.20547;97.28526
97.20521;97.48396
97.205;97.40568
97.20479;97.43068
97.20458;97.3925
97.20458;97.44302
97.2036;97.28146
97.2036;97.4375
97.20255;97.43584
97.2025;97.40927
97.20203;97.43083
97.20172;97.40141
97.20151;97.46411
97.20125;97.27891
97.2011;97.28261
97.20068;97.40343
97.20063;97.47115
97.20021;97.28593
97.1999;97.38458
97.19953;97.385
97.19953;97.47536
97.19891;97.36463
97.19891;97.46109
97.19875;97.39401
97.1987;97.46912
97.19839;97.27599
97.19828;97.4762
97.19823;97.3801
97.19818;97.31328
97.19802;97.46526
97.19792;97.46703
97.19791;97.38708
97.19791;97.48605
97.19765;97.43406
97.19745;97.38703
97.1973;97.46411
97.19703;97.3024
97.19693;97.2775
97.19688;97.39052
97.19682;97.46656
97.19682;97.45135
97.19677;97.35261
97.19662;97.38537
97.1964;97.39651
97.19635;97.47953
97.1963;97.29105
97.19625;97.3112
97.1962;97.34885
97.19594;97.36349
97.19594;97.47547
97.19588;97.46896
97.19542;97.39391
97.19511;97.47703
97.19505;97.47052
97.19495;97.3586
97.19489;97.31031
97.19484;97.48505
97.19458;97.46698
97.19458;97.45161
97.19422;97.38391
97.19417;97.46166
97.19411;97.47885
97.19406;97.46984
97.19406;97.48354
97.19401;97.2802
97.19401;97.46438
97.19395;97.39167
97.1938;97.3801
97.19375;97.36312
97.19375;97.46219
97.19365;97.39208
97.19365;97.45563
97.1936;97.35562
97.19344;97.47849
97.19339;97.3788
97.19339;97.46271
97.19338;97.37609
97.19338;97.37255
97.19318;97.39104
97.19308;97.27818
97.19302;97.38974
97.19302;97.28812
97.19281;97.47943
97.19276;97.28568
97.19266;97.24177
97.1926;97.3925
97.19234;97.32255
97.19229;97.47599
97.19193;97.33771
97.19193;97.38786
97.19188;97.29927
97.19183;97.31834
97.19177;97.37745
