K5PC5CH.OP;K5T5_2.PV;K5F3.PV
55.58151;756.3885;3075.224
56.35156;756.3823;3082.711
56.4363;756.375;3090.847
55.52141;756.3729;3080.558
55.45797;756.3719;3047.143
55.20083;756.3682;3081.447
52.72464;756.3536;3061.299
55.32234;756.3521;3038.476
55.48094;756.351;3073.63
55.55854;756.337;3085.163
56.19719;756.3359;3090.021
56.49771;756.3354;3087.38
55.4164;756.326;3077.862
55.47458;756.3229;3087.701
55.4387;756.3229;3083.26
55.42807;756.3109;3080.629
55.6112;756.299;3077.709
52.80745;756.2854;3049.16
55.60552;756.2828;3079.485
56.5412;756.2802;3089.031
55.44323;756.2797;3077.2
54.50255;756.2786;3052.699
55.66563;756.2729;3081.47
52.73802;756.2672;3051.482
52.58334;756.2662;3044.222
55.44917;756.264;3080.773
54.24828;756.2635;3046.748
52.60958;756.2615;3055.74
53.1126;756.2609;3065.118
55.40469;756.2584;3079.364
55.4826;756.2552;3081.563
55.41047;756.2521;3078.899
52.77438;756.2516;3051.458
52.80651;756.2432;3046.174
55.37078;756.2422;3078.925
55.51474;756.2245;3080.1
55.53838;756.2229;3082.279
55.47359;756.2125;3082.516
56.5064;756.2057;3083.801
55.42943;756.2021;3078.583
55.46328;756.1891;3077.848
55.59459;756.1823;3042.183
55.475;756.1807;3075.375
55.32292;756.176;3084.619
55.53245;756.175;3023.489
54.055;756.1703;3038.743
55.46917;756.1698;3075.901
55.71479;756.1646;3087.141
55.21349;756.1557;3083.129
52.79438;756.1536;3052.896
55.16354;756.1479;3079.689
55.49177;756.1401;3088.25
55.63448;756.1297;3074.687
55.59104;756.1276;3030.583
56.43495;756.1198;3099.365
53.18411;756.1193;3063.941
52.6687;756.1188;3046.454
55.61625;756.1172;3087.802
55.39104;756.111;3057.236
55.48115;756.1099;3069.168
55.81604;756.1;3084.619
55.60386;756.0927;3079.207
53.13693;756.0833;3070.804
55.57125;756.0833;3043.888
55.46766;756.0797;3079.81
55.64099;756.0724;3041.516
56.32203;756.0552;3110.157
52.76927;756.0541;3050.893
52.69938;756.0531;3054.873
53.04693;756.038;3064.79
54.90458;756.0271;3066.976
55.50964;756.0203;3084.163
56.51349;756.0167;3088.574
56.44021;756.0162;3091.756
55.56266;756.0146;3080.794
56.60307;756.014;3088.559
55.46271;756.0068;3083.676
55.58229;756.0062;3083.229
53.15964;756.0062;3062.875
55.49089;755.9896;3084.617
52.71906;755.9865;3057.012
55.45599;755.9833;3081.189
52.84292;755.9813;3058.253
56.47193;755.9807;3095.311
52.99026;755.9786;3059.276
55.80297;755.9755;3073.26
52.64672;755.9698;3046.028
52.57422;755.9693;3070.107
56.61031;755.9646;3093.763
55.51969;755.9557;3039.991
52.6899;755.951;3053.615
56.37823;755.9464;3094.731
55.46953;755.9453;3068.629
55.62047;755.9385;3080.079
54.14766;755.9281;3042.507
55.57828;755.9276;3076.617
55.61422;755.9245;3081.986
54.77885;755.9063;3050.554
55.50261;755.899;3051.557
52.80208;755.8979;3052.609
52.80495;755.8865;3036.762
55.47375;755.8771;3037.71
55.51406;755.874;3078.858
55.38177;755.8688;3063.777
55.54047;755.8677;3076.028
55.52448;755.8677;3032.419
56.39182;755.8573;3107.834
55.68193;755.8568;3074.295
55.40828;755.8401;3037.042
56.31839;755.8391;3090.14
55.23104;755.8333;3079.817
56.31662;755.8271;3092
55.52208;755.8271;3078.093
53.0638;755.8172;3064.288
55.45245;755.8156;3081.553
55.35266;755.8052;3077.607
55.51609;755.8031;3080.769
56.21953;755.7948;3100.304
53.04036;755.7932;3061.05
56.36599;755.7917;3086.147
53.03672;755.7906;3068.032
54.40458;755.7859;3041.344
52.75172;755.7839;3047.99
56.34917;755.7651;3093.412
56.44333;755.763;3084.603
55.48672;755.7599;3071.258
56.44057;755.749;3088.669
54.23859;755.7365;3037.633
55.45104;755.7224;3045.082
55.49057;755.7203;3079.088
55.50547;755.7188;3078.769
52.74771;755.7177;3079.512
55.43224;755.7109;3040.406
55.41552;755.7094;3035.535
55.46391;755.7089;3084.601
55.13906;755.7005;3074.434
55.39995;755.6969;3081.935
52.77594;755.6948;3053.68
55.49729;755.6896;3083.691
56.36302;755.688;3090.178
55.34167;755.687;3069.865
56.35552;755.6797;3083.093
56.43542;755.6755;3092.631
55.7249;755.6755;3078.545
52.65339;755.6661;3055.318
56.25463;755.6656;3088.078
55.29734;755.6604;3085.541
55.57125;755.6542;3076.182
55.20406;755.6453;3087.323
56.23859;755.6443;3084.757
56.48479;755.6417;3106.709
55.43114;755.6417;3074.487
55.41964;755.6396;3080.265
55.44677;755.6354;3070.333
55.48938;755.6354;3045.494
52.54344;755.6344;3049.505
55.39396;755.6323;3087.6
52.74479;755.6312;3070.442
52.7099;755.6276;3049.396
53.12927;755.6229;3062.968
55.5825;755.6213;3080.995
52.51453;755.6156;3051.071
52.49162;755.6068;3051.551
52.90766;755.6057;3064.762
55.42224;755.601;3084.341
55.34729;755.5964;3084.073
55.52422;755.5927;3037.017
55.3812;755.588;3076.693
55.535;755.587;3042.743
52.65286;755.5781;3048.04
52.73703;755.5765;3052.294
55.30927;755.5709;3083.55
