K5PC5CH.OP;K5PCV5I.PV;K5T4.PV;K5T18_2.PV;K5PC6CH.OP;K5T9_2.PV;K5PCV6I.PV;K5T10_1.PV;K5T10_2.PV
18.19312;94.52239;99.73448;65.70354;32.41578;26.96323;94.60474;68.48302;85.9799
22.39849;94.1337;99.73364;69.04354;35.52651;21.76281;94.55078;81.42834;85.51667
17.48375;94.25291;99.73281;65.26104;32.75037;25.48833;94.26823;69.74364;86.20594
17.365;94.23994;99.73187;65.21;32.74906;24.93354;94.2463;70.76656;86.1475
17.76995;94.45828;99.73093;65.90334;32.77208;25.23479;94.44193;69.18646;86.48656
17.14589;94.23109;99.73073;65.3575;32.74599;25.35552;94.25651;71.34666;86.22417
19.99234;94.54271;99.72958;65.63729;33.46828;17.54073;94.55901;66.66489;84.15907
18.11958;94.24156;99.72906;67.11021;32.80974;27.01083;94.3214;72.50906;87.24052
17.51828;94.2437;99.72781;65.27896;32.73412;24.98313;94.24114;70.91489;86.13062
18.03411;94.50339;99.72719;66.56167;32.35849;24.55562;94.63396;68.35927;85.60938
17.45828;94.24641;99.72479;64.95667;32.74599;25.0401;94.25099;69.90396;86.10989
18.05464;94.33636;99.72208;66.67687;32.7712;26.16344;94.285;69.46239;86.76406
22.51964;94.12813;99.72157;68.98854;35.57;21.51521;94.53526;81.43271;85.4474
22.40344;94.13276;99.72083;68.81313;35.57859;21.2876;94.5313;81.43229;85.42687
18.39865;94.47047;99.71886;66.60458;32.81182;25.68188;94.69141;68.81635;86.22761
17.51896;94.25255;99.71719;65.05771;32.76213;25.3925;94.3;69.46593;86.05782
17.55562;94.26037;99.71635;66.59812;32.78437;26.15052;94.25406;71.96584;86.63823
19.71818;94.53838;99.71479;65.60396;33.44386;18.18156;94.55437;66.77927;84.35552
22.36453;94.13635;99.71438;69.13313;35.38713;18.74885;94.50297;81.33688;84.9549
20.63016;94.5587;99.71354;66.33542;34.15844;19.63344;94.55255;67.31239;84.67792
18.10057;94.50792;99.71177;66.3075;32.37005;24.35208;94.6274;68.36625;85.57917
26.51505;94.04089;99.70834;66.22146;39.10469;11.63344;94.21516;79.32125;82.68042
18.05661;94.49245;99.70823;66.69979;32.33625;24.36948;94.7012;68.76708;86.09427
18.81995;94.50151;99.7074;66.02979;32.69844;23.27615;94.75557;68.16198;85.39365
17.83943;94.51688;99.70615;66.15375;32.26786;23.41708;94.5524;67.82542;85.25896
18.15599;94.45313;99.70615;66.1425;32.72271;24.07552;94.55666;68.72739;86.02708
29.81016;94.15703;99.70427;68.42083;41.40714;13.99854;94.31354;78.68156;83.30885
17.96432;94.49427;99.70302;66.59125;32.35042;23.71021;94.66474;68.57698;85.955
17.54682;94.34635;99.70146;66.23271;32.79839;25.87729;94.29354;69.43365;86.89104
17.99708;94.46797;99.69469;65.86271;32.76286;25.08458;94.52474;68.95094;86.22958
17.51682;94.26041;99.6926;64.94958;32.72229;25.15635;94.30719;69.29115;85.96291
17.94656;94.45515;99.69177;66.30167;32.71182;24.16781;94.55833;68.75146;86.04813
18.30271;94.48099;99.69052;66.74313;32.7401;25.08229;94.785;68.63198;85.87959
20.50687;94.56396;99.68854;66.28687;34.21312;19.98771;94.5537;67.37833;84.58292
22.33958;94.12572;99.68708;68.79521;35.46188;18.9976;94.54745;80.84698;85.44896
17.57516;94.26214;99.6849;66.61188;32.77354;25.82115;94.24729;71.95615;86.63313
17.43599;94.23891;99.68417;65.38417;32.7325;24.71531;94.25;70.74969;86.16146
22.31849;94.13734;99.68343;69.03542;35.53854;19.83781;94.50109;81.07781;85.05531
29.59141;94.15614;99.68219;68.23334;41.34349;13.49344;94.31453;78.56895;83.24771
18.59542;94.48213;99.67979;66.77375;32.73989;25.07385;94.7912;68.60115;85.8626
27.26823;94.03609;99.67677;66.38958;39.26286;14.59469;94.21948;79.29459;82.87937
18.06464;94.51703;99.67625;65.95021;32.22281;23.29354;94.54901;67.87167;85.33511
18.69708;94.48859;99.67604;65.62375;32.67615;22.55229;94.72453;67.72489;84.9
22.31245;94.13401;99.67573;69.15125;35.57787;21.66708;94.53448;81.37625;85.51334
18.77979;94.48797;99.6749;65.39167;32.64266;21.7401;94.73474;67.70458;84.90833
22.40458;94.12745;99.67458;68.90916;35.5387;20.09302;94.5475;80.86083;85.51437
17.37292;94.22948;99.67386;65.38708;32.75604;25.28437;94.26146;71.35604;86.20177
18.23802;94.4988;99.67323;66.78229;32.35437;24.01833;94.69078;68.66302;86.06084
17.56271;94.30927;99.67094;65.34896;32.75667;25.69021;94.31974;69.23063;86.29729
17.45526;94.23933;99.67062;65.37813;32.76156;25.5975;94.25588;70.23521;86.15781
17.52287;94.32745;99.66958;65.04854;32.73948;25.15646;94.33807;69.05511;86.21292
22.365;94.14313;99.66729;68.92229;35.34292;19.44896;94.4938;81.25854;84.74052
17.39099;94.24099;99.66698;65.12605;32.75026;25.16167;94.25828;70.025;86.08688
18.13031;94.47157;99.66104;66.54021;32.77974;25.20458;94.59792;68.95844;86.39177
18.66214;94.49984;99.66031;66.12959;32.7;23.80136;94.75245;68.15667;85.42792
17.67005;94.34354;99.65802;66.53896;32.79292;26.21792;94.28625;69.49333;86.80073
22.35828;94.13875;99.65656;69.09563;35.5612;20.77563;94.49651;81.17844;85.16031
17.74484;94.3439;99.65594;66.55625;32.8201;25.77958;94.3;69.46365;86.90406
17.67755;94.25464;99.655;64.70271;32.73234;25.33083;94.31594;69.39448;86.0375
17.62568;94.23089;99.65479;65.52937;32.73182;24.73156;94.25459;70.36813;86.15698
18.43698;94.47182;99.65302;66.58396;32.80469;25.31844;94.59464;68.92615;86.34187
17.97177;94.4612;99.65281;66.24083;32.75797;25.11417;94.5325;68.93114;86.23625
18.07948;94.49755;99.6526;67.0377;32.33604;25.13115;94.7275;68.82448;86.21625
22.42953;94.1301;99.65125;68.79229;35.49422;19.36656;94.54646;81.25698;85.57375
17.46568;94.28661;99.65021;64.91708;32.72031;24.83375;94.3037;69.27042;86.19312
18.0788;94.50948;99.65011;65.87125;32.28547;22.75875;94.6275;68.23333;85.5323
22.25615;94.13322;99.64604;68.79208;35.55635;19.17979;94.54485;80.84615;85.43271
22.27953;94.13026;99.64552;68.97375;35.50516;19.53396;94.54823;81.19177;85.5925
17.24766;94.23808;99.64479;65.39938;32.73922;25.06667;94.2512;70.55063;86.17667
17.61656;94.26146;99.64407;66.72646;32.78547;26.02052;94.26312;72.08041;86.57521
18.75234;94.49151;99.64323;66.01041;32.69417;23.83146;94.73573;67.94271;85.2324
19.74531;94.54688;99.64198;65.74458;33.39745;19.26792;94.58183;67.24802;84.5425
25.55698;94.21317;99.64083;66.53834;39.14838;12.99323;94.22271;79.60635;82.75636
18.36078;94.47271;99.64063;66.49479;32.78646;25.21313;94.60213;68.915;86.36042
17.88443;94.45099;99.63895;65.88937;32.75203;24.59;94.52156;68.83573;86.02427
18.26583;94.50776;99.63677;65.64417;32.3539;22.36229;94.63235;68.1676;85.5574
17.38672;94.23865;99.63604;65.39875;32.73906;24.94437;94.24771;70.72531;86.10552
24.45771;94.21359;99.63479;66.57917;38.89547;13.3149;94.22562;79.56667;82.7226
18.43026;94.47588;99.63375;66.82229;32.7413;24.74198;94.78057;68.63594;85.88261
22.28323;94.14677;99.62979;68.98312;35.54698;21.30479;94.5063;81.29406;85.1975
19.49104;94.53698;99.62968;66.2975;33.51979;20.78594;94.5312;67.08469;84.28573
17.6426;94.29881;99.62968;65.40334;32.73938;25.32312;94.30688;69.28938;86.34177
