K5T3.PV;K5TCV2I.PV;K5L2.PV
204.2444;11.17797;294.8472
204.8377;10.35896;294.8472
202.4033;11.80234;294.8469
201.2342;11.38568;294.8469
204.8139;11.1824;294.8462
204.1548;11.18495;294.8456
202.0348;11.80615;294.8456
204.3002;11.19042;294.8449
203.7737;10.34688;294.8443
204.576;11.19286;294.8413
207.1802;15.18672;294.8413
202.1613;11.79943;294.841
204.3679;10.34901;294.8407
204.376;11.1775;294.8403
205.2306;10.34953;294.8394
204.6592;10.35484;294.8394
204.3765;11.18385;294.8383
201.5796;11.37714;294.837
199.9198;15.70667;294.8344
201.3348;11.38177;294.8344
201.8052;11.79833;294.8341
204.3292;10.35635;294.8338
203.3673;11.18859;294.8334
202.2523;11.79505;294.8328
204.2733;10.34432;294.8321
201.1621;11.38151;294.8321
201.1837;11.38828;294.8321
206.4448;11.3687;294.8315
197.9106;14.25021;294.8311
204.1985;10.36146;294.8308
204.2025;11.17865;294.8305
204.4206;11.1874;294.8302
204.6781;11.17969;294.8302
204.1671;10.34417;294.8298
204.3696;11.18323;294.8285
204.0894;10.34479;294.8279
195.9292;14.77885;294.8279
204.4806;11.17646;294.8275
204.5083;11.17859;294.8272
201.5454;11.37526;294.8272
204.4967;11.17609;294.8259
204.2367;10.3576;294.8256
204.1644;10.34786;294.8249
206.7646;16.72599;294.8249
204.1996;11.18901;294.8242
204.2523;10.33745;294.8239
197.9392;14.25255;294.8239
206.3079;11.36563;294.8236
204.4083;11.18833;294.8233
204.2079;10.35188;294.8233
199.3742;12.31365;294.8226
204.0104;10.35135;294.8223
205.1998;10.34297;294.8213
207.3242;18.49047;294.8213
202.0525;11.80104;294.8213
201.4935;11.37422;294.8206
201.426;11.37729;294.8206
198.2215;14.26745;294.8193
201.4067;11.38203;294.8193
204.8127;11.17818;294.8183
204.3556;11.17589;294.8177
204.5431;11.18318;294.8177
198.2039;14.26287;294.8177
197.0219;12.15896;294.8177
204.2371;11.18891;294.8167
203.9825;11.17615;294.8167
204.0104;11.18578;294.8167
204.7663;10.36297;294.8164
204.2335;10.35245;294.8164
204.314;11.18214;294.8154
