K5PS14_2.PV;K5T6.PV;K5P10.PV;K5LCV1I.PV;K5F5.PV;K5T14.PV;K5TCV2I.PV;K5F6X.PV;K5T15.PV;K5P8.PV;K5T17.PV
4.219819;178.465;4.264313;55.71375;39.6173;366.1294;41.67219;34.44974;122.2025;3.939806;133.5638
4.277287;176.6475;4.294562;51.67094;37.58266;364.8563;41.67594;31.02877;122.8412;3.992344;133.5619
4.195837;169.505;4.179594;45.57438;33.21506;353.94;20.40969;26.2951;122.1663;3.919144;133.5619
4.201594;170.1437;4.1825;45.59781;33.23147;353.8969;23.98594;26.78946;122.1438;3.919219;133.5556
4.277663;176.6225;4.28375;51.39531;36.39728;365.46;41.66563;31.0787;122.8037;3.988256;133.55
4.276725;176.6013;4.286094;51.40156;36.38205;365.5144;41.675;31.14053;122.7675;3.991744;133.5406
4.278694;176.6625;4.29;51.67844;37.52612;364.9331;41.67344;31.11527;122.865;3.9948;133.535
4.199512;170.2863;4.187094;46.05969;33.22274;354.285;24.65031;26.83814;122.1087;3.921225;133.535
4.200844;170.165;4.183562;46.05344;33.22974;354.15;24.60687;26.8801;122.2025;3.921806;133.5338
4.200263;170.2387;4.1885;46.06063;33.20035;354.075;24.58031;26.95689;122.1213;3.922594;133.5294
4.2177;177.24;4.238344;51.13781;37.06163;368.1094;41.65375;32.91822;121.7788;3.942975;133.5275
4.268306;177.0925;4.267938;49.31562;35.52793;365.1937;41.67313;31.11912;121.9275;3.982069;133.5275
4.254131;176.9725;4.275281;51.22906;37.73968;367.7794;41.68781;32.98748;121.1362;3.972094;133.5238
4.275019;176.5013;4.280906;51.39188;36.39104;365.8012;41.68188;31.05633;122.7238;3.988612;133.5219
4.214719;178.4075;4.253031;55.68156;39.49619;365.9644;41.67062;34.28684;122.2288;3.936713;133.5163
4.276388;176.525;4.279594;51.39687;36.39063;365.5912;41.67656;31.13456;122.7438;3.985687;133.5125
4.217006;177.1563;4.231656;49.52063;36.66465;368.04;41.70875;32.93428;121.7525;3.939469;133.5094
4.274457;176.5163;4.284;51.3875;36.40047;365.5706;41.67656;30.95851;122.7525;3.987056;133.505
4.277156;176.57;4.285656;51.39437;36.38448;365.5237;41.67656;31.04455;122.6988;3.987187;133.5031
4.199944;170.395;4.18975;46.06;33.226;354.3206;26.6275;26.84634;122.1212;3.921937;133.5006
4.196438;169.5038;4.181594;45.56937;33.29905;353.6137;20.42625;26.25481;122.1413;3.918206;133.5
4.278694;176.5788;4.291094;51.66969;37.57182;364.9463;41.69437;31.02226;122.865;3.989794;133.4962
4.258294;177.8737;4.272625;51.8325;37.58747;364.8319;41.68531;30.62522;122.3825;3.967387;133.4925
4.273781;176.4937;4.279687;51.39812;36.40488;365.7;41.69313;30.96466;122.65;3.989156;133.4925
4.199925;170.46;4.1885;46.055;33.28965;354.5887;28.03156;27.05952;122.0925;3.92355;133.4919
4.257656;179.7962;4.300031;55.85031;40.29321;366.6638;41.67844;33.17854;122.6862;3.970988;133.4906
4.25325;176.8938;4.274062;51.17781;37.89011;367.6031;41.67313;32.98406;121.1438;3.96825;133.4794
4.269187;177.0313;4.26625;49.32281;35.55268;365.25;41.68969;31.22693;121.8812;3.982687;133.4763
4.211137;178.3737;4.243093;55.68687;39.359;365.715;41.70219;34.08244;122.2612;3.930769;133.4762
4.274231;176.44;4.284688;51.38719;36.39727;365.8238;41.67969;30.98186;122.6625;3.987694;133.475
4.274681;176.4175;4.282813;51.39406;36.36988;365.85;41.67031;31.11513;122.6175;3.981244;133.4662
4.2006;170.4725;4.18075;46.04875;33.26954;354.7575;28.025;26.99335;122.155;3.924562;133.4656
4.269187;176.955;4.272656;49.3225;35.59748;365.295;41.70406;31.15162;121.91;3.9861;133.4637
4.277475;176.5838;4.293156;51.67219;37.49835;364.8844;41.68468;30.89063;122.8975;3.98715;133.4612
4.208925;178.36;4.248937;55.69281;39.43936;365.7787;41.70719;33.93541;122.2675;3.927469;133.4569
4.201481;170.5462;4.189094;46.04688;33.32788;354.8981;28.86031;27.09296;122.0938;3.924994;133.4544
4.204294;170.6;4.191469;46.06094;33.30931;354.8663;30.52531;27.20715;122.0975;3.919856;133.4481
4.215675;176.9837;4.236594;50.39313;37.22202;368.0419;41.68875;32.9341;121.7425;3.942431;133.4413
4.275187;176.3925;4.283219;51.39531;36.45418;365.9775;41.6775;31.04123;122.5925;3.988106;133.4388
4.276219;176.3638;4.289125;50.805;36.41719;365.8144;41.66938;31.08433;122.6062;3.992381;133.4369
4.258556;177.7613;4.273344;52.57344;37.71111;364.7437;41.69125;30.53883;122.3938;3.969281;133.435
4.277287;176.5275;4.296094;51.67312;37.55245;364.7325;41.67;30.94026;122.8363;3.992625;133.4287
4.268869;176.9;4.271531;49.32687;35.57112;365.2706;41.66563;31.2389;121.9037;3.989569;133.4263
4.206506;178.3663;4.251219;56.92375;40.34089;365.5669;41.66594;33.74514;122.2438;3.924263;133.4244
