K5T6.PV;K5P10.PV;K5LCV1I.PV;K5F5.PV;K5T14.PV;K5F6X.PV
176.5825;4.228156;50.86625;37.51233;368.0494;32.79553
177.6375;4.315625;53.66969;39.03316;367.005;32.79521
177.3125;4.283563;54.44938;39.84356;366.4894;32.79515
177.3587;4.321562;55.9675;40.12154;366.8606;32.79462
177.455;4.310562;54.45875;38.66069;367.5169;32.7937
177.6875;4.313875;53.66813;39.00987;366.9113;32.79354
177.31;4.312593;54.31562;38.02613;367.7494;32.79329
177.5063;4.314219;54.28938;39.08364;367.3763;32.79277
176.3062;4.225344;50.875;37.46595;367.6125;32.79276
177.865;4.278063;54.68063;39.13738;366.6056;32.79261
176.7775;4.318531;53.59156;38.98618;367.545;32.79198
177.5825;4.321281;53.98219;39.05721;367.485;32.79077
177.4875;4.327031;54.04937;38.79182;366.8063;32.79077
177.65;4.325469;53.52906;38.45132;367.5187;32.79072
177.63;4.315875;54.71437;39.06186;367.7306;32.78952
176.9825;4.307312;54.2975;38.70547;367.5881;32.78876
176.9688;4.310281;53.65031;38.55838;367.4119;32.78868
177.9088;4.322344;55.44719;39.24299;366.6862;32.78864
