K5PC5CH.OP;K5P19_1.PV;K5PC6CH.OP
18.73547;-338.4858;32.69651
18.62786;-338.4829;32.78391
20.51823;-338.4798;32.70755
17.84312;-338.4769;32.7813
19.80651;-338.4764;32.65146
20.47313;-338.4754;32.63364
19.75359;-338.4738;32.72401
18.16849;-338.4675;32.77901
20.20588;-338.4662;32.72771
17.92255;-338.4644;32.28328
18.18536;-338.4637;32.22469
17.91088;-338.4552;32.29854
20.60698;-338.4552;32.79964
20.85552;-338.4546;33.96849
20.77125;-338.4546;33.86828
19.67516;-338.4521;32.62276
19.7537;-338.451;32.69896
19.59021;-338.451;32.70438
18.06917;-338.4446;32.35974
21.03245;-338.4446;33.95453
18.51724;-338.4438;32.89578
20.84599;-338.4371;32.83688
20.66115;-338.4359;32.78573
20.56125;-338.4185;32.74724
22.33724;-338.4181;35.87802
20.57625;-338.4127;32.63906
17.97214;-338.4108;32.30734
18.47651;-338.4044;32.83547
19.78651;-338.4044;32.66338
19.59635;-338.3965;32.70901
19.88599;-338.3958;32.71151
19.29302;-338.3956;32.64646
19.82073;-338.395;32.64021
22.6451;-338.3946;36.13823
21.02385;-338.3919;34.00073
20.42286;-338.3898;34.01328
21.40719;-338.3894;33.98667
20.64526;-338.3894;32.73761
20.2113;-338.384;32.87761
18.11109;-338.3773;32.34594
20.45073;-338.3773;32.78984
18.50193;-338.3723;32.73484
18.30427;-338.371;32.23776
20.58271;-338.3708;33.8675
18.09365;-338.3671;32.15224
21.02599;-338.365;33.99771
20.7324;-338.3625;32.7564
20.53818;-338.3579;32.87193
20.83922;-338.3571;32.73412
19.78906;-338.3525;32.71135
17.96745;-338.3517;32.29083
20.42229;-338.3498;32.78963
19.94583;-338.3467;32.72937
18.0788;-338.3456;32.28547
18.77474;-338.3444;32.71979
17.77974;-338.3429;32.28682
23.01068;-338.3381;36.15068
18.79229;-338.3356;32.70156
20.69417;-338.3289;32.8013
20.13693;-338.3252;33.78276
22.85953;-338.3196;36.15385
20.49297;-338.3171;32.73146
22.63781;-338.3167;36.1576
21.20953;-338.3129;33.95943
18.52339;-338.3115;32.80302
19.81083;-338.3108;32.73307
19.26937;-338.3104;32.59276
20.87161;-338.304;32.72672
20.07432;-338.3019;33.78094
20.1912;-338.2975;32.81203
19.88104;-338.2975;32.65016
18.49443;-338.2969;32.69797
19.6799;-338.2906;32.66083
20.31911;-338.2896;32.82344
19.9126;-338.285;32.67833
19.77073;-338.2765;32.70547
17.38891;-338.2725;32.28729
18.47469;-338.2698;32.77464
18.10411;-338.2696;32.38344
18.55677;-338.2671;32.76823
21.05432;-338.2658;34.00302
20.62771;-338.2642;32.81734
18.06688;-338.2629;32.23286
19.87687;-338.2623;32.71344
19.42599;-338.2592;32.60255
21.46526;-338.2558;34.02552
21.01005;-338.2513;33.97021
20.5162;-338.2487;32.83391
20.99979;-338.2483;33.96062
20.72599;-338.2442;33.88182
20.90219;-338.2435;34.10365
18.65698;-338.2431;32.77526
17.86734;-338.2404;32.21307
20.03703;-338.2404;32.73854
20.44963;-338.2381;32.8187
18.16417;-338.2377;32.35328
20.0799;-338.2365;32.72755
19.89937;-338.2292;32.6862
18.54958;-338.2275;32.74937
18.7226;-338.2273;32.70161
20.2626;-338.2242;33.9325
19.5375;-338.2235;32.65526
19.3862;-338.2192;32.62031
21.25979;-338.2137;33.99396
19.58495;-338.2129;32.64922
19.72412;-338.21;32.64677
18.67729;-338.2044;32.81193
18.43771;-338.201;32.78849
18.12182;-338.1994;32.16354
19.77411;-338.1992;32.72958
19.79391;-338.1954;32.72578
20.22297;-338.1948;32.74229
21.3625;-338.1942;33.92568
20.98167;-338.1908;33.90802
21.10359;-338.1896;33.99016
19.61354;-338.1883;32.69406
20.73927;-338.1829;32.78828
21.21589;-338.1812;34.01375
20.05094;-338.1794;32.79724
