K5PC5CH.OP;K5PC6CH.OP;K5F3.PV;K5P5_1.PV;K5P5_2.PV
56.65359;67.78167;3089.604;-39.45703;-39.84219
56.27536;67.77782;3089.591;-41.14063;-40.91563
56.33464;67.765;3089.548;-38.52422;-41.80859
55.73265;66.41505;3089.529;-40.90625;-41.28516
56.5338;67.80448;3089.305;-43.70937;-39.38125
56.39078;67.67245;3089.193;-40.10938;-35.85625
56.49437;67.73682;3089.16;-41.03047;-41.78125
56.5412;67.77266;3089.031;-38.60547;-41.76172
55.52417;66.39484;3088.925;-38.12188;-39.82265
55.52;66.42411;3088.919;-37.98906;-41.75
56.31984;67.65161;3088.804;-38.9875;-37.39844
55.36911;66.37959;3088.781;-39.23125;-38.98828
56.44057;67.7711;3088.669;-37.94062;-38.69531
56.51349;67.81443;3088.574;-40.32188;-44.75469
55.14672;66.40021;3088.572;-38.18438;-39.63438
56.60307;67.78995;3088.559;-38.46484;-40.60547
55.50182;66.33255;3088.528;-40.39453;-40.98672
55.4662;66.36089;3088.516;-38.36875;-44.13515
56.44761;67.75661;3088.494;-40.40078;-40.2289
55.35151;66.35979;3088.336;-41.67188;-40.04219
55.60146;66.46578;3088.268;-39.21094;-38.35469
56.53849;67.77974;3088.26;-42.35234;-42.16172
55.49177;66.3888;3088.25;-39.71172;-38.90937
52.69927;63.48156;3088.195;-35.4375;-43.85
55.65047;66.41281;3088.189;-41.86172;-38.90781
55.51208;66.38635;3088.166;-41.19453;-38.22109
56.53323;67.84099;3088.084;-40.63438;-40.19375
56.25463;67.71021;3088.078;-39.19609;-40.38359
56.5113;67.78047;3087.992;-38.73828;-40.78672
56.14766;67.56906;3087.978;-40.08984;-40.88828
55.61625;66.39162;3087.802;-40.1875;-38.79297
55.58916;66.35552;3087.798;-40.38906;-37.58047
55.4439;66.40396;3087.784;-39.09687;-40.01875
55.57953;66.40427;3087.743;-40.30235;-38.68125
55.48265;66.39047;3087.704;-38.56641;-40.94453
56.52047;67.79745;3087.701;-40.29375;-40.49453
55.47458;66.38125;3087.701;-44.28984;-41.90469
55.23964;66.29365;3087.698;-37.96563;-41.47031
56.49682;67.73438;3087.686;-40.82109;-42.1875
55.39396;66.32088;3087.6;-42.31875;-40.92656
55.50089;66.35802;3087.439;-39.30469;-40.12344
55.66193;66.40312;3087.381;-41.03828;-39.0875
56.49771;67.81;3087.38;-38.79688;-43.18047
55.20406;66.42735;3087.323;-40.59922;-40.82578
56.23406;67.50307;3087.318;-40.55469;-40.03594
55.43489;66.36443;3087.3;-40.03359;-39.64453
55.45839;66.35344;3087.174;-41.51328;-37.15234
55.71479;66.3924;3087.141;-37.10547;-37.63281
55.48302;66.3839;3087.102;-37.92969;-39.69375
56.44708;67.85943;3086.973;-40.49141;-39.17891
55.54713;66.34099;3086.927;-42.22422;-40.72266
55.73453;66.32938;3086.844;-39.98047;-41.27969
55.80698;66.38458;3086.8;-39.3125;-41.53828
56.50964;67.79583;3086.796;-39.5875;-40.04297
55.60844;66.37594;3086.771;-38.06953;-40.29688
55.40526;66.34213;3086.751;-35.64687;-39.43359
56.38432;67.80089;3086.68;-41.90781;-44.84219
56.2962;67.64407;3086.63;-40.00312;-35.40313
55.60693;66.39739;3086.555;-40.14297;-39.64141
56.49656;67.7937;3086.536;-37.66406;-38.0211
56.38922;67.74073;3086.429;-38.89766;-38.22266
55.51963;66.36068;3086.392;-40.24844;-39.94141
56.44292;67.82224;3086.368;-39.10859;-38.46875
55.59896;66.40192;3086.351;-38.56406;-40.74531
55.34167;66.36896;3086.318;-38.79063;-37.99609
55.52422;66.39349;3086.317;-41.225;-41.54766
55.31958;66.45213;3086.305;-39.28516;-37.83984
55.48167;66.4127;3086.275;-35.10625;-42.68281
55.40213;66.39745;3086.204;-40.54219;-40.05312
56.54698;67.77177;3086.194;-40.4;-39.92188
55.55792;66.37026;3086.185;-40.51484;-35.95469
56.51011;67.73156;3086.181;-41.87891;-41.91563
55.38245;66.38271;3086.18;-39.48828;-42.98359
56.36599;67.69458;3086.147;-37.96875;-38.05469
55.53125;66.41151;3086.137;-40.53828;-40.68125
56.29099;67.7299;3086.13;-39.35938;-37.6664
56.6237;67.79245;3086.117;-39.88594;-39.73047
55.59969;66.34125;3086.096;-41.09453;-38.86719
56.46604;67.81615;3086.093;-37.9;-37.10547
55.33167;66.3975;3086.05;-38.45937;-40.7914
56.50281;67.76214;3085.984;-41.64531;-43.17109
55.58172;66.37901;3085.941;-38.96875;-40.36719
55.55141;66.37458;3085.921;-39.42266;-39.82656
55.55677;66.38333;3085.918;-39.11172;-38.05547
55.51333;66.39109;3085.886;-39.95391;-37.67656
55.44453;66.36953;3085.834;-39.8336;-37.01172
55.20969;66.32281;3085.775;-41.63281;-40.61641
55.42136;66.38443;3085.746;-39.55156;-38.67266
56.44224;67.76614;3085.718;-42.61719;-39.44844
55.39;66.39339;3085.696;-39.63438;-40.73985
56.64161;67.77032;3085.682;-38.41406;-40.70937
56.21062;67.57594;3085.624;-41.68438;-40.69141
55.29734;66.37843;3085.541;-38.72969;-41.73985
55.37057;66.34969;3085.461;-42.29219;-40.98203
55.4625;66.35422;3085.377;-40.58203;-40.49297
55.73037;66.40969;3085.371;-39.92891;-42.51797
55.36323;66.3425;3085.367;-41.14141;-40.29297
55.47953;66.38193;3085.309;-39.42109;-38.30078
56.52089;67.76521;3085.298;-36.41797;-41.34297
55.58302;66.36797;3085.264;-38.55078;-39.65313
55.68943;66.37448;3085.205;-41.83594;-42.78203
55.55854;66.42313;3085.163;-40.52187;-39.01094
55.48781;66.40135;3085.13;-39.31719;-37.90859
56.49672;67.70896;3084.999;-39.85313;-37.63125
56.37734;67.73599;3084.898;-37.38438;-40.60156
56.31385;67.76339;3084.848;-37.34219;-41.28203
55.71365;66.36234;3084.814;-43.47266;-38.73281
56.23859;67.71193;3084.757;-39.76563;-36.01875
56.66297;67.85828;3084.675;-39.92891;-36.52031
56.57599;67.79781;3084.646;-38.58516;-41.15625
55.32292;66.33562;3084.619;-40.50156;-40.40313
55.81604;66.37839;3084.619;-39.96641;-35.9375
55.49089;66.45042;3084.617;-37.25781;-40.94531
56.38724;67.75562;3084.612;-38.90234;-39.77578
56.44333;67.75667;3084.603;-38.86875;-44.04297
55.46391;66.34745;3084.601;-39.20391;-40.12969
55.6375;66.40948;3084.572;-41.39922;-39.57891
55.42427;66.37943;3084.558;-44.28125;-38.52813
55.73635;66.37854;3084.549;-38.93984;-41.73359
55.67901;66.42016;3084.465;-39.65078;-39.31484
55.52245;66.39354;3084.456;-41.82813;-38.24609
55.35417;66.40646;3084.425;-36.75;-40.61953
55.7163;66.39849;3084.398;-39.6375;-39.99062
55.42224;66.40422;3084.341;-40.00078;-41.18203
56.18542;67.73933;3084.323;-39.94062;-38.77031
55.36422;66.39177;3084.264;-39.54609;-38.97344
55.25844;66.37745;3084.249;-43.48281;-40.53594
55.43073;66.3788;3084.24;-40.99219;-40.19062
55.5175;66.35042;3084.235;-40.70078;-39.26484
55.59005;66.39417;3084.212;-41.12891;-38.575
55.50964;66.4525;3084.163;-40.86485;-39.00391
55.53667;66.41286;3084.147;-43.44922;-38.94765
56.45531;67.7776;3084.138;-40.79844;-38.05781
55.57224;66.39094;3084.118;-42.42344;-41.95391
55.34729;66.3813;3084.073;-39.55547;-40.47344
56.40172;67.77771;3084.023;-40.31172;-43.29688
56.52151;67.78578;3083.994;-40.18516;-41.23438
56.30797;67.72938;3083.974;-37.64375;-43.66719
55.50911;66.38599;3083.968;-41.29219;-39.46094
55.51313;66.34937;3083.897;-43.10547;-38.88594
56.5064;67.79224;3083.801;-39.6625;-39.60938
55.38792;66.39042;3083.727;-42.65547;-37.98125
55.49729;66.35213;3083.691;-43.58828;-39.96094
55.46271;66.34292;3083.676;-37.51563;-43.15391
55.30693;66.39651;3083.656;-40.6;-40.35703
55.46193;66.42182;3083.652;-40.2289;-43.54922
56.47792;67.81594;3083.623;-39.21328;-38.09531
55.56739;66.46344;3083.621;-38.74141;-42.56797
56.28948;67.72516;3083.586;-43.34141;-38.68828
55.30927;66.38187;3083.55;-38.65391;-37.11875
53.08562;63.90453;3083.525;-41.41016;-39.27891
55.35729;66.35031;3083.471;-39.67422;-38.95313
55.87047;66.41161;3083.469;-40.73828;-38.3375
55.45797;66.38495;3083.454;-37.33984;-38.47266
55.27781;66.37854;3083.444;-38.21875;-41.11172
55.51109;66.37214;3083.433;-38.81641;-41.45703
56.41484;67.7687;3083.405;-38.44609;-38.71641
56.41198;67.79641;3083.32;-41.09844;-42.71563
55.67719;66.40833;3083.295;-42.40391;-39.52891
55.64974;66.42552;3083.288;-41.67812;-42.17266
55.93177;66.42359;3083.282;-39.62734;-39.20937
55.52964;66.41911;3083.264;-38.25;-39.90391
55.4387;66.42234;3083.26;-40.73047;-40.80078
55.58229;66.41115;3083.229;-40.15156;-41.48985
55.45089;66.33791;3083.208;-40.60156;-43.03203
55.46786;66.33614;3083.148;-38.51484;-39.33594
55.21349;66.34042;3083.129;-35.60547;-39.63672
55.36068;66.37318;3083.101;-38.58828;-42.21484
56.35552;67.76844;3083.093;-41.88515;-41.25703
55.62464;66.43156;3083.007;-39.1375;-39.31875
55.64552;66.38656;3082.931;-41.8625;-42.70078
56.2924;67.79912;3082.923;-37.60469;-39.39922
55.35021;66.38177;3082.892;-39.14063;-40.53125
55.49432;66.42818;3082.883;-40.78359;-39.39844
55.8725;66.38125;3082.877;-42.53281;-36.85781
56.31036;67.79369;3082.871;-40.39531;-42.92578
55.74703;66.37865;3082.865;-40.76719;-38.36328
55.59557;66.43271;3082.862;-36.2375;-39.40703
55.57672;66.37422;3082.81;-41.20469;-42.04922
55.3987;66.3499;3082.785;-40.34844;-42.62578
56.34489;67.71453;3082.769;-39.66797;-41.22578
55.57677;66.45198;3082.76;-40.16797;-36.30938
56.38911;67.71052;3082.73;-42.65391;-39.81328
56.35156;67.76146;3082.711;-37.94922;-37.8336
55.79708;66.39313;3082.697;-39.19922;-43.20391
55.24672;66.42599;3082.686;-43.13828;-39.18594
56.57833;67.82078;3082.684;-39.90391;-38.30235
55.57312;66.38567;3082.636;-42.36172;-40.53594
55.31667;66.3838;3082.602;-39.54922;-42.99688
55.57005;66.37218;3082.597;-40.92812;-40.75781
55.21479;66.38167;3082.587;-40.07813;-35.74297
56.27422;67.57151;3082.553;-38.04922;-40.25391
55.47359;66.40015;3082.516;-38.24219;-40.0125
55.54818;66.37948;3082.495;-40.14141;-37.99688
56.35948;67.70781;3082.489;-37.17812;-41.65469
55.22562;66.42979;3082.458;-40.26094;-38.61719
55.44896;66.36026;3082.438;-42.67735;-37.01172
56.48297;67.86313;3082.382;-39.94922;-40.54219
55.60365;66.36177;3082.38;-39.48906;-40.32109
55.46526;66.3649;3082.363;-42.71016;-41.00234
55.64797;66.37776;3082.338;-41.45781;-38.77578
55.45458;66.36406;3082.315;-37.69688;-37.12422
55.53838;66.29115;3082.279;-39.87812;-40.58437
55.3774;66.42963;3082.113;-37.78125;-42.01563
55.30984;66.42958;3082.094;-38.75078;-40.17812
55.72562;66.34782;3082.092;-40.30391;-35.98906
55.31359;66.39344;3082.078;-41.14297;-40.29063
