K5T7.PV;K5T8_1.PV
51.93031;63.5174
51.93021;63.70354
51.93;63.24688
51.92979;67.72334
51.92896;61.55854
51.92886;63.04344
51.92875;63.1226
51.92875;67.52323
51.92844;62.87927
51.92729;64.08729
51.92708;67.77042
51.92698;67.58761
51.92646;63.25677
51.92646;67.59604
51.92469;61.53635
51.92458;63.24979
51.92385;63.86489
51.92323;60.96344
51.92302;67.77969
51.92208;67.71781
51.92198;67.64104
51.92125;67.77604
51.92031;61.44354
51.92;67.47188
51.91938;63.28386
51.91917;61.03875
51.91854;62.98885
51.91823;67.76698
51.91781;61.53927
51.91719;61.28708
51.91636;67.68552
51.91489;61.44969
51.91344;67.86594
51.91198;63.24166
51.91177;67.71719
51.91167;63.37229
51.91104;61.59125
51.91094;67.57604
51.91073;63.34146
51.91;63.05792
51.91;63.19094
51.9099;67.67198
51.90948;61.55021
51.90854;63.28344
51.90823;63.10885
51.90771;67.64667
51.90771;67.51219
51.90739;62.94375
51.90635;67.67687
51.90615;67.49083
51.90385;62.97979
51.90333;67.64573
51.90323;63.36156
51.90313;67.59615
51.90292;63.02854
51.90271;60.96771
51.90177;61.48864
51.90062;61.27958
51.89885;63.98177
51.89812;63.29823
51.8974;67.57521
51.89729;62.94802
51.89542;67.49167
51.89365;62.13667
51.89344;67.60834
51.89292;67.59052
51.89167;61.31792
51.89146;61.2849
51.89135;63.3624
51.89104;67.79333
51.89073;63.22698
51.89052;63.02771
51.89052;67.70563
51.89042;64.10833
51.88906;67.6201
51.88885;63.21948
51.88833;61.62333
51.88833;67.72073
51.88833;67.85906
51.88656;67.66813
51.88635;61.53292
51.88552;62.17271
51.88521;67.58792
51.88427;63.17146
51.88396;67.69187
51.88396;67.44781
51.88354;63.15156
51.88334;67.60792
51.88313;62.89312
51.88198;63.3924
51.88187;63.26906
51.88115;63.34385
51.88094;67.72646
51.88021;62.18438
51.8801;61.25188
51.87959;67.65583
51.87927;63.20979
51.87865;62.14719
51.87844;63.35156
51.87698;67.59896
51.87604;62.10729
51.87333;64.15791
51.87312;67.65614
51.87208;67.57573
51.87125;62.91927
51.87125;64.52281
51.86979;67.78073
51.86969;63.24688
51.86854;67.69875
51.86844;67.58979
51.86802;63.06917
51.8676;67.71573
51.86719;67.69281
51.86646;62.35437
51.86583;64.7475
51.86573;67.84052
51.86562;67.47885
51.86542;63.40125
51.86521;67.71917
51.86458;64.60896
51.8626;60.96667
51.8626;61.58552
51.86135;61.10511
51.86125;67.69813
51.86073;63.06177
51.8601;67.64854
51.85958;67.64198
51.85865;63.31219
51.85865;62.92208
51.85812;63.42167
51.85729;63.23989
51.85729;67.66563
51.85708;67.72385
51.85667;61.6275
51.85625;64.51489
51.85479;62.19688
51.85469;62.92354
51.85437;63.02
51.85386;67.69666
51.85365;62.47187
51.85344;67.48438
51.8524;62.11698
51.85209;67.67615
51.85198;63.02521
51.85042;67.59396
51.8499;67.57104
51.84969;63.25323
51.84896;63.0876
51.84844;62.91719
51.84834;63.02167
51.84771;62.23531
51.84656;63.23761
51.84615;64.89969
51.84542;64.03
51.84469;67.87437
51.84365;63.43781
51.84292;67.35208
51.84146;63.43771
51.84104;67.72354
51.83927;63.34104
51.83875;63.17708
51.83719;67.75302
51.83552;61.57031
51.83448;61.22635
51.83313;62.89354
51.83187;63.34021
51.83156;67.49167
51.83125;61.59365
51.83083;62.15115
51.83021;67.76875
51.8301;63.11885
51.83;62.61958
51.8299;67.71927
51.82969;63.25875
51.82906;63.07104
51.82875;67.53104
51.82844;63.20583
51.82719;62.30958
51.82646;62.18375
51.82594;62.28302
51.82542;67.67042
51.82521;62.63813
51.82469;67.42385
51.82386;62.91458
51.82333;61.59375
51.82281;67.7525
51.82261;63.20562
51.8224;64.46073
51.82063;62.91073
51.82063;64.02583
51.82021;63.24073
51.81937;61.16969
51.81823;67.77354
51.81813;60.72323
51.8175;62.65177
51.8175;67.53875
51.81573;63.28427
51.81573;63.44115
51.81531;63.04396
51.81511;62.92677
51.815;63.19688
51.81427;67.76292
51.81427;67.46719
51.81406;62.93417
51.81396;63.94521
51.81323;63.34333
51.81313;62.26052
51.81229;67.37719
51.81198;63.24281
