K0P102_1.PV;K5T16.PV
4.041541;94.74114
4.050566;94.74136
4.018934;94.74167
4.003394;94.74177
4.024878;94.74198
4.088453;94.74219
4.049212;94.74291
4.083981;94.74313
4.072937;94.74323
4.015581;94.74333
4.079875;94.74333
4.075434;94.74344
4.012672;94.74385
4.099994;94.74386
4.001159;94.74406
4.106378;94.74427
4.084569;94.74625
4.027378;94.74635
4.043313;94.74646
4.047362;94.74709
4.053059;94.74958
4.095713;94.74969
4.062409;94.74969
4.024703;94.74979
4.116853;94.75052
4.067213;94.75114
4.025003;94.75406
4.074856;94.75417
4.082553;94.7549
4.043922;94.7549
4.051594;94.75583
4.081997;94.75594
4.079115;94.75604
3.995028;94.75625
4.026334;94.75645
4.100663;94.75677
4.082228;94.75687
4.077835;94.75698
4.082278;94.75719
4.075356;94.75729
4.100184;94.75802
4.108731;94.75823
4.086484;94.76
4.046228;94.76
4.094985;94.76031
4.11304;94.76083
4.068534;94.76146
4.050672;94.76167
4.068194;94.76177
4.003003;94.76198
3.998235;94.76218
4.013053;94.76229
4.040066;94.7625
4.028359;94.76271
4.048959;94.76365
4.095544;94.76406
4.042328;94.76656
4.057369;94.76677
4.032616;94.76688
4.100462;94.76698
4.081478;94.76729
4.047444;94.7674
4.017063;94.7674
4.036628;94.7676
4.013912;94.76802
4.064909;94.76823
4.076818;94.76854
3.9947;94.76854
4.074478;94.76896
4.054362;94.76907
4.059003;94.76938
4.054784;94.76979
4.026497;94.7699
4.023947;94.77073
4.079034;94.77135
4.057431;94.77167
4.032278;94.77167
4.107853;94.77177
4.057356;94.77198
4.0305;94.77208
4.018144;94.7725
4.034215;94.77302
4.037084;94.77531
4.066156;94.77552
4.104406;94.77563
4.08875;94.77625
4.095965;94.7776
4.061303;94.77771
4.095888;94.77792
4.024953;94.77812
4.038584;94.77885
4.011878;94.77906
4.083134;94.77906
4.057081;94.77917
4.059366;94.77917
4.038;94.78
4.059781;94.78104
4.033525;94.7826
4.04144;94.78354
4.027666;94.78438
4.081203;94.78458
3.999359;94.78615
4.073844;94.78615
4.013388;94.78729
4.022206;94.7875
4.045856;94.78771
4.094059;94.78792
4.055256;94.78833
4.071069;94.78865
4.082228;94.78875
4.067412;94.78906
4.090013;94.78938
4.08935;94.79011
4.073322;94.79021
4.032406;94.79041
4.040187;94.79105
3.997444;94.79156
4.030422;94.79156
4.027575;94.79292
4.041512;94.79302
4.036572;94.79343
4.076091;94.79365
4.058135;94.79406
4.056159;94.79427
4.116403;94.79459
4.022509;94.7951
4.020778;94.79594
4.091316;94.79614
4.062619;94.79729
4.099425;94.7975
4.104147;94.79813
4.101153;94.79833
4.055147;94.79875
4.028081;94.79938
4.049088;94.79948
4.053828;94.79958
3.997309;94.79958
4.041856;94.7999
4.100863;94.7999
4.098541;94.80032
4.085384;94.80115
4.050763;94.80135
4.060078;94.80146
4.089116;94.80146
4.095203;94.80156
4.011437;94.80177
4.081325;94.80187
4.003522;94.80219
4.052906;94.8025
4.092953;94.80312
4.094425;94.80386
3.993419;94.80396
4.033185;94.80396
4.021812;94.80396
4.129844;94.80417
4.020587;94.80437
4.084363;94.80521
4.029378;94.80552
4.068247;94.80552
4.152444;94.80552
4.108912;94.80625
4.092806;94.8074
4.0266;94.80854
4.053465;94.80937
4.070219;94.80968
4.006369;94.8099
4.077328;94.81052
4.092566;94.81115
4.051491;94.81156
4.067166;94.81156
4.01715;94.81208
4.026513;94.81229
4.018688;94.81261
4.069035;94.81281
4.090006;94.81281
4.046394;94.81292
4.046237;94.81375
4.101906;94.81396
4.076706;94.81416
4.085997;94.81438
4.016488;94.81521
4.071503;94.81541
4.051166;94.81552
4.089894;94.81593
4.021591;94.81615
4.020144;94.81657
4.075203;94.81687
4.053019;94.8174
4.108091;94.81906
4.074734;94.81917
4.029891;94.81958
4.043365;94.82
4.041887;94.82021
4.02706;94.82021
4.076272;94.82063
4.05201;94.82073
4.110844;94.82094
4.046025;94.82188
4.068584;94.82188
4.005381;94.82208
4.045809;94.82229
4.056731;94.8226
4.078081;94.82406
4.025591;94.8251
4.081166;94.82542
4.130781;94.82552
4.055788;94.82573
4.040366;94.82573
4.1017;94.82584
4.014841;94.82729
4.081956;94.82729
4.069197;94.8275
4.025787;94.82781
4.069503;94.82781
4.075375;94.82802
4.053972;94.82813
4.034915;94.82896
4.098059;94.82958
3.996278;94.83021
4.005619;94.83115
4.092966;94.83125
4.021994;94.83188
4.063706;94.83198
4.043787;94.83198
4.017431;94.83218
4.084503;94.8324
4.079222;94.8326
4.092125;94.83271
4.022947;94.83281
4.052778;94.83281
4.081509;94.83281
4.027819;94.83312
4.076434;94.83312
4.05805;94.83437
4.130044;94.83458
4.084822;94.83479
4.076337;94.83552
