K5F5.PV;K5LCV1_1I.PV
30.03556;0.0009375
30.05515;0
29.90657;0.0004166667
29.64921;0
29.54085;0
30.0232;0
32.02931;0
32.22956;0
31.50842;0
30.70125;0
29.85912;0
29.73933;0
29.66703;0
29.51406;0
29.87959;0
30.14595;0
32.12514;0
32.43385;0
32.12183;0
31.4544;0
30.34068;0
30.04565;0
29.92871;0
29.89377;0
29.95188;0
29.92797;0
29.93502;0
30.67575;0
32.08994;0
32.14257;0.0008333334
32.0162;0
31.43923;0
30.59388;0
29.08983;0
29.08281;0
29.20291;0
29.63826;0
30.0925;0
30.14746;0
30.33526;0
31.15097;0
31.42037;0
31.38873;0
31.24145;0
30.90742;0
30.53617;0
29.96412;0
29.21885;0
29.08772;0
29.13422;0
29.92934;0
31.28864;0
32.02909;0
31.9407;0
31.66169;0
30.25296;0
29.85131;0
29.862;0
29.83889;0
29.8969;0
29.86305;0
30.75265;0
31.13881;0
31.25284;0
31.76237;0
31.79284;0
31.0556;0
30.37666;0
30.43576;0
30.43242;0
30.12954;0
30.14037;0
30.16761;0
30.01762;0
29.85809;0
29.6518;0
30.02776;0
30.83937;0
30.89219;0
31.37715;0
32.23463;0
32.19378;0
31.17187;0
30.45494;0
30.00559;0
30.23999;0
29.32245;0
29.31637;0
29.55924;0
29.85593;0
30.015;0
31.19667;0
31.76582;0
31.67561;0
31.32989;0
30.43682;0
30.38129;0
30.18934;0
30.21062;0
30.24256;0
30.29058;0
30.38852;0
29.86034;0
29.81848;0
29.58145;0
29.71075;0
30.2802;0
30.96733;0
31.35989;0
31.20512;0
30.9144;0
30.18072;0
30.28571;0
30.29997;0
30.28105;0
30.10389;0
30.08507;0
30.08513;0
30.52305;0
30.82691;0
31.10328;0
31.19635;0
30.99418;0
30.13389;0
29.98944;0
30.05972;0
30.06565;0
30.16397;0
30.2032;0
30.02369;0
30.27312;0
30.70675;0
30.61332;0
30.81911;0
30.88422;0
30.89849;0
30.96665;0
31.01201;0
29.84207;0
29.8457;0
29.77698;0
29.69856;0
30.05113;0
30.44391;0
30.52453;0
30.64077;0
30.67152;0
30.79493;0
30.8545;0
30.90928;0
30.79027;0
30.54389;0
29.96638;0
29.7655;0
29.82821;0
29.68807;0
29.79007;0
29.87398;0
30.23614;0
31.16146;0
31.16934;0
30.86935;0
30.79391;0
30.8051;0
30.65977;0
30.46773;0
30.26671;0
30.06698;0
29.90839;0
29.72956;0
29.63978;0
29.66287;0
29.75337;0
29.95561;0
30.40681;0
31.50988;0
31.65637;0
31.43214;0
31.19555;0
31.13723;0
31.17266;0
31.0781;0
30.74546;0
30.80575;0
30.83147;0
30.55072;0
30.32234;0
30.31942;0
30.26458;0
29.73692;0
29.6759;0
30.16987;0
30.58961;0
30.62983;0
31.69089;0
32.2869;0
32.25164;0
30.90536;0
30.21753;0
30.12242;0
28.68363;0
28.68184;0
30.17594;0
31.07882;0
31.33545;0
31.36662;0
31.36447;0
31.33292;0
31.1378;0
30.13448;0
29.31695;0
28.97688;0
28.94022;0
29.21268;0
30.43732;0
31.35281;0
31.41932;0
31.51178;0
31.50975;0
31.37372;0
30.89768;0.0008333334
30.18717;0
29.69477;0
29.55218;0
29.51541;0
29.50141;0
29.56484;0.0004166667
29.51736;0
29.86521;0
30.21754;0
30.58775;0
30.9948;0
30.90377;0
31.40828;0
31.28653;0
30.8409;0
29.77635;0
29.2381;0
29.11527;0
29.0972;0
29.09702;0
30.08238;0
31.45455;0
32.04873;0
32.0628;0
31.56502;0.0004166667
30.97698;0
29.68648;0
29.58282;0
29.33508;0
29.20366;0
29.64816;0
30.50521;0
30.50968;0
30.50423;0
31.67183;0
31.45777;0
31.15584;0
29.63212;0
29.42152;0
29.41773;0
29.39584;0.0015625
29.91841;0.0008333334
30.33456;0
31.0247;0
31.1099;0
31.12075;0
31.25945;0.0007291667
31.26145;0
31.06952;0.0008333334
30.74827;0
29.58235;0
28.98882;0.0003125
29.07947;0.0004166667
29.49587;0.0004166667
29.77789;0.0004166667
30.2975;0
30.70895;0
31.86444;0.0004166667
32.23922;0.001666667
31.82253;0.0004166667
31.35807;0.000625
30.35873;0.001770833
30.15751;0
29.96072;0.00125
30.12258;0.001666667
30.26872;0.002916667
30.39488;0.001979167
30.8959;0.002916667
31.4133;0.001197917
31.30316;0.002447917
30.52167;0.005677084
30.39988;0.002239583
30.31387;0.002916667
30.32004;0.003489583
30.54944;0.005208333
30.53106;0.008802083
30.43639;0.009583334
30.28662;0.009739583
30.05798;0.01734375
30.0435;0.0121875
29.94676;0.01354167
30.28453;0.01213542
31.29067;0.01239583
31.84777;0.01125
31.96497;0.01489583
31.24905;0.02083333
31.01374;0.01265625
30.35381;0.0128125
29.64252;0.020625
28.49397;0.0240625
29.24461;0.02057292
30.31585;0.02057292
31.03555;0.02651042
31.48136;0.02640625
31.5829;0.02723958
31.53373;0.024375
31.45198;0.0246875
30.69708;0.02697917
