K5PS14_2.PV;K5P10.PV
4.284016;4.29538
4.284012;4.268995
4.28399;4.295489
4.283941;4.275073
4.283906;4.271448
4.283903;4.270052
4.283881;4.298719
4.283831;4.339203
4.283769;4.283266
4.283722;4.284588
4.283606;4.299625
4.2836;4.263646
4.283522;4.277885
4.283391;4.291443
4.283378;4.274765
4.283378;4.303016
4.28334;4.295792
4.283262;4.275578
4.283144;4.331505
4.283137;4.307437
4.283115;4.288036
4.283084;4.289083
4.283003;4.283672
4.282997;4.292807
4.282913;4.286422
4.282894;4.323812
4.282853;4.265338
4.282775;4.296813
4.282763;4.274156
4.282747;4.31886
4.282744;4.274224
4.282731;4.279088
4.28265;4.274807
4.282631;4.273828
4.282628;4.294401
4.282606;4.278286
4.282603;4.295135
4.282528;4.300677
4.282525;4.278052
4.282519;4.271547
4.282513;4.284953
4.282487;4.285141
4.282478;4.286521
4.282463;4.283068
4.282381;4.294745
4.282266;4.29664
4.28225;4.311333
4.282238;4.300927
4.282228;4.313589
4.2822;4.29375
4.282109;4.28212
4.282103;4.34864
4.282094;4.277802
4.282084;4.303323
4.282075;4.276729
4.282072;4.277859
4.282047;4.292068
4.282025;4.29226
4.282;4.282177
4.281975;4.276984
4.281969;4.274927
4.281962;4.293979
4.281956;4.292063
4.281956;4.298031
4.28195;4.291089
4.281922;4.288958
4.281863;4.263776
4.281763;4.286203
4.281763;4.276557
4.281716;4.280776
4.281703;4.271833
4.281694;4.282052
4.28161;4.27563
4.281547;4.257677
4.281519;4.275724
4.281497;4.259797
4.281365;4.275031
4.281334;4.264833
4.281325;4.272365
4.281316;4.27812
4.281303;4.270031
4.281291;4.273687
4.281225;4.296672
4.281212;4.293693
4.2812;4.2865
4.281194;4.267687
4.281169;4.278146
4.281169;4.316911
4.281153;4.275193
4.281137;4.273755
4.281031;4.291162
4.280925;4.27774
4.280888;4.29201
4.280853;4.297729
4.280725;4.268901
4.280684;4.284958
4.280672;4.264849
4.280666;4.278656
4.28065;4.276567
4.280631;4.304974
4.280591;4.271568
4.280581;4.274224
4.280512;4.270636
4.280478;4.293365
4.280425;4.290016
4.280325;4.300557
4.280306;4.273979
4.2803;4.290828
4.280259;4.307615
4.280228;4.276505
4.280216;4.276417
4.280178;4.273724
4.280166;4.271349
4.280153;4.277745
4.280147;4.275688
4.280138;4.306755
4.280085;4.294167
4.280072;4.255901
4.279994;4.298323
4.279984;4.284219
4.279978;4.282005
4.279947;4.297073
4.279941;4.280453
4.27986;4.267745
4.279713;4.265693
4.279672;4.295526
4.279653;4.317224
4.279628;4.274276
4.279613;4.271338
4.279609;4.273307
4.279594;4.271224
4.279562;4.259969
4.279478;4.266099
4.279466;4.310469
4.279444;4.266026
4.279431;4.289573
4.279431;4.2845
4.279416;4.281203
4.279372;4.278641
4.279266;4.27275
4.279259;4.292708
4.279231;4.270646
4.279203;4.305943
4.279175;4.268692
4.279147;4.272323
4.279144;4.261802
