K5P17_2.PV;K5P4_1.PV
11.55336;22.22156
11.55328;22.13844
11.55328;22.15406
11.55313;22.14063
11.55313;22.15344
11.55313;22.21594
11.55313;22.23344
11.55305;22.20687
11.55305;22.15406
11.55305;22.25562
11.55305;22.24562
11.55297;22.29188
11.55273;22.2625
11.55266;22.17937
11.55258;22.21938
11.55258;22.15063
11.55242;22.27094
11.55242;22.20281
11.55234;22.1375
11.55234;22.24562
11.55234;22.23531
11.55227;22.24281
11.55227;22.26563
11.55203;22.24187
11.55203;22.23156
11.55203;22.23
11.55195;22.25
11.55195;22.24969
11.55188;22.25
11.55188;22.2725
11.55172;22.26625
11.55172;22.32625
11.55164;22.16063
11.55156;22.15781
11.55156;22.16344
11.55141;22.26594
11.55133;22.27437
11.55125;22.11094
11.55117;22.28188
11.55117;22.28
11.55117;22.21094
11.55117;22.20875
11.55109;22.16937
11.55109;22.17625
11.55109;22.23938
11.55102;22.20687
11.55094;22.13094
11.55094;22.16
11.55094;22.27312
11.55094;22.2325
11.55086;22.28094
11.55078;22.16938
11.55078;22.28906
11.55078;22.23625
11.55062;22.12812
11.55062;22.21656
11.55055;22.27469
11.55055;22.28062
11.55055;22.19406
11.55047;22.30531
11.55039;22.13
11.55039;22.12375
11.55039;22.26406
11.55023;22.21969
11.55008;22.15969
11.54984;22.12781
11.54984;22.225
11.54984;22.23719
11.54969;22.13812
11.54961;22.25938
11.54945;22.30375
11.54945;22.24594
11.54938;22.16469
11.54938;22.30031
11.54914;22.14344
11.54906;22.32469
11.54906;22.30969
11.54906;22.19281
11.54898;22.14313
11.54883;22.13125
11.54875;22.15844
11.54859;22.15594
11.54859;22.16719
11.54852;22.25344
11.54828;22.14719
11.54828;22.18687
11.54813;22.14906
11.54813;22.14875
11.54812;22.21719
11.54805;22.20719
11.54797;22.11062
11.54797;22.16281
11.54789;22.15
11.54789;22.16344
11.54781;22.27438
11.54773;22.14781
11.54773;22.19531
11.54742;22.1875
11.54734;22.145
11.54734;22.28469
11.54727;22.15094
11.54727;22.28125
11.54719;22.12344
11.54711;22.12781
11.54711;22.26937
11.54711;22.26656
11.54711;22.22625
11.54711;22.19812
11.54703;22.25969
11.54703;22.29
11.54688;22.145
11.54688;22.24281
11.54688;22.31156
11.54688;22.3125
11.54664;22.15469
11.54664;22.14406
11.54664;22.27875
11.54664;22.20188
11.54656;22.1825
11.54648;22.23125
11.54633;22.25187
11.54625;22.21656
11.54617;22.17188
11.54617;22.17594
11.54617;22.18781
11.54609;22.11438
11.54609;22.23313
11.54602;22.26687
11.54602;22.24031
11.54602;22.21594
11.54594;22.25875
11.54594;22.20125
11.54586;22.17031
11.54586;22.21281
11.54578;22.17469
11.54555;22.11375
11.54555;22.17969
11.54555;22.29094
11.54547;22.22844
11.54547;22.25312
11.54547;22.20687
11.54547;22.24969
11.54547;22.20125
11.54539;22.30531
