K5T2_1.PV;K0T104_2.PV
421.7231;415.3612
422.8181;415.3612
421.2769;415.3612
421.6631;415.3594
421.4775;415.3594
421.2281;415.3594
422.1169;415.3594
422.0287;415.3594
421.9256;415.3575
421.9088;415.3575
421.5281;415.3575
421.2469;415.3575
421.755;415.3556
421.6031;415.3556
421.6481;415.3556
421.6969;415.3556
421.6837;415.3556
421.9294;415.3556
421.2131;415.3538
421.9313;415.3538
422.025;415.3538
421.7438;415.3538
422.3006;415.3538
421.5469;415.3538
421.5563;415.3537
422.1206;415.3537
422.0869;415.3537
423.2588;415.3519
421.1756;415.3519
421.2188;415.3519
421.8262;415.3519
421.1437;415.3519
422.3906;415.3519
421.425;415.3519
421.4081;415.35
421.9912;415.3481
421.9313;415.3481
421.5394;415.3481
421.2431;415.3481
422.3756;415.3481
421.6688;415.3481
421.815;415.3481
422.2631;415.3481
422.3719;415.3481
421.6313;415.3481
422.8163;415.3463
421.7813;415.3463
421.8319;415.3463
421.7906;415.3444
421.8731;415.3444
422.8856;415.3444
422.3006;415.3444
422.4825;415.3444
422.5107;415.3425
422.1506;415.3425
421.6013;415.3406
421.8563;415.3406
421.3181;415.3406
422.8613;415.3406
424.2244;415.3406
421.6444;415.3406
422.0963;415.3406
421.3594;415.3406
421.8544;415.3406
421.92;415.3406
422.1094;415.3387
421.1944;415.3387
422.1975;415.3387
422.4881;415.3387
421.485;415.3369
421.74;415.3369
422.1862;415.3369
421.6462;415.3369
422.3344;415.3369
421.56;415.3369
422.4;415.3369
421.4775;415.3369
421.9444;415.335
422.175;415.335
421.1175;415.335
421.9875;415.335
421.7831;415.335
421.575;415.335
423.0094;415.3331
422.2894;415.3331
421.6369;415.3331
421.4381;415.3331
421.6725;415.3313
422.1506;415.3312
421.6031;415.3312
422.2538;415.3312
422.3306;415.3312
421.5469;415.3312
421.7062;415.3312
421.8469;415.3294
422.0381;415.3294
421.7606;415.3294
421.9594;415.3294
422.19;415.3294
421.9781;415.3294
421.7981;415.3294
421.8225;415.3294
421.6875;415.3275
421.5713;415.3275
421.5356;415.3256
421.6125;415.3238
422.2444;415.3238
421.8488;415.3238
422.25;415.3237
421.2881;415.3219
422.1806;415.3219
421.7344;415.3219
421.4456;415.3219
421.89;415.3219
422.34;415.3219
421.755;415.32
421.3631;415.32
421.44;415.32
422.1131;415.32
420.3506;415.32
421.275;415.3181
421.3387;415.3181
421.8375;415.3181
420.8869;415.3181
421.8563;415.3181
421.7325;415.3181
421.5713;415.3181
421.2487;415.3163
421.8656;415.3163
421.4475;415.3163
421.6594;415.3163
422.6119;415.3163
421.8169;415.3144
421.4475;415.3144
421.7438;415.3144
421.5525;415.3144
422.1038;415.3144
421.5844;415.3125
421.3181;415.3125
421.7119;415.3125
422.1075;415.3125
422.0831;415.3125
423.3469;415.3125
421.4306;415.3106
421.3087;415.3106
421.575;415.3106
421.1756;415.3106
421.7625;415.3106
421.4194;415.3106
421.8656;415.3087
421.9331;415.3087
421.5731;415.3087
424.1531;415.3087
422.1019;415.3087
421.6556;415.3087
421.5544;415.3087
421.8806;415.3069
421.2694;415.3069
421.8375;415.3069
421.7644;415.3069
421.1475;415.3069
421.7662;415.3069
421.9912;415.3069
422.4206;415.3069
422.0606;415.3069
420.8531;415.305
421.5281;415.305
422.0812;415.305
420.8156;415.3031
420.5063;415.3031
421.6781;415.3013
421.8;415.3013
421.7306;415.3012
421.4063;415.3012
421.5319;415.3012
422.8594;415.3012
421.2337;415.3012
422.3438;415.3012
421.83;415.2994
421.9763;415.2994
421.8694;415.2994
421.5731;415.2975
421.6875;415.2975
421.9238;415.2975
421.1419;415.2956
421.8619;415.2956
422.22;415.2956
422.2219;415.2956
422.3737;415.2956
422.2162;415.2938
422.0906;415.2938
421.7062;415.2938
422.4113;415.2938
422.1056;415.2919
421.71;415.2919
421.59;415.2919
421.485;415.2919
421.4344;415.2919
421.1794;415.29
421.5244;415.29
421.0875;415.29
422.3456;415.29
421.1194;415.29
421.4325;415.29
421.8394;415.29
422.3775;415.29
422.1206;415.2881
421.7213;415.2881
421.8581;415.2881
421.9275;415.2881
422.2725;415.2881
421.2825;415.2863
421.365;415.2863
421.7062;415.2863
421.6144;415.2863
422.1375;415.2863
422.1281;415.2863
421.7456;415.2863
421.6594;415.2863
421.275;415.2863
421.2487;415.2844
421.8563;415.2844
421.6313;415.2844
420.825;415.2825
421.4512;415.2825
421.1775;415.2825
422.0194;415.2825
421.965;415.2825
421.6462;415.2825
421.9875;415.2825
422.2275;415.2825
421.4119;415.2825
421.7306;415.2806
421.4625;415.2806
422.1994;415.2806
421.8619;415.2806
421.2263;415.2806
421.4625;415.2787
421.5619;415.2787
421.5975;415.2787
421.8075;415.2787
421.7737;415.2787
421.41;415.2787
421.7006;415.2769
421.605;415.2769
421.8937;415.275
421.5694;415.275
421.11;415.2731
421.7869;415.2731
421.8094;415.2731
421.7306;415.2731
422.1225;415.2712
422.8275;415.2712
421.5919;415.2712
422.3719;415.2712
421.7475;415.2712
421.26;415.2712
421.8656;415.2694
421.2581;415.2694
421.1156;415.2694
421.7081;415.2694
421.4906;415.2694
421.8488;415.2694
422.2481;415.2694
422.0531;415.2694
422.0062;415.2694
421.4494;415.2694
421.74;415.2675
421.4306;415.2675
421.5994;415.2675
421.9875;415.2656
421.1981;415.2656
421.8262;415.2656
421.9688;415.2656
421.3369;415.2656
421.9725;415.2656
422.0831;415.2656
421.9256;415.2656
421.4381;415.2656
421.4381;415.2638
421.5319;415.2638
421.95;415.2638
421.4175;415.2638
422.3156;415.2638
421.6631;415.2638
421.2469;415.2638
422.1881;415.2638
421.6519;415.2638
421.6256;415.2637
421.8431;415.2619
421.1869;415.2619
421.3069;415.2619
423.1294;415.2619
422.0344;415.2619
421.6031;415.2619
421.8187;415.2619
421.4531;415.2619
421.1588;415.26
422.1694;415.26
421.5713;415.26
422.0344;415.26
421.2188;415.26
421.1588;415.26
421.2;415.2581
421.7962;415.2581
421.7456;415.2581
421.5638;415.2581
420.4238;415.2581
421.0537;415.2581
421.6143;415.2581
421.2769;415.2563
421.2056;415.2563
422.4262;415.2563
421.8656;415.2563
421.0912;415.2544
421.0518;415.2544
421.2188;415.2544
421.53;415.2525
421.1325;415.2525
421.9538;415.2525
421.7025;415.2525
