K5PC5CH.OP;K5T5_2.PV;K5T18_1.PV;K5F3.PV
56.41146;755.2922;254.4448;3095.221
56.27057;753.4938;254.4417;3093.427
55.47693;752.0125;254.4404;3034.516
56.44708;753.8875;254.4383;3086.973
55.40568;754.0349;254.4325;3043.24
55.31948;753.0328;254.4298;3057.895
56.33318;756.8386;254.4294;3101.185
55.50687;751.9656;254.4277;3028.782
56.56615;757.1349;254.4267;3090.728
56.60927;758.2891;254.4258;3116.706
55.37292;751.3896;254.4254;3002.517
56.46604;752.0026;254.4235;3086.093
56.44224;758.8187;254.4177;3085.718
56.32203;756.0552;254.4113;3110.157
55.43401;755.0328;254.4092;3041.959
55.49724;753.7172;254.409;3027.407
56.36656;751.2761;254.4085;3079.549
56.33464;755.4406;254.4079;3089.548
55.34563;750.2589;254.4073;3041.119
56.41521;757.3698;254.4042;3093.671
56.36302;755.688;254.4008;3090.178
55.59459;756.1823;254.3979;3042.183
56.53849;757.074;254.3954;3088.26
56.52151;757.8349;254.3925;3083.994
55.50068;751.7792;254.3904;3030.61
56.48297;750.8766;254.3896;3082.382
56.45531;756.9068;254.389;3084.138
55.23812;753.4724;254.3854;3018.407
57.25698;772.5927;254.3852;3274.782
56.51948;754.763;254.3829;3094.656
56.53667;751.6828;254.3792;3090.941
56.57635;756.3979;254.3788;3092.269
55.58635;754.275;254.3781;3033.742
56.24031;752.7693;254.3767;3092.486
56.53635;758.1354;254.3725;3091.711
56.3424;753.9604;254.3725;3077.517
56.48479;755.6417;254.371;3106.709
56.36719;758.5849;254.3702;3110.89
55.22786;748.5427;254.3654;3040.952
56.57833;757.5729;254.361;3082.684
56.52734;753.3932;254.3604;3097.781
56.49083;759.2802;254.3594;3093.839
55.40604;752.6255;254.3583;3018.46
55.37224;752.0469;254.3529;3041.369
56.39182;755.8573;254.3492;3107.834
56.47792;754.1984;254.3481;3083.623
56.58458;757.288;254.3477;3094.96
56.55214;762.4932;254.3473;3115.278
55.29464;752.8088;254.3448;3025.792
55.90531;761.3281;254.3412;3117.027
56.27505;753.8745;254.341;3080.71
55.48214;750.9625;254.3387;3037.871
55.57063;754.8203;254.3362;3034.764
55.37505;749.7438;254.3302;3028.015
56.34917;755.7651;254.3292;3093.412
55.34526;751.4974;254.3292;3032.528
56.19719;756.3359;254.3254;3090.021
56.27536;756.5375;254.3225;3089.591
56.48109;758.7136;254.321;3094.23
56.44292;758.5135;254.3169;3086.368
55.45104;755.7224;254.3129;3045.082
55.51714;755.2208;254.3129;3037.699
56.58906;760.6083;254.3121;3116.099
56.38432;753.4291;254.3098;3086.68
56.32323;758.4922;254.3092;3098.397
55.50552;754.4391;254.3077;3030.295
55.33026;751.4865;254.3046;3029.435
56.31776;759.3474;254.3037;3092.166
56.54515;757.9599;254.3021;3080.321
55.37537;751.5125;254.2979;3040.759
56.27422;758.639;254.2887;3082.553
55.3699;750.5443;254.2858;3005.704
56.54698;756.9953;254.2842;3086.194
56.54901;757.8391;254.2813;3092.672
55.42239;754.8005;254.2802;3046.097
55.42526;753.9823;254.2754;3031.812
56.14766;756.6078;254.2602;3087.978
56.52047;756.6583;254.2587;3087.701
56.57599;754.4094;254.2577;3084.646
56.5412;756.2802;254.256;3089.031
56.52964;750.0833;254.2515;3105.649
55.47958;754.1891;254.2454;3062.793
56.38911;753.4729;254.2446;3082.73
55.51969;755.9557;254.2379;3039.991
56.31401;758.9636;254.2375;3093.761
56.53912;754.2891;254.23;3127.123
56.44078;758.837;254.219;3099.489
56.37599;752.0276;254.2113;3080.928
57.0489;770.662;254.2056;3275.155
55.31104;751.9422;254.2048;3061.215
55.43636;757.0552;254.2048;3051.235
55.39312;753.012;254.2017;3031.082
55.38297;748.3115;254.1987;3015.638
56.61031;755.9646;254.1906;3093.763
56.43495;756.1198;254.1904;3099.365
56.23859;755.6443;254.1904;3084.757
56.60307;756.014;254.19;3088.559
55.40594;752.6219;254.1858;3022.454
56.4363;756.375;254.1815;3090.847
55.45406;754.4229;254.1671;3027.727
55.49859;755.5135;254.1656;3031.521
56.29875;755.3505;254.1617;3090.112
56.31984;756.662;254.1581;3088.804
56.29099;754.4099;254.1575;3086.13
56.47203;757.5625;254.1563;3099.532
56.35948;754.3755;254.154;3082.489
55.34359;748.4719;254.1529;3018.08
56.20187;757.063;254.1527;3078.648
56.53323;754.3187;254.1498;3088.084
55.48938;755.6354;254.1479;3045.494
55.40604;750.6771;254.146;3056.222
56.24458;755.2115;254.1435;3092.744
56.48104;762.5974;254.1408;3122.289
56.28948;753.7161;254.1408;3083.586
56.5113;756.5292;254.1394;3087.992
56.5337;755.3594;254.1385;3091.22
56.38724;753.0792;254.1331;3084.612
55.45287;751.7963;254.1319;3034.812
55.43224;755.7109;254.1271;3040.406
56.36224;758.4484;254.1206;3091.06
55.24318;753.2214;254.1169;3019.298
56.3937;753.3245;254.1167;3079.539
56.38656;753.6849;254.1138;3089.967
56.47193;755.9807;254.1025;3095.311
55.52375;756.9271;254.0917;3035.914
55.40771;751.8724;254.0908;3030.795
56.27687;753.9323;254.0883;3089.767
57.20193;773.0359;254.0842;3270.558
56.14047;752.9188;254.0798;3091.66
55.7576;758.3849;254.06;3080.948
57.11411;771.3323;254.0525;3274.238
55.26411;750.9469;254.049;3019.596
56.54094;755.0635;254.0488;3076.792
56.49771;756.3354;254.041;3087.38
56.36255;753.188;254.0298;3080.416
55.46828;752.3088;254.0296;3026.212
55.50995;750.7156;254.0231;3034.345
56.2962;757.6927;254.0177;3086.63
55.37854;750.2839;254.0177;3022.333
55.53224;753.6797;254.0154;3047.166
56.44302;753.5917;254.0094;3096.859
55.35953;752.2406;254.0065;3031.304
56.41198;755.1464;254.005;3083.32
56.35417;757.1698;253.9975;3096.917
55.45797;756.3719;253.9975;3047.143
56.40688;752.0625;253.9917;3089.909
56.31662;755.8271;253.9892;3092
56.56651;756.551;253.9885;3097.188
57.2338;772.3943;253.9821;3266.018
56.30797;753.9146;253.979;3083.974
56.26062;753.9948;253.9773;3077.39
55.37239;753.1682;253.9754;3029.852
56.69255;758.1896;253.975;3092.327
56.23214;754.751;253.969;3074.909
56.59443;753.3948;253.9594;3080.102
56.31385;753.0417;253.9588;3084.848
55.4164;753.7385;253.9581;3039.28
55.48828;751.8229;253.9546;3043.903
55.35922;752.4328;253.9546;3040.054
56.43422;753.6713;253.9542;3064.203
55.59489;753.0667;253.9515;3033.546
56.45078;757.2792;253.9496;3091.809
55.51318;751.0266;253.9479;3040.035
56.29802;757.3484;253.9446;3094.52
55.57698;754.1063;253.9438;3032.22
56.32229;754.3849;253.9427;3077.736
55.26099;748.7786;253.939;3024.315
56.3362;756.5667;253.9348;3076.886
56.2924;750.6344;253.9337;3082.923
55.29542;749.5719;253.9325;3001.892
56.37943;753.2172;253.9308;3080.575
56.65359;758.264;253.9127;3089.604
56.2013;751.8276;253.9083;3081.828
55.45667;756.4625;253.9073;3041.525
56.35156;756.3823;253.9019;3082.711
55.4551;752.388;253.8927;3041.065
56.57375;757.9625;253.8902;3090.063
56.35552;755.6797;253.8808;3083.093
55.45177;752.3995;253.8767;3036.592
56.24755;754.2089;253.8765;3065.541
56.52396;753.7401;253.8752;3079.507
56.5064;756.2057;253.874;3083.801
56.39505;753.0443;253.8729;3081.652
56.51011;752.9515;253.869;3086.181
56.23245;754.6021;253.8671;3069.004
55.58292;751.4979;253.8594;3043.013
56.50964;755.4474;253.8592;3086.796
55.45833;751.5594;253.859;3021.905
55.38698;752.113;253.8556;3042.388
55.38177;749.8693;253.8523;3024.522
55.43698;753.662;253.8515;3050.557
56.55959;757.551;253.8419;3092.184
55.37807;750.8229;253.839;3031.352
55.535;755.587;253.8369;3042.743
56.44333;755.763;253.8363;3084.603
55.3937;752.0307;253.8235;3046.319
56.21062;757.9078;253.8229;3085.624
56.30938;756.5667;253.8219;3080.55
56.39849;752.2083;253.814;3073.653
55.25104;749.101;253.8052;3030.393
55.39198;752.2755;253.8038;3038.348
56.50281;757.299;253.8025;3085.984
55.61057;756.499;253.7992;3047.833
55.46474;751.574;253.7958;3031.454
55.52448;755.8677;253.7794;3032.419
55.34406;752.8943;253.7779;3051.367
56.27656;750.8396;253.7742;3063.954
56.36864;755.4099;253.7619;3090.325
55.40943;750.7875;253.7573;3020.073
56.52089;757.2656;253.7535;3085.298
55.26031;749.6198;253.7519;3029.719
55.42156;751.2943;253.7454;3026.355
55.44547;751.9792;253.7425;3038.482
55.53641;752.5057;253.7383;3042.041
55.34667;750.4333;253.7369;3006.08
55.4151;753.6922;253.7281;3040.871
56.18542;752.4932;253.7256;3084.323
55.35635;752.0698;253.7167;3024.5
55.4525;753.9412;253.7146;3038.808
56.37547;753.362;253.7144;3070.075
55.52771;752.4365;253.7117;3026.098
55.50391;753.8339;253.6923;3022.948
55.49979;754.2239;253.6888;3018.681
55.17078;750.175;253.6667;3031.286
56.26313;753.75;253.6662;3051.872
55.48271;750.8818;253.6533;3035.04
56.30239;749.4995;253.6517;3070.683
55.48838;751.3792;253.6508;3022.422
56.44057;755.749;253.6481;3088.669
55.37177;750.5958;253.6431;3036.292
55.39271;755.2219;253.64;3033.687
55.41917;751.562;253.6371;3025.976
55.82203;751.0938;253.6354;3072.114
55.41974;752.5609;253.6204;3044.132
55.40276;752.3354;253.6194;3063.914
55.59536;754.6229;253.6192;3040.034
55.4576;752.2776;253.6192;3036.77
55.28802;751.5974;253.6125;3018.328
55.44792;750.0849;253.5579;3038.174
55.41193;748.9693;253.5552;3027.467
55.23271;750.5057;253.5425;3016.359
55.49604;751.4464;253.5417;3036.532
55.44115;753.3229;253.5342;3037.07
56.38922;751.6912;253.5331;3086.429
54.59073;755.3359;253.5327;3047.986
56.46042;759.6141;253.5208;3117.866
55.40562;754.9739;253.5177;3037.685
55.41088;756.8151;253.4965;3033.305
55.47432;754.5724;253.4681;3032.891
55.51479;755.4625;253.4642;3042.686
55.54281;757.9396;253.4494;3032.64
55.40641;753.6542;253.4483;3034.41
55.50766;753.8016;253.4419;3046.582
55.4112;754.4063;253.4344;3037.747
55.28844;755.1885;253.4331;3067.535
56.37979;759.7662;253.4127;3123.594
55.24635;751.8812;253.4123;3037.91
57.19188;772.925;253.3715;3266.552
56.3201;747.5563;253.3694;3069.189
54.87766;753.6713;253.3623;3057.394
55.40047;753.4776;253.3571;3035.251
55.28963;752.5932;253.3569;3018.823
55.48203;749.7214;253.3481;3032.466
55.37516;753.9719;253.344;3067.856
55.46912;755.4672;253.3435;3038.474
55.54948;751.9552;253.3392;3035.1
55.50266;752.6365;253.334;3021.55
55.5313;749.9578;253.3283;3042.202
55.33047;751.1948;253.3015;3014.595
55.3475;751.8406;253.296;3030.65
55.4513;751.049;253.294;3041.175
55.44177;752.2542;253.2779;3025.543
55.24911;750.326;253.2637;3037.938
55.48745;754.8026;253.2548;3024.373
55.325;748.5271;253.241;3017.385
56.23406;757.2854;253.2383;3087.318
55.41401;751.3073;253.2292;3041.542
55.43208;752.5104;253.2008;3024.525
55.30401;756.8281;253.1996;3041.614
55.37516;750.3661;253.1889;3024.099
53.67005;754.3823;253.186;2969.843
55.32078;753.8979;253.1831;3033.324
55.53245;756.175;253.1715;3023.489
55.42146;751.4916;253.1577;3035.525
55.37682;753.3203;253.1375;3035.286
55.3187;752.4927;253.13;3013.773
55.42693;753.3922;253.1285;3028.028
55.42995;752.7594;253.1273;3041.61
55.49187;753.1255;253.1273;3034.593
55.40432;753.0172;253.0935;3043.722
53.34953;750.0709;253.0802;2982.067
55.48021;755.0521;253.061;3023.712
56.44584;761.6245;253.0546;3119.7
55.39604;752.2099;253.0504;3031.471
55.48125;751.2792;253.0306;3036.579
55.34172;751.2656;253.0292;3038.642
55.54021;751.4776;253.0275;3041.087
55.52422;755.5927;253.0233;3037.017
55.37959;751.1755;253.0215;3044.863
55.47937;748.2297;253.0179;3017.604
55.32109;749.3292;253.0146;3032.542
55.59104;756.1276;253.0115;3030.583
55.35984;752.0479;253.0079;3042.45
55.41964;755.6396;252.9883;3080.265
55.23406;754.6964;252.9702;3032.134
55.49318;755.4672;252.9442;3039.865
55.56479;753.676;252.9117;3027.588
55.46969;752.7786;252.9035;3036.138
56.30656;759.8162;252.8938;3114.426
55.27583;753.6339;252.8723;3013.229
56.29662;757.9771;252.8323;3121.699
55.35771;752.9792;252.8194;3017.673
55.34698;751.0057;252.7902;3036.104
55.23891;747.338;252.786;3029.795
55.51875;754.0422;252.7829;3043.884
55.35797;752.9307;252.7581;3036.828
55.27308;752.3688;252.7575;3038.426
55.44714;753.4073;252.7185;3034.465
55.25703;754.9906;252.6844;3078.734
54.15136;752.9141;252.5477;3027.803
55.37062;751.4542;252.5417;3028.89
55.49688;755.088;252.5369;3022.542
54.10896;752.0833;252.5354;3036.673
54.16005;753.0302;252.5171;3022.309
57.20542;772.8;252.514;3242.482
54.18255;749.7286;252.5013;3021.327
54.20891;749.538;252.484;3026.278
54.28375;752.8406;252.4823;3021.934
54.22287;753.1302;252.4817;3015.243
54.27464;752.1495;252.4767;3043.881
55.46958;754.2521;252.474;3027.441
57.06016;769.5193;252.4667;3241.362
57.00651;770.3031;252.459;3242.516
56.81166;770.9537;252.459;3239.676
54.15516;751.5427;252.4169;3019.279
56.46125;767.4542;252.411;3189.82
54.20063;750.2052;252.404;3041.571
54.37563;754.824;252.3915;3018.277
52.84484;747.7136;252.38;2959.14
54.13005;753.9906;252.3683;3029.951
54.44802;757.1594;252.3642;3049.76
54.24552;753.2411;252.3606;3048.291
54.23292;752.5563;252.3485;3017.37
54.17859;753.8958;252.3352;3021.588
54.35167;752.2922;252.3115;3026.182
56.87365;768.6828;252.3019;3241.774
54.24682;749.1016;252.28;3018.998
54.34838;754.0787;252.279;3020.465
54.13057;752.1063;252.2704;3025.332
54.29625;753.1703;252.2388;3022.549
54.23687;752.4813;252.2352;3025.888
54.39177;753.838;252.2215;3027.809
54.28344;750.3969;252.206;3022.129
54.15026;751.6276;252.2017;3024.253
54.34042;759.3495;252.1933;3043.393
54.29615;752.8021;252.1888;3021.549
55.23667;752.7234;252.1773;3057.232
54.12307;752.9562;252.175;3028.08
54.24708;753.3417;252.1742;3014.188
54.18844;751.4307;252.1658;3014.971
54.23859;755.7365;252.129;3037.633
54.32156;753.05;252.1058;3025.413
54.23516;753.4141;252.1052;3027.269
54.16245;751.2463;252.0852;3014.868
54.19703;751.7995;252.0848;3009.169
54.23552;753.7896;252.0821;3006.617
54.2638;750.8912;252.0817;2999.788
54.22104;748.3458;252.0733;3029.089
54.1713;752.3167;252.0698;2999.381
54.15865;752.2021;252.0565;3020.358
54.37068;755.1735;252.0554;3009.057
54.11479;752.6927;252.0425;3018.893
54.05281;751.5802;252.0371;2999.967
54.40771;754.4464;252.0358;3018.428
54.16141;753.8115;252.0231;3024.023
54.17828;749.4505;252.0231;3017.093
54.32651;754.5084;251.9958;3019.088
54.38172;755.3448;251.9921;3027.119
54.40458;755.7859;251.9867;3041.344
54.37844;754.8703;251.9863;3017.885
54.31833;750.5662;251.986;3001.466
54.30854;755.2115;251.979;3018.93
54.24896;753.2932;251.9698;3017.638
54.17927;749.1427;251.9558;3024.486
54.23057;752.4208;251.9471;3022.53
54.04057;756.5563;251.9356;3049.47
54.31016;753.9745;251.9215;3016.818
54.1525;753.125;251.9192;3028.404
54.31297;752.2651;251.9181;3023.019
54.29667;750.3484;251.915;3024.329
54.18583;745.5005;251.901;2997.782
54.23698;752.1859;251.8967;3015.025
54.15927;753.3719;251.8923;3027.419
54.19609;752.338;251.8852;3024.356
54.12802;750.9651;251.8737;3020.074
54.34297;753.2724;251.8602;3020.748
54.36167;752.8453;251.8454;3020.954
54.27089;751.0969;251.8435;3023.558
54.10698;755.139;251.8331;3042.717
54.14698;747.7057;251.8133;3027.024
54.20104;755.3734;251.806;3042.005
54.14766;755.9281;251.7977;3042.507
54.27338;751.7177;251.7894;3045.15
54.21969;750.5135;251.7606;3028.38
54.1162;752.9823;251.759;3037.399
54.18464;749.2922;251.7444;2996.504
56.48964;767.3323;251.744;3169.793
54.28583;748.9338;251.7438;3006.147
54.08411;752.8323;251.7375;3035.611
54.72557;751.9422;251.7256;3016.095
54.25828;750.3328;251.7246;2997.424
54.24448;756.4271;251.6896;3044.437
