K5PC5CH.OP;K5PC6CH.OP;K5T10_2.PV;K5T5_1.PV;K5T18_1.PV;K5T8_5.PV;K5T12.PV
29.71005;42.2163;91.22646;570.0755;209.3483;99.7799;149.4679
29.39208;42.20161;90.98896;568.4396;209.6017;99.77959;149.4727
29.7287;42.23063;91.20198;571.5458;209.4333;99.77927;149.4466
27.31292;39.64312;90.62187;552.6844;204.8071;99.77906;147.8273
29.44359;42.19568;90.93105;570.5651;209.5215;99.77782;149.5061
22.78146;36.15896;92.01635;537.6646;195.9808;99.7776;144.6244
29.53396;42.21682;90.9724;569.9125;209.6425;99.77729;149.4915
22.95844;36.15823;91.9101;541.3349;195.7556;99.77666;144.54
22.96672;36.16516;92.17354;541.0865;196.1308;99.77635;144.426
29.35011;42.21396;91.0125;569.3771;209.4425;99.77541;149.404
22.69328;36.18422;92.04229;537.7416;195.76;99.77489;144.5887
29.72661;42.22547;90.97885;568.5911;209.6921;99.7748;149.5382
29.62755;42.19927;90.98843;568.3542;209.6177;99.7748;149.5356
29.88292;42.20677;91.17802;571.5354;209.5381;99.77458;149.4081
29.39;42.22469;90.97292;568.7537;209.686;99.77427;149.4732
29.70297;42.22177;91.17917;570.2156;209.296;99.77417;149.4674
29.4888;42.20672;91.21625;568.4682;209.5215;99.77386;149.4658
29.58813;42.21265;90.95812;568.3615;209.2525;99.77364;149.4269
29.6088;42.2162;91.01469;571.6953;209.809;99.77302;149.5281
29.75229;42.21458;91.22885;572.4828;209.7046;99.77177;149.4097
22.74125;36.16891;91.88812;538.5984;195.6867;99.77146;144.5257
22.74016;36.16432;91.9976;538.8229;195.5762;99.77104;144.5165
33.31531;45.33813;93.1699;583.5411;211.934;99.76958;149.9247
31.1626;43.19281;92.22302;568.6344;207.6821;99.76917;148.7099
29.50943;42.25276;91.12885;571.376;209.8479;99.76833;149.7755
29.56552;42.18792;90.915;568.9114;209.5273;99.76802;149.5087
23.1999;36.19193;92.10917;541.7026;195.7681;99.76771;144.539
29.45729;42.21416;90.95042;568.3729;209.6004;99.7673;149.4104
29.62552;42.19771;91.04094;568.4521;209.7854;99.76729;149.515
29.63078;42.21099;91.04146;571.4688;209.9798;99.76688;149.4617
29.62536;42.21703;90.8724;569.2198;209.4067;99.76604;149.341
29.76552;42.1862;91.2924;571.8766;209.8371;99.76583;149.3795
29.60693;42.21807;91.21792;568.7463;209.691;99.76583;149.5823
29.51427;42.20536;90.94354;570.0458;209.5385;99.76521;149.413
29.50995;42.21927;90.95062;571.4083;209.7533;99.76521;149.478
29.46338;42.20422;90.96573;570.5948;210.0458;99.76489;149.5352
28.99854;41.29354;91.28698;558.4229;206.1846;99.76448;148.2378
29.57271;42.21083;91.01604;569.0943;209.9983;99.76437;149.5266
29.76203;42.19839;90.99094;568.6604;209.3837;99.76406;149.4796
22.86963;36.1562;91.95948;541.1651;195.5846;99.76334;144.5179
22.85182;36.17958;92.13552;540.6713;196.2052;99.76302;144.5065
22.69448;36.13354;92.02104;538.051;195.7606;99.76167;144.4899
22.66495;36.1462;91.98323;541.6713;196.0175;99.76157;144.5316
22.89656;36.18958;92.06187;539.0005;196.2465;99.76115;144.5491
29.69813;42.20974;90.97135;566.8927;209.6021;99.76083;149.4477
22.78786;36.14391;91.8799;539.325;195.7465;99.76073;144.5562
29.52323;42.17557;90.82458;567.9229;210.0621;99.76011;149.4275
29.4499;42.21833;91.00552;570.75;209.3763;99.7599;149.4385
22.66615;36.16859;92.04781;539.3464;196.1165;99.75979;144.5946
29.43917;42.2112;91.17313;570.5641;209.3467;99.75958;149.5559
29.57651;42.21953;91.13594;572.9417;209.3123;99.75906;149.4671
23.04266;36.15828;92.0375;537.9552;196.169;99.75886;144.5336
22.71104;36.13865;91.89281;540.6547;195.8796;99.75833;144.5331
29.64099;42.21312;91.29678;569.7234;210.0008;99.75823;149.6471
29.71693;42.17656;90.82031;573.2297;209.7975;99.75813;149.4085
29.68443;42.26156;91.14042;572.3339;210.1065;99.75761;149.6704
22.90021;36.15536;92.11938;541.4213;195.9917;99.7575;144.522
29.66844;42.21115;90.90938;570.7766;209.8525;99.75729;149.4784
22.98984;36.16187;92.05281;544.1672;195.7898;99.75698;144.4973
29.73443;42.20734;91.29698;569.7885;209.744;99.75645;149.5339
22.73943;36.14333;92.00208;538.375;195.9767;99.75615;144.5601
29.60349;42.21568;91.33375;570.826;209.8727;99.75604;149.5902
27.78922;39.86208;92.81698;558.111;200.6015;99.75594;146.1114
29.71016;42.2037;91.22636;568.8594;209.9958;99.75584;149.5394
29.655;42.21307;90.98417;571.5886;210.0277;99.75584;149.4522
29.60224;42.2151;91.31469;570.4943;209.8325;99.75552;149.5814
