K5LCV1I.PV;K5F5.PV
32.68469;23.20709
32.28797;23.20843
33.17812;23.20873
32.41188;23.2097
32.13187;23.2101
33.28453;23.21093
33.28625;23.21122
32.53209;23.2127
35.28453;23.21349
36.13307;23.21471
33.17437;23.21556
34.09703;23.21648
33.42021;23.21673
32.08432;23.21865
36.18698;23.21883
35.37443;23.21977
34.32323;23.21992
31.8701;23.22005
31.98297;23.22178
31.88844;23.22216
32.65464;23.22316
32.27438;23.22366
36.34396;23.22438
34.71823;23.2249
32.33969;23.2252
32.21109;23.22562
32.46891;23.22639
32.01021;23.22666
33.88875;23.22831
32.41656;23.23251
35.68693;23.23327
33.73995;23.23571
35.92198;23.23651
32.31313;23.24015
34.93057;23.24068
34.45745;23.24137
32.28437;23.24193
35.61297;23.24276
32.06323;23.24327
34.66859;23.24433
36.29484;23.24453
34.81016;23.24741
35.50151;23.24756
36.03953;23.24858
34.69177;23.2512
33.99411;23.25152
32.32844;23.25159
33.41208;23.25235
32.67448;23.25348
36.60333;23.25352
34.60912;23.25389
34.12271;23.2544
34.66667;23.25751
34.9375;23.25751
36.31562;23.2582
35.70453;23.25905
33.08828;23.2595
32.13057;23.25954
33.32891;23.26007
32.98536;23.26043
35.26302;23.26174
36.06385;23.26448
32.03807;23.26716
32.2888;23.26843
32.33568;23.2687
36.02479;23.26913
32.41625;23.27101
32.52083;23.27139
33.27636;23.27148
32.25724;23.27264
33.19958;23.27267
35.89667;23.27333
36.35651;23.27393
35.35323;23.27509
35.84193;23.27537
32.49526;23.2755
36.27682;23.27665
33.09203;23.27686
36.15484;23.27804
33.68781;23.27828
35.15984;23.2803
32.36734;23.28064
33.04448;23.28082
34.83849;23.28092
35.37057;23.28274
33.35896;23.28296
32.9062;23.28341
36.65916;23.28347
35.07724;23.28363
33.47781;23.28378
32.79146;23.28453
35.41719;23.28488
32.83031;23.28539
31.75786;23.28622
36.28563;23.28786
32.37516;23.28863
33.52172;23.28988
35.87708;23.29025
36.31078;23.29175
36.22089;23.29686
33.40354;23.29884
32.19073;23.29898
35.60078;23.30023
32.09412;23.30231
35.54583;23.3026
33.72036;23.3039
32.28271;23.30441
32.46083;23.30639
32.31979;23.30746
34.09891;23.30783
32.27693;23.30817
32.77864;23.30833
34.80448;23.30871
32.64641;23.30899
35.53219;23.31148
36.22792;23.31161
33.45734;23.31268
33.33021;23.31273
31.59646;23.31437
33.74187;23.31548
34.63932;23.31721
35.48443;23.31754
33.11474;23.3177
32.15609;23.31837
34.1599;23.31849
34.14542;23.32016
32.52141;23.32046
33.60583;23.32228
34.80797;23.32548
34.98365;23.32586
32.26307;23.32631
32.59516;23.32871
36.39698;23.32957
32.18552;23.3304
32.04281;23.33125
35.89958;23.33137
34.42068;23.33173
35.44667;23.33258
33.88281;23.33336
32.40172;23.3345
34.52521;23.33613
33.09203;23.33642
34.52896;23.33662
33.29245;23.33673
35.43682;23.33844
33.02141;23.33844
34.64823;23.33864
32.45412;23.33948
33.74151;23.33973
35.73438;23.34017
32.99849;23.34039
34.12406;23.34114
33.08948;23.34125
34.64703;23.34166
34.14578;23.34222
33.60786;23.34305
32.16974;23.34391
32.24526;23.34459
32.16385;23.34468
35.31771;23.34539
33.2626;23.3465
32.54953;23.34779
33.40302;23.35171
32.97958;23.35241
35.84177;23.3544
35.78427;23.35524
31.92188;23.35538
33.46047;23.35604
33.0276;23.3561
32.31646;23.35717
32.68261;23.35834
34.61667;23.36215
35.69875;23.36415
32.41489;23.36654
32.77917;23.36884
