K5PC5CH.OP;K5T4.PV;K5T18_2.PV;K5PC6CH.OP;K5T8_3.PV;K5T10_2.PV
39.54474;121.595;81.57875;51.61297;111.1959;99.51125
32.225;120.5057;77.60271;44.1763;114.4555;99.51041
39.3774;121.6002;81.59125;51.56292;111.275;99.50833
39.58797;121.2071;81.64812;51.59167;111.1551;99.50375
37.85531;122.1495;79.16146;49.07349;112.1768;99.50156
39.61057;121.1263;81.58625;51.57031;111.1448;99.50021
37.91661;122.1076;79.15063;49.20521;112.3105;99.49969
39.60042;121.4705;81.66542;51.59297;111.1699;99.49875
43.67943;123.9589;87.33833;54.94417;109.49;99.49729
37.89219;122.202;79.18875;49.22484;112.329;99.49521
37.70875;121.9683;79.13875;49.08099;112.1393;99.4951
39.66422;121.2378;81.90625;51.66193;111.2523;99.49438
37.97823;122.2816;79.21792;49.19239;112.345;99.49417
39.68938;121.203;82.32417;51.70359;110.5859;99.49333
39.60552;120.9688;81.84438;51.60479;111.2236;99.48979
38.01104;122.7204;79.88333;49.10073;112.9874;99.48896
39.33896;121.4232;80.92292;51.52219;111.4824;99.48323
37.85078;121.9089;79.07917;49.0901;112.0879;99.48052
39.5625;121.5742;80.90166;51.54026;111.5218;99.47948
39.46235;121.8266;80.94563;51.51693;111.54;99.47906
39.46614;121.0974;81.70667;51.6238;111.2265;99.47614
39.54245;121.2637;81.68396;51.58239;111.1276;99.47594
37.10464;122.1868;79.57458;48.43412;112.9851;99.47459
39.27;121.1147;81.41333;51.55896;111.1129;99.47343
39.62;121.1742;81.52333;51.5513;111.2485;99.47146
39.58708;121.1798;81.69542;51.5862;111.2814;99.46958
43.78693;124.0557;87.67375;54.93891;109.4708;99.46886
39.46239;121.3228;81.83542;51.60531;111.11;99.455
39.53229;121.3011;81.16563;51.56958;111.463;99.45479
46.27552;125.3258;85.4548;57.69932;108.347;99.44625
43.6674;123.8412;87.49458;54.93203;109.4935;99.43844
37.61422;121.931;79.01334;49.09;112.0606;99.43729
39.44584;121.2303;81.45834;51.61583;111.1154;99.43645
44.87125;124.1866;86.88084;55.99896;109.3781;99.43521
43.73063;123.8748;87.33979;54.93948;109.4804;99.43365
39.49162;121.3319;81.61375;51.53943;111.2933;99.42969
37.10203;122.193;79.48937;48.41896;112.9677;99.42948
44.89052;124.2285;87.06917;55.97745;109.5386;99.4249
37.77797;122.4949;79.98458;49.09291;112.9714;99.4249
