K5PC5CH.OP;K5T4.PV;K5T7.PV;K5PC6CH.OP;K5T8_3.PV
30.61448;114.999;50.10323;43.30964;108.1795
30.53089;114.8191;50.07344;43.30531;108.1592
30.5588;114.8219;50.10687;43.27234;108.1544
30.535;114.9602;50.08219;43.31271;108.1287
30.59198;115.0031;50.08;43.31333;108.1127
30.61385;114.9335;50.07438;43.34797;108.1123
30.61104;114.9179;50.10521;43.3275;108.0851
30.53885;114.9673;50.10906;43.32615;108.0674
30.48417;115.0405;50.08417;43.28312;108.0459
30.61172;114.9753;50.03198;43.34365;108.0489
30.59307;115.1207;49.99323;43.37047;108.0502
30.51599;114.9512;49.96115;43.32781;108.0293
30.48594;114.6537;49.96531;43.34489;108.0233
30.53318;114.7561;49.95385;43.36094;108
30.48245;114.7704;49.95375;43.35088;108.0093
30.47453;114.8741;49.89521;43.34698;107.9903
30.59552;114.8348;49.85688;43.34813;107.9995
30.6038;114.8973;49.85896;43.33213;107.9976
30.52891;115.0115;49.87146;43.30906;108.0047
30.56313;115.0322;49.85156;43.34453;108.011
30.47068;114.9863;49.86698;43.33802;108.0202
30.49;114.9974;49.79333;43.35641;108.0345
30.42161;115.0127;49.69469;43.35281;108.0547
30.50823;115.0234;49.66406;43.36427;108.0927
30.46552;115.0034;49.64917;43.3526;108.1096
30.47906;114.9177;49.65062;43.36401;108.1134
30.50771;114.8742;49.6576;43.34745;108.1197
30.58599;115.0511;49.68813;43.31818;108.1288
30.58974;115.0773;49.66417;43.29401;108.1199
30.48651;114.9549;49.71938;43.30448;108.1119
30.46573;114.9466;49.71312;43.31484;108.1064
30.3875;115.0114;49.67552;43.3437;108.1142
30.55062;115.1286;49.67219;43.345;108.0935
30.53427;115.14;49.65385;43.29266;108.1131
30.49401;115.093;49.65906;43.34724;108.1122
30.51141;115.0265;49.69011;43.32724;108.1026
30.4449;114.8878;49.72604;43.30714;108.0819
30.40979;114.8915;49.74104;43.33516;108.0657
30.47417;115.0175;49.81219;43.30594;108.048
30.51807;114.9805;49.82656;43.29287;108.0241
30.48787;114.9622;49.84698;43.32349;108.0234
30.61563;114.8304;49.83313;43.33458;108.0202
30.45073;114.8427;49.8074;43.33443;108.0116
30.51214;114.7041;49.75896;43.31307;108.0115
30.40807;114.676;49.70625;43.32635;108.0009
