K5P5_2.PV;K5BSB_2.PV;K5Q3.PV
-40.65625;57.07724;0.9841042
-40.44088;56.45594;0.9842708
-39.63633;57.20646;0.9843177
-38.71576;57.11229;0.9844531
-38.77096;56.72797;0.9845312
-39.1263;56.01974;0.984651
-39.19453;56.50219;0.9847552
-39.91667;56.85755;0.9851511
-40.31875;56.20458;0.9853177
-39.68919;55.44563;0.9853281
-39.4181;55.49537;0.986125
-40.39505;56.40906;0.9865781
-40.74089;56.71469;0.9868854
-40.90873;56.77234;0.9871458
-41.43698;56.86864;0.9873698
-40.26185;57.08703;0.987474
-39.64596;56.95182;0.9877344
-40.81836;56.88187;0.9885209
-39.59818;56.4851;0.9885886
-36.5138;56.29536;0.9887344
-40.58477;57.11662;0.9887813
-39.31081;57.0125;0.9890833
-38.62643;56.60672;0.9895156
-38.22773;56.51583;0.9895729
-38.76927;55.65823;0.9899896
-40.33529;56.69755;0.9904687
-40.32526;56.34854;0.9910365
-39.93177;56.35156;0.9911771
-40.48112;56.09297;0.9916875
-40.70274;56.35073;0.9918385
-39.79896;57.17297;0.992026
-37.51302;56.63979;0.9922656
-39.9082;56.6562;0.9923177
-40.97904;56.23812;0.9929271
-38.2849;56.4862;0.993
-37.87305;56.4337;0.9931771
-37.79596;55.75745;0.9934323
-39.27357;57.31292;0.9936563
-39.9082;57.21812;0.9940729
-41.72526;56.40937;0.9949635
-40.93555;56.53313;0.9953021
-39.70469;57.45562;0.9953542
-37.42656;55.93609;0.9954531
-41.33763;57.17724;0.995474
-38.46667;56.40224;0.9955937
-40.81549;56.44614;0.9956563
-40.79492;57.49167;0.9958333
-40.53568;56.2687;0.9960886
-40.3332;55.78963;0.9963281
-39.5375;57.59068;0.9963334
-40.53333;56.40432;0.9963855
-39.1332;55.91844;0.9969115
-38.05768;55.86724;0.9970312
-40.1388;55.92417;0.9971979
-36.8793;56.425;0.997224
-38.09727;56.03443;0.9975104
-42.47357;56.23214;0.9978906
-40.89909;56.54349;0.9983125
-40.95547;56.42068;0.9984948
-39.90313;56.76495;0.9985937
-41.21068;57.19812;0.9988177
-39.56081;56.3438;0.9991771
-39.58711;56.01588;0.9993281
-39.74062;55.98359;0.999401
-40.43516;56.19073;0.9996094
-37.60065;55.89417;0.9997344
-39.44987;55.41406;0.9998854
-40.13138;57.55037;1.000036
-38.87865;55.52901;1.00038
-39.96081;56.20068;1.000937
-40.20937;55.84917;1.001104
-40.66797;56.73286;1.001542
-37.18971;57.26912;1.001578
-38.2289;56.24635;1.001656
-42.16589;57.15865;1.00176
-40.44635;56.56411;1.002255
-37.27096;56.01021;1.002313
-39.2276;56.75531;1.002838
-40.62838;56.41469;1.002953
-39.82383;56.60792;1.002995
-38.30742;56.0462;1.003
-40.00026;55.68396;1.003443
-40.12448;56.92505;1.003542
-39.03268;56.87276;1.003604
-40.24336;57.81641;1.00363
-40.3793;56.20693;1.003922
-40.18516;55.85891;1.004068
-40.94492;55.36031;1.004083
-38.23034;56.45396;1.004125
-39.1612;56.97203;1.004177
-37.11589;55.96135;1.004719
-41.25261;55.84281;1.004896
-36.48112;55.59646;1.004953
-41.05078;56.97766;1.004979
-40.41432;56.74599;1.005089
-39.40586;55.09787;1.005193
-40.01315;57.06484;1.005333
-39.41367;56.58615;1.00537
-39.68828;55.5712;1.005937
-40.80247;56.34526;1.006094
-40.44349;56.69182;1.006214
-40.92916;55.99229;1.006427
-36.42878;56.25547;1.006469
-39.1638;56.44865;1.006656
-39.93828;57.17229;1.006854
-38.71849;55.88599;1.00699
-40.25755;56.25125;1.00699
-40.87799;56.94203;1.00713
-39.2362;56.41698;1.00724
-39.28685;56.33255;1.007286
-41.47617;56.03078;1.007297
-39.53203;57.10094;1.007714
-39.46198;56.78016;1.007964
-39.90313;57.35047;1.007984
-39.475;56.00833;1.008089
-40.88945;55.8736;1.008589
-36.77135;55.83427;1.008755
-38.34141;56.71755;1.008771
-40.23985;56.38875;1.00887
-40.81693;57.35193;1.009276
-38.56719;56.52323;1.009411
-39.34948;56.115;1.009583
-40.37252;56.62682;1.009615
-39.43893;56.71812;1.009641
-38.64909;55.93302;1.009818
-37.70234;55.72391;1.009859
-37.42682;56.04651;1.009974
-40.10013;56.84089;1.010115
-40.37956;56.65901;1.010193
-39.6099;57.05984;1.01024
-38.37748;56.86021;1.010458
-40.47344;55.65521;1.010755
-41.46576;57.25005;1.010891
-39.13698;56.89974;1.011172
-39.34805;56.29016;1.011182
-38.05117;55.31099;1.011234
-36.82774;56.11625;1.01124
-37.71614;56.3637;1.011354
-38.50026;55.74651;1.011464
-40.91224;56.38901;1.011599
-39.43008;55.86443;1.011646
-36.54961;55.9912;1.01226
-40.68802;56.94401;1.012422
