K5PC5CH.OP;K5PC6CH.OP;K5F3.PV
55.72562;66.34782;3082.092
55.7249;66.37432;3078.545
55.72469;66.35521;3077.216
55.72313;66.46948;3081.135
55.7163;66.39849;3084.398
55.71479;66.3924;3087.141
55.71365;66.36234;3084.814
55.71094;66.40485;3079.018
55.71011;66.43958;3090.205
55.70479;66.3689;3098.763
55.70198;66.39677;3103.78
55.70026;66.3938;3076.523
55.69552;66.39214;3078.794
55.69427;66.42229;3077.313
55.69307;66.41422;3075.815
55.69239;66.25156;3041.592
55.6912;66.40938;3091.085
55.69021;66.29516;3095.583
55.69011;66.40323;3076.554
55.68943;66.37448;3085.205
55.68193;66.39901;3074.295
55.67901;66.42016;3084.465
55.67719;66.40833;3083.295
55.67641;66.38714;3081.967
55.67026;66.43526;3079.16
55.66646;66.40844;3100.632
55.66563;66.36089;3081.47
55.66193;66.40312;3087.381
55.65818;66.38167;3080.7
55.65646;66.41333;3059.819
55.65615;66.36614;3072.967
55.65182;66.3875;3075.124
55.65115;66.41849;3079.241
55.65047;66.41281;3088.189
55.64974;66.42552;3083.288
55.64932;66.4599;3072
55.64797;66.37776;3082.338
55.64724;66.40115;3073.733
55.64552;66.38656;3082.931
55.64526;66.44662;3071.148
55.64135;66.39594;3105.947
55.64099;66.40818;3041.516
55.6375;66.40948;3084.572
55.63547;66.39599;3079.977
55.63448;66.48933;3074.687
55.63443;66.39484;3060.906
55.63307;66.38536;3074.958
55.6326;66.37854;3079.429
55.63005;66.41786;3079.902
55.62943;66.32745;3080.118
55.62912;66.3938;3078.245
55.62693;66.39787;3080.25
55.625;66.40463;3080.642
55.62474;66.40073;3041.879
55.62464;66.43156;3083.007
55.62151;66.36459;3078.286
55.62047;66.51557;3080.079
55.61917;66.34985;3067.718
55.6186;66.45089;3079.162
55.6163;66.38229;3068.295
55.61625;66.39162;3087.802
55.61438;66.37719;3079.958
55.61422;66.34927;3081.986
55.61177;66.38974;3075.614
55.6112;66.40688;3077.709
55.61057;66.26458;3047.833
55.61021;66.41318;3075.973
55.60844;66.37594;3086.771
55.60818;66.34489;3042.078
55.60812;66.37927;3080.53
55.60724;66.37756;3074.273
55.60693;66.39739;3086.555
55.60578;66.38416;3071.073
55.60552;66.37187;3079.485
55.60386;66.40995;3079.207
55.60365;66.36177;3082.38
55.60219;66.45583;3077.87
55.60146;66.46578;3088.268
55.6013;66.38141;3075.877
55.6;66.42146;3077.371
55.59969;66.34125;3086.096
55.59896;66.40192;3086.351
55.59589;66.4139;3081.343
55.59557;66.43271;3082.862
55.59536;66.31953;3040.034
55.59489;66.31937;3033.546
55.59464;66.49818;3080.774
55.59459;66.2674;3042.183
55.5913;66.38255;3074.615
55.59104;66.32818;3030.583
55.59031;66.4436;3076.588
55.5901;66.37573;3080.629
55.59005;66.39417;3084.212
55.58969;66.27521;3039.734
55.58916;66.35552;3087.798
55.58688;66.34818;3037.708
55.58635;66.27911;3033.742
55.58505;66.37062;3076.3
55.5837;66.36109;3078.847
55.58302;66.36797;3085.264
55.58292;66.34422;3043.013
