K0P125.PV;K5Q2_2.PV;K5FCV4_2I.PV;K5P6.PV;K5PCV6I.PV;K5PCV17_1I.PV;K5P17_1.PV;K5PCV17_2I.PV;K5P17_2.PV;K5F3.PV;K5T20.PV;K5P110.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5HCV60I.PV;K5P16_1.PV;K5GKAL.PV;K5HCV61I.PV;K5P16_2.PV;K5FCV4_1I.PV;K5Q2_1.PV;K5P4_1.PV
63.9925;366.0313;5.190938;1.350248;97.72375;80.30782;9.272656;99.43719;8.922421;2689.554;14.45344;62.3705;37.96844;147.7244;4.018425;97.94375;0.9441328;18.56903;97.7675;1.005062;100;343.4688;17.50937
64.1275;316.7188;5.21375;1.350326;97.71687;80.3675;9.308281;99.42844;8.945078;2692.327;14.4825;62.5445;37.97844;147.8262;4.016569;97.95219;0.8822109;18.77302;97.75625;1.011805;100;334.9688;17.55406
64.3805;350;5.216563;1.348299;97.72125;80.38094;9.337891;99.43344;8.981251;2698.623;14.46875;62.74;37.97313;147.8125;4.020375;97.95125;0.8813672;18.73713;97.8425;0.9983594;100;341.0938;17.63281
64.4345;357.25;5.239687;1.352886;97.72594;80.40094;9.371641;99.41969;9.014453;2702.064;14.46719;62.8935;37.96281;147.8687;4.021256;97.92031;0.8828515;18.79681;97.75375;1.016578;100;344;17.69844
64.659;357.5313;5.176875;1.350346;97.7325;80.38;9.380781;99.42875;9.025001;2705.176;14.45938;63.0065;37.97656;147.9106;4.021462;97.93562;0.8845469;18.8476;97.75219;1.000852;100;347.3125;17.7125
64.65;383.0625;5.105;1.351508;97.74062;80.33281;9.384453;99.42375;9.02625;2706.699;14.45813;63.0825;37.97656;147.9756;4.024969;97.955;0.9109687;18.92609;97.76313;1.020023;100;346.0625;17.71156
64.776;242.1563;5.303125;1.350267;97.72469;80.32938;9.408906;99.44312;9.059531;2708.934;14.46781;63.123;38;148.0663;4.024238;97.93094;0.9047578;19.04573;97.76813;1.004437;100;346.4688;17.77563
64.805;344.6875;5.264062;1.349086;97.70937;80.36562;9.401172;99.44063;9.053672;2708.942;14.45313;63.1555;37.99219;148.1494;4.025531;97.91563;0.9243906;19.10694;97.75156;1.012086;100;345.9375;17.76969
65.085;386.375;5.2175;1.350523;97.70688;80.40343;9.448438;99.44281;9.097891;2716.012;14.4425;63.4015;37.98656;148.2213;4.024706;97.90907;0.90925;19.12472;97.77531;1.003922;100;341.1875;17.83656
65.338;379.4375;5.253125;1.390725;97.70875;80.3475;9.511171;99.43781;9.14961;2724.387;14.43656;63.726;37.97844;148.2737;4.028531;97.95031;0.9454688;19.24258;97.76563;1.045039;100;341.1875;17.95563
