K5PC5CH.OP;K5T4.PV;K5T7.PV;K5PC6CH.OP;K5T9_2.PV;K5T8_1.PV
55.60365;137.9894;51.81229;66.36177;26.55927;67.37719
44.55349;131.7318;53.10333;55.83234;27.86427;67.37708
44.37859;131.4947;53.14989;55.82203;28.22167;67.37625
55.25021;137.9282;51.54344;66.40948;26.365;67.37614
42.04797;130.1195;53.78875;53.23114;27.64646;67.375
55.80698;138.1051;51.76031;66.38458;26.84271;67.37156
55.38792;137.0739;51.63;66.39042;27.14292;67.37032
43.46359;130.8668;53.60125;54.69938;28.4324;67.36896
55.30953;137.0817;51.6325;66.39677;26.9426;67.36896
55.18641;137.7266;51.61115;66.37688;27.50479;67.36698
41.90797;130.0549;53.89563;53.14302;27.68063;67.36219
55.34094;137.7441;51.75406;66.37698;27.07406;67.36177
55.41047;137.7826;51.46354;66.39063;27.31219;67.36124
55.34771;137.6311;51.77625;66.41573;27.51729;67.35532
44.44203;131.9805;53.07365;55.82594;27.50604;67.35365
55.62151;137.882;51.84292;66.36459;25.45385;67.35208
55.48781;137.2263;51.60604;66.40135;26.67562;67.35198
55.44177;137.2406;51.50385;66.36453;27.07167;67.35177
42.85088;130.2281;53.7825;54.04781;27.92406;67.35
55.54063;137.1522;51.55583;66.34474;26.87927;67.34948
55.47359;137.629;51.60219;66.40015;26.89135;67.34917
55.72818;137.9236;51.77156;66.39422;26.73927;67.34854
43.43536;130.9101;53.52896;54.67839;28.5674;67.34771
55.51313;137.7123;51.55083;66.34937;26.67385;67.34583
55.41823;137.4645;51.58729;66.4225;26.25031;67.34292
42.77682;130.3505;53.81646;54.04198;28.19708;67.3427
55.28073;137.7295;51.70375;66.39661;26.12031;67.3425
44.4549;131.899;53.02771;55.83172;27.11698;67.34167
55.38427;137.7799;51.40677;66.3812;27.48333;67.3399
55.73265;137.2765;51.68885;66.41505;27.0875;67.33844
44.39193;131.0669;53.47709;55.64265;28.6626;67.33708
55.48573;137.289;51.48938;66.38375;26.79542;67.33708
42.78724;130.3226;53.81334;54.02094;28.37604;67.33489
42.7376;130.3818;53.76469;54.02771;28.52062;67.32969
44.44838;132.0415;52.99354;55.85188;27.53229;67.32833
