K5L1_3.PV;K5F5.PV;K5F6X.PV
-3.965062;37.58543;31.22825
3.962109;24.69288;19.20511
-3.961125;35.00061;25.84732
-3.960797;29.75034;22.15448
-3.960469;25.77053;18.41582
-3.959156;29.34575;21.9333
-3.9585;26.57807;20.30661
-3.956859;27.17999;19.61049
-3.953578;33.41439;26.40295
-3.95325;25.35436;18.24064
-3.95325;24.00136;18.55053
3.951281;24.22832;19.64311
-3.949969;26.24618;19.80038
-3.944719;28.96022;22.51925
3.944391;24.91289;19.48627
3.94275;23.35538;17.62449
-3.941766;26.565;19.76694
-3.941109;25.35518;19.54633
3.940453;25.866;22.05612
3.937828;26.0897;20.12443
3.936844;25.05079;19.125
-3.933234;26.18119;19.95101
3.933234;22.31964;17.72478
-3.931594;25.55555;18.6434
-3.928969;26.59426;19.19483
3.928313;23.0998;17.68221
3.927984;24.72402;19.04307
-3.927328;27.00815;19.23275
-3.926344;25.25448;19.5121
-3.925031;26.72433;18.62107
3.925031;22.821;18.44696
3.924703;26.32559;20.12504
-3.923391;24.7423;18.5513
-3.923391;27.81526;20.51373
3.923063;23.63008;18.32406
3.922078;27.81335;21.44757
-3.921422;27.05133;19.7488
-3.921094;26.50615;19.95223
3.921094;21.91607;18.45412
-3.919781;24.97148;20.44359
3.919781;23.86473;18.00922
-3.919453;29.12809;21.74607
-3.919453;24.14764;18.70461
3.919125;24.56694;19.0739
-3.918797;24.14807;18.42746
3.917813;24.86515;19.36214
-3.917484;25.41595;19.88984
3.916172;27.19301;21.18449
3.915516;22.23926;19.59947
3.913547;23.96292;18.95575
3.909609;23.74918;19.61215
-3.908297;25.28823;17.48519
3.907969;22.9816;18.38448
3.906;27.89353;21.16013
-3.905672;27.44018;20.03464
3.905344;23.42687;17.66689
-3.904687;25.35824;19.69937
-3.903047;23.79522;18.70613
-3.902719;28.45161;21.00378
-3.901078;36.82248;28.32661
-3.90075;25.30408;19.28914
-3.894516;27.30119;19.75863
-3.894187;23.91136;18.90334
-3.894187;25.54738;18.46589
3.892875;23.38692;17.51402
3.891562;25.41065;19.34464
3.891562;22.7829;17.88967
3.890578;22.35291;18.27986
-3.889594;25.50312;21.31879
3.889266;24.28661;18.52272
3.889266;25.11908;19.47619
-3.888937;26.21136;19.41145
-3.888937;29.94465;23.66125
3.888281;30.05771;24.19423
3.886969;26.70134;21.48028
-3.882047;27.0752;20.74078
3.881391;22.2253;18.13233
3.881063;24.42372;20.7476
-3.880078;32.80847;26.35873
3.87975;36.58956;29.71129
