K5PS14_1.PV;K5P8.PV
4.194057;4.0239
4.199138;4.023881
4.187344;4.023881
4.195988;4.023881
4.191563;4.023862
4.18545;4.023862
4.195669;4.023844
4.193944;4.023825
4.190756;4.023825
4.189819;4.023807
4.1952;4.023806
4.199512;4.023806
4.188713;4.023806
4.19295;4.023806
4.194019;4.023787
4.190006;4.023787
4.191412;4.023787
4.197356;4.023768
4.191244;4.02375
4.187456;4.02375
4.195538;4.02375
4.193344;4.023731
4.190438;4.023731
4.19145;4.023731
4.190813;4.023731
4.201406;4.023712
4.188506;4.023694
4.189238;4.023694
4.195069;4.023675
4.198519;4.023675
4.197769;4.023656
4.199344;4.023656
4.191937;4.023656
4.194525;4.023656
4.19895;4.023656
4.197281;4.023656
4.199344;4.023619
4.190231;4.023619
4.200169;4.023619
4.191244;4.0236
4.1982;4.023581
4.194656;4.023562
4.198538;4.023562
4.189875;4.023562
4.190437;4.023562
4.1904;4.023525
4.189294;4.023506
4.201875;4.023469
4.192312;4.023469
4.192163;4.023469
4.197731;4.023469
4.197469;4.02345
4.195313;4.02345
4.195163;4.023431
4.194975;4.023412
4.19625;4.023394
4.192913;4.023375
4.199194;4.023375
4.193438;4.023375
4.195275;4.023356
4.192912;4.023356
4.182713;4.023356
4.194731;4.0233
4.183931;4.023282
4.194;4.023281
4.195425;4.023281
4.195144;4.023263
4.192744;4.023263
4.197244;4.023244
4.197863;4.023225
4.194993;4.023188
4.196157;4.023187
4.195857;4.023169
4.195275;4.023169
4.192707;4.023169
4.194281;4.023169
4.192369;4.023169
4.19715;4.02315
4.196569;4.02315
4.196175;4.023131
4.183781;4.023131
4.195219;4.023112
4.189894;4.023112
4.188937;4.023094
4.196681;4.023075
4.194581;4.023075
4.199775;4.023075
4.189538;4.023057
4.190944;4.023037
4.190531;4.023019
4.191338;4.023019
4.195837;4.023019
4.195875;4.023
4.19625;4.023
4.192481;4.022963
4.19715;4.022944
4.192425;4.022925
4.187438;4.022925
4.196738;4.022925
4.196438;4.022906
4.193662;4.022887
4.18965;4.02285
4.175869;4.022812
4.192838;4.022794
4.189087;4.022794
4.198969;4.022775
4.1874;4.022775
4.190494;4.022756
4.192688;4.022719
4.192313;4.022719
4.188281;4.022719
4.195744;4.022719
4.190681;4.022718
4.190212;4.022718
4.191487;4.0227
4.196944;4.0227
4.185843;4.0227
4.198856;4.022681
4.194019;4.022681
4.189144;4.022681
4.1937;4.022681
4.198275;4.022663
4.199044;4.022606
4.188713;4.022588
4.197356;4.022587
4.19775;4.022587
4.1904;4.022569
4.189331;4.022532
4.194;4.022531
4.190925;4.022531
4.19325;4.022531
4.196794;4.022531
4.200637;4.022531
4.196588;4.022531
4.191769;4.022494
4.198388;4.022494
4.194131;4.022475
4.18605;4.022475
4.190175;4.022456
4.194131;4.022456
4.188731;4.022456
4.1985;4.022438
4.192969;4.022438
4.1928;4.022438
4.192781;4.022438
4.195481;4.022438
4.190513;4.022418
4.190756;4.0224
4.19115;4.0224
4.199381;4.022381
4.186125;4.022381
4.190025;4.022363
4.194506;4.022363
4.192987;4.022362
4.196813;4.022344
4.193794;4.022325
4.190531;4.022306
4.193569;4.022269
4.185038;4.02225
4.190213;4.02225
4.186856;4.02225
4.192106;4.022232
4.189688;4.022232
4.186425;4.022194
4.194694;4.022193
4.193438;4.022175
4.192688;4.022175
4.193812;4.022156
4.193438;4.022156
4.184231;4.022156
4.197581;4.022138
4.189256;4.022138
4.18815;4.022137
4.195181;4.022119
4.196775;4.0221
4.188019;4.0221
4.19025;4.0221
4.194394;4.0221
4.195313;4.022062
4.199175;4.022062
4.181212;4.022025
4.188806;4.022025
4.198931;4.022007
4.194638;4.022007
4.189463;4.022006
4.190156;4.022006
4.182056;4.021987
4.194412;4.021987
4.186219;4.021969
4.190869;4.02195
4.190437;4.02195
4.188994;4.02195
4.19205;4.02195
4.189181;4.021932
4.196494;4.021931
4.19535;4.021913
4.196644;4.021894
4.190325;4.021894
4.195818;4.021875
4.196981;4.021875
4.192313;4.021875
4.199438;4.021856
4.193494;4.021856
4.199062;4.021856
4.190043;4.021856
4.18665;4.021838
4.194825;4.021838
4.18995;4.021837
4.192425;4.021819
4.195856;4.021819
4.19235;4.0218
4.196568;4.0218
4.189913;4.0218
4.190794;4.021781
4.191188;4.021781
