K5P6.PV;K5PC5CH.OP;K5T18_2.PV;K5T10_1.PV;K5T10_2.PV;K5P23.PV;K5P24.PV;K5P20.PV;K5T5_1.PV;K5T5_2.PV;K5T8_4.PV;K5T8_5.PV;K5T8_6.PV
0.898572;32.92389;76.74249;65.29431;90.22555;0.6853449;0.7703089;-810.5282;583.1179;682.1313;94.81876;100.3869;146.5824
0.6807822;25.94376;76.67247;70.99843;88.4211;0.5199781;0.5858899;-837.1682;563.073;652.2239;91.78972;95.7078;139.6331
0.6617582;25.25122;76.5554;66.35464;88.05206;0.508799;0.5693261;-839.2973;557.9197;644.5317;90.42651;93.93913;138.3448
0.850102;31.833;76.20879;91.3986;92.59914;0.6449496;0.7299024;-818.3569;572.5627;667.1817;98.01228;102.2629;147.6954
0.7466462;28.87433;76.16473;86.63148;89.99905;0.5697276;0.6396202;-831.5939;568.188;656.7729;94.01513;98.52821;142.5151
0.8201815;31.36054;75.98765;75.63802;89.94871;0.6229768;0.7037506;-820.7094;573.7513;667.5779;94.84093;99.68436;144.8884
1.000119;37.08659;75.89814;92.38509;94.38416;0.7593666;0.8569793;-800.3635;579.8345;688.814;99.90976;104.8732;151.1084
0.9500905;35.48668;75.8045;63.03657;93.10823;0.717585;0.8120268;-805.004;574.3214;678.4771;98.76101;103.5431;149.8162
0.6461663;24.47862;75.70203;68.32015;87.84144;0.4930835;0.5553302;-840.9062;559.7174;647.02;91.07391;94.88878;138.5038
0.6201627;23.56916;75.68774;70.96822;88.0041;0.47379;0.5322164;-844.0361;555.1661;641.0065;90.92519;94.66339;138.0215
0.7593457;27.71554;75.31562;52.57626;88.19975;0.5927445;0.6530716;-826.5356;569.5168;662.3812;89.88236;94.95676;141.4444
0.7649527;27.98144;75.02061;52.20293;87.99998;0.5898131;0.6562137;-825.9528;568.7259;660.739;91.61369;96.47494;142.6654
0.7503162;27.58563;74.85468;56.48846;89.04796;0.5826623;0.6452463;-827.6955;567.2595;658.801;90.97845;95.67902;141.9525
0.6875592;25.92811;74.67518;75.29111;89.4118;0.5195217;0.5889614;-837.1661;564.3321;651.4927;93.59368;97.80985;141.1289
0.8968694;33.40635;74.47251;62.82083;92.05281;0.6796317;0.7680829;-811.5377;576.4626;675.0196;97.28181;101.9195;147.903
0.8800293;32.72235;74.17235;69.8777;91.81023;0.6671581;0.7542275;-813.5749;577.2021;674.0147;96.88065;101.5481;147.5403
0.8000886;30.02334;73.74758;72.31094;90.75005;0.6114886;0.6876991;-823.709;574.9978;668.2631;95.43026;99.5785;144.233
0.7256673;28.10583;73.67983;86.10572;89.92771;0.5523363;0.621832;-833.1533;568.4445;657.041;93.77812;98.09644;141.7265
0.6701749;25.27147;73.40042;82.8196;89.31921;0.5079024;0.5749753;-839.795;562.1282;648.2133;93.21183;97.3923;140.624
0.6724252;25.54959;72.82407;73.04214;88.52675;0.5052614;0.5756159;-838.7809;560.1978;647.1981;93.18359;97.34921;140.9064
0.7672201;28.83277;72.56252;70.02659;90.53878;0.5778708;0.6576825;-827.4182;566.4919;657.5728;95.73188;100.0515;145.0556
0.7000615;27.01685;72.36212;84.13148;89.59846;0.5316395;0.5994245;-834.913;566.1927;654.1591;93.34325;97.49295;141.0175
0.6772647;25.98711;72.13226;82.9645;89.38494;0.5123249;0.5810962;-837.5983;562.6447;649.0899;93.36507;97.28955;140.466
0.8126912;30.21828;71.99249;84.64066;91.07623;0.6180282;0.6979919;-822.6872;570.9168;664.0824;96.11859;100.4239;145.823
0.6701632;25.49537;71.53773;78.48635;88.86181;0.5074882;0.5735261;-839.6367;562.0529;648.1334;92.97238;97.23328;140.5605
