K5F5.PV;K5F6X.PV;K5T16.PV;K5T15.PV;K5T17.PV
36.38948;30.78523;96.98438;122.4525;133.2344
37.69995;30.48961;96.66188;122.4512;132.9037
37.74297;30.82151;96.96249;122.45;132.4906
39.92749;32.76511;96.25562;122.4487;132.2056
37.81014;30.92525;97.02062;122.4475;132.4475
38.70736;33.51841;96.615;122.4463;134.3375
36.29482;30.70117;96.91187;122.4463;132.9288
36.73724;31.03217;96.7525;122.445;132.8744
37.04336;30.96995;96.92625;122.4438;132.4262
37.68974;30.34019;96.68875;122.4437;133.2931
35.64258;31.07831;96.71062;122.4425;133.35
37.06936;30.13863;96.84688;122.4412;132.7581
37.09113;30.69912;96.57125;122.44;132.37
38.70963;33.47045;96.58813;122.4375;134.3044
37.57038;30.78106;97.05;122.4375;132.4612
36.72058;30.9691;96.7525;122.4362;132.915
36.97171;31.07072;96.9375;122.435;132.4119
38.31253;32.85616;96.1925;122.4337;132.1706
36.91462;30.93356;96.9725;122.4337;132.4606
36.97348;29.96764;96.70375;122.4337;132.3494
36.99114;30.12725;96.67687;122.4337;132.2606
37.68393;30.7029;96.63438;122.4325;132.74
37.06561;30.13695;96.7975;122.4313;132.6812
35.74106;31.04126;96.705;122.43;133.2456
35.67137;31.12486;96.705;122.4287;133.3112
37.39445;30.87813;96.60938;122.4275;132.6456
36.32246;30.83501;96.98812;122.4275;133.2756
35.78661;31.12062;96.68875;122.4263;133.17
37.70922;30.5324;96.6875;122.425;133.0456
37.3997;31.00367;96.58375;122.425;132.6438
36.7582;30.92509;96.76;122.425;132.9156
37.09035;30.1822;96.85374;122.4238;132.8044
37.00908;30.07769;96.83125;122.4238;132.6962
36.89981;29.93753;96.72813;122.4238;132.4619
37.38218;30.97306;96.58813;122.4237;132.63
37.75684;30.99598;97.005;122.4225;132.4831
34.26243;28.56405;96.79562;122.4212;132.7938
36.78925;30.81661;97.0675;122.42;132.4775
35.78925;28.82358;96.945;122.4188;133.2719
36.97636;30.89774;96.93;122.4175;132.4675
36.95499;30.34509;96.8625;122.4175;132.93
35.76726;28.64416;96.93437;122.4163;133.1344
36.96177;30.85314;96.60125;122.4125;132.465
37.0778;30.92133;96.21188;122.4125;132.7175
35.76689;28.77983;96.93625;122.4125;133.2594
36.22318;30.94239;96.94188;122.4112;133.1819
37.35787;30.60257;97.19813;122.4112;133.1494
36.15944;30.86301;96.92125;122.41;133.1469
36.816;30.98768;96.9775;122.4088;132.4975
34.25219;28.50126;96.81563;122.4088;132.8456
37.00514;30.12692;96.79437;122.4075;132.6313
36.90787;30.54626;96.90188;122.4063;132.9156
37.02161;30.99306;96.95813;122.4037;132.475
34.2639;28.54322;96.8325;122.4025;132.8094
35.82468;30.82292;96.98125;122.4;132.5631
35.84307;30.69115;96.88125;122.4;132.7213
36.27775;30.83053;96.90625;122.4;132.9475
36.94865;30.73779;97.045;122.3988;132.4688
35.77745;28.94736;96.93187;122.3988;133.3119
37.54181;30.78769;96.73375;122.3975;133.565
37.71111;30.53883;96.6875;122.3938;133.435
37.4584;31.08782;96.59125;122.3938;132.6537
35.74613;31.05407;96.70812;122.3937;133.2781
35.54144;28.81077;96.93125;122.3925;133.0544
35.92516;31.07553;96.99375;122.39;132.5587
37.01182;29.87058;96.74;122.39;132.4288
35.77889;28.98682;96.97437;122.39;133.3519
35.6571;30.9714;96.68813;122.3887;133.3094
36.7863;30.89297;96.6425;122.3887;132.6044
37.01378;30.10022;96.84125;122.3887;132.8463
35.67585;30.72591;96.95937;122.3875;132.5375
36.17236;30.88472;96.90625;122.3862;133.1506
37.04247;30.99801;96.92375;122.3862;132.4625
37.29394;30.57331;97.16625;122.385;133.1662
36.25993;30.77054;96.91812;122.385;132.9344
36.72305;30.18213;96.66875;122.385;132.1969
37.1031;30.5987;97.155;122.3838;133.1731
37.58747;30.62522;96.7075;122.3825;133.4925
36.74753;31.06309;96.96313;122.3825;132.5119
36.76435;31.2185;96.64125;122.3825;132.7981
36.98036;29.97179;96.71188;122.3825;132.3
38.66031;33.61092;96.58688;122.3812;134.3794
37.01438;30.84952;96.57813;122.3812;132.3788
37.40686;30.87448;96.60438;122.3812;132.605
35.87148;30.75626;96.86875;122.3812;132.7475
36.96717;30.93927;96.95375;122.3788;132.4731
35.86234;30.8105;96.865;122.3775;132.7469
35.65956;31.12646;96.6575;122.3763;133.0981
37.62247;30.99918;96.60188;122.375;132.705
36.20428;30.73146;96.9125;122.375;132.9362
37.34987;31.03214;96.17625;122.3737;132.2737
37.42616;30.96435;96.60188;122.3737;132.6319
36.92898;30.76372;97.0525;122.3737;132.5163
36.50389;30.74164;97.00312;122.3737;132.5144
36.31964;30.90115;96.96938;122.3725;133.2319
37.67391;30.39176;96.70062;122.37;133.3338
36.20932;30.79074;96.85875;122.37;133.0019
36.89793;30.88564;97.03625;122.37;132.5137
34.28832;28.52446;96.815;122.37;132.8156
37.28225;31.51456;96.32125;122.3688;132.5031
36.92262;30.74693;97.05937;122.3687;132.5019
36.79835;30.71457;97.02312;122.3675;132.4525
35.78845;31.0584;96.70563;122.3662;133.1869
36.25072;31.1048;96.95875;122.3662;132.5369
35.96564;30.70537;96.955;122.3662;132.5994
35.96636;30.66962;96.9375;122.3638;132.6531
36.88322;30.75434;97.00625;122.3625;132.5375
36.21373;30.76269;96.8725;122.3613;133.0338
36.80364;31.21018;96.64875;122.36;132.7581
37.08583;30.80942;96.19687;122.3587;132.5575
36.89245;30.74651;97.01437;122.3587;132.4881
36.10471;30.79048;96.95375;122.3587;132.8969
34.33116;28.51356;96.80187;122.3575;132.83
37.88896;33.52673;96.60563;122.355;134.3781
38.22002;32.84575;96.19187;122.355;132.1094
38.22592;32.75882;96.16;122.3538;132.0519
37.12975;31.48796;96.33688;122.3538;132.5975
36.89191;30.71192;97.00687;122.3538;132.5125
37.56696;31.15204;96.5975;122.3538;132.6387
35.69217;28.9477;96.95687;122.3538;133.3706
37.30388;31.38798;96.235;122.3525;132.4569
35.91775;30.64483;96.8975;122.3525;132.7119
37.00491;30.75036;96.58813;122.3512;132.4175
37.72447;30.54105;96.71375;122.35;133.3781
37.32629;31.17662;96.2;122.35;132.3331
35.7628;29.08526;96.98438;122.35;133.3613
35.97898;31.13991;96.9925;122.3487;132.5956
38.65429;33.54231;96.61687;122.345;134.3862
36.63567;30.71294;96.655;122.345;132.5988
37.00376;30.99338;96.94375;122.345;132.4713
36.26345;30.69976;97.005;122.345;132.5287
36.99843;31.56031;96.395;122.3438;132.6994
37.09848;31.50686;96.35313;122.3438;132.66
36.15303;30.77547;96.90688;122.3438;133.0788
36.74218;30.7614;97.14125;122.3438;133.1563
36.80408;30.71505;97.1625;122.3438;133.1662
36.85265;30.92218;97.02499;122.3438;132.4981
36.89169;30.26144;96.655;122.3438;132.2188
35.72783;28.99319;96.9325;122.3438;133.3975
37.45682;30.45393;96.66625;122.3425;132.3938
35.99795;30.71838;96.9425;122.3413;132.6275
36.99708;30.81122;96.18437;122.3412;132.5906
35.94168;30.72268;96.995;122.3412;132.5219
38.63551;33.50348;96.58875;122.34;134.4206
36.7178;30.75816;96.66875;122.34;132.64
35.73699;30.72374;96.99062;122.34;132.5269
37.00138;30.78438;96.54437;122.3388;132.4044
34.25012;28.46247;96.79938;122.3388;132.8256
37.27909;31.2349;96.21438;122.3387;132.3594
37.09326;30.95651;96.20812;122.3375;132.8019
36.80883;30.7243;97.03188;122.3363;132.4413
36.28033;30.91754;96.90063;122.3363;132.9531
36.00262;30.02643;96.64438;122.335;132.1425
37.06563;30.82863;96.21875;122.3337;132.8006
36.22862;30.75769;96.81062;122.3337;132.9388
35.96541;30.59206;96.91312;122.3337;132.7294
36.42001;31.0199;96.65;122.3337;132.7881
37.55653;31.16705;96.60938;122.3325;132.5906
36.23866;30.8477;96.90375;122.3325;132.9525
37.29999;31.38315;96.22813;122.3313;132.4012
36.77899;30.77152;96.61375;122.3313;132.5856
38.17619;32.86293;96.195;122.33;132.0819
37.27015;31.43801;96.26938;122.33;132.5019
36.48192;30.75641;96.67438;122.33;132.6531
35.84832;30.86133;96.87312;122.33;132.7575
34.27348;28.51706;96.75375;122.33;132.8469
37.14562;31.42406;96.33938;122.3288;132.6062
36.92564;30.11937;96.83625;122.3288;132.8656
37.54044;30.95591;96.67;122.3275;133.63
37.13679;30.84698;96.2075;122.3275;132.6669
36.2513;30.83949;96.93438;122.3275;133.1956
37.26077;31.16362;96.19375;122.3262;132.2988
37.01771;30.67316;96.21125;122.3262;132.6231
37.06404;31.02415;96.23063;122.325;132.8262
35.77439;30.80115;96.54375;122.3213;132.3163
36.19708;30.73222;96.845;122.3213;132.9969
36.0801;30.03318;96.6375;122.32;132.1013
35.69891;29.009;96.9375;122.32;133.3731
37.58072;30.94584;96.7;122.3187;133.6125
37.16222;31.4515;96.30938;122.3175;132.5813
37.00494;30.99781;96.18875;122.3175;132.4831
35.69849;31.08457;96.645;122.3175;133.0844
37.12582;30.91173;96.19937;122.3162;132.77
35.78884;30.94629;96.71125;122.315;133.2375
36.62875;30.81318;96.65125;122.315;132.6237
36.12492;30.95342;96.91937;122.315;132.93
36.99177;30.38805;96.86188;122.315;132.9131
37.06438;30.93858;96.20062;122.3138;132.6381
36.95144;30.97744;96.17375;122.3138;132.4575
35.66788;31.19456;96.67;122.3138;133.1431
37.16358;31.15356;96.59938;122.3138;132.73
37.64837;31.15138;96.58688;122.3138;132.6425
34.26074;28.55689;96.77563;122.3138;132.8313
38.00928;30.36163;96.67438;122.3125;132.3344
36.03515;30.83983;96.5625;122.3112;132.8656
35.96804;30.67239;96.92;122.3112;132.6819
37.39811;31.06753;96.175;122.3088;132.2194
37.00776;30.73823;96.5475;122.3087;132.3525
36.9154;31.49928;96.40188;122.3087;132.7631
35.95938;31.00345;96.99062;122.3087;132.6281
36.8667;31.15643;96.64438;122.3087;132.7475
36.88405;31.21469;96.6375;122.3087;132.7263
37.01139;30.90584;96.17687;122.3075;132.5125
36.41402;30.43618;96.76875;122.3075;132.2313
36.85939;31.3247;96.445;122.3063;132.8163
37.21018;31.43884;96.30312;122.3063;132.525
37.1366;30.84105;96.19188;122.3063;132.7012
35.83997;30.6718;96.84062;122.3063;132.7831
37.48771;30.20113;96.68813;122.3063;132.3881
35.76282;29.06893;96.9375;122.3063;133.3987
37.45761;31.13903;96.14687;122.3062;132.2131
36.98604;31.49663;96.38687;122.305;132.7206
37.03809;30.76841;96.195;122.305;132.5294
36.27657;30.83851;96.77375;122.305;132.8163
36.32236;31.13543;96.72437;122.305;132.8231
37.0004;31.52125;96.36313;122.3037;132.6738
36.37225;30.37987;96.765;122.3037;132.1944
