K0P125.PV;K5PCV4I.PV;K5P4_1.PV
66.47334;44.35703;21.96104
66.4575;44.36708;21.95943
66.61192;44.10724;22.00146
66.53367;44.37214;21.9751
66.44742;44.34417;21.95089
66.75584;43.47646;21.88187
66.82841;43.59958;21.84359
66.62309;44.35969;22.00995
66.75825;43.71953;21.95563
66.41833;44.26932;22.00073
66.78958;43.48964;21.90375
66.52758;44.40578;21.96297
66.5675;44.11521;22.00484
66.40942;44.27604;22.0062
66.67533;44.09938;22.01781
66.86775;43.48552;21.91104
67.01392;43.60453;21.88693
66.45766;44.46865;22.07537
66.73042;43.4762;21.85719
66.57592;44.36943;21.98661
66.44658;44.37609;21.95271
66.9035;43.38172;21.72062
66.51842;44.43422;22.07651
66.42467;44.27703;22.00292
66.58792;44.10328;21.9826
66.53516;44.15927;21.9788
66.61884;44.09755;21.98953
66.48475;44.38406;21.97375
66.41133;44.3713;21.94177
66.53584;44.21833;22.01026
66.8795;43.48734;21.9237
66.59717;44.13474;21.99818
66.51241;44.13573;21.97661
66.60975;44.1312;21.99099
66.43967;44.45469;22.0774
66.48917;44.38287;21.95453
66.46133;44.12505;21.95385
66.6115;44.09787;21.99734
66.37908;44.26651;21.98401
66.468;44.14599;21.95547
66.42533;44.38016;21.94224
66.51134;44.17281;21.99979
66.5875;44.3975;21.99474
66.53275;44.13542;21.96615
66.47125;44.37859;21.94687
66.46317;44.37453;21.95922
66.60108;43.75187;21.78411
66.40675;44.45542;22.07182
66.82542;43.48927;21.90313
66.76742;43.47292;21.87672
66.79366;43.58073;21.77729
66.58292;44.13292;21.97292
66.8145;43.47589;21.87531
66.46242;44.35302;21.94052
66.46642;44.12974;21.98505
66.42558;44.37838;21.9488
66.45825;44.37062;21.98208
66.44475;44.38219;21.93339
66.59875;44.07161;21.98604
66.44267;44.35526;21.93167
66.37875;44.27662;21.98099
66.43867;44.38109;21.93276
66.4435;44.14271;21.95349
66.43483;44.37943;21.93438
66.57533;44.10224;21.99854
66.39917;44.25349;21.99271
66.52617;44.12724;21.97823
66.51483;44.14026;21.96271
66.53609;44.4426;22.07599
66.44666;44.25135;21.99375
66.32291;44.28729;21.94984
67.64575;42.3338;21.52823
66.49142;44.12614;21.96047
66.44242;44.24698;21.99625
66.44725;44.39578;21.94594
66.48717;44.1637;21.96344
66.49375;44.38338;21.98703
66.50575;44.35594;21.97594
66.438;44.41255;21.94578
66.51942;44.38276;22.06193
66.49667;44.3738;21.97016
66.59642;44.12484;21.97953
66.41658;44.37812;21.94865
66.78958;43.58276;21.77047
66.49683;44.38536;21.98177
66.43691;44.25177;21.99661
66.8525;43.39026;21.70089
66.50917;44.1049;21.97203
66.41317;44.36786;21.93833
66.57042;44.08375;21.98693
66.86725;43.38063;21.69719
66.48758;44.31698;21.9526
66.49492;44.10203;21.96969
66.43175;44.38729;21.91505
66.48217;44.15896;21.94359
66.56;44.08568;21.97161
66.54725;44.08667;21.98781
66.52441;44.09656;21.98734
66.4855;44.17672;21.98625
66.55492;44.14099;21.97333
66.40125;44.35349;21.93443
66.44967;44.24734;21.99781
66.54508;44.15031;21.9712
66.4575;44.37641;21.93677
66.45625;44.34489;21.93828
66.5025;44.39469;22.05542
66.54525;44.29854;22.04729
66.53467;44.38297;21.95917
66.5625;44.0887;21.99469
66.43784;44.27406;21.97698
66.39291;44.3624;21.9351
66.84592;43.60708;21.84255
66.41167;44.37698;21.94245
66.50517;44.20635;21.96359
66.3505;44.37771;21.92766
66.45258;44.14094;21.97276
66.3925;44.37068;21.9425
66.55675;44.09401;21.97391
66.78709;43.57469;21.7774
66.35709;44.40156;21.92146
66.4245;44.11307;21.92568
66.52775;44.09844;21.96182
66.40117;44.39052;21.93432
66.39692;44.25;21.9688
67.19933;42.46734;21.40391
66.445;44.15865;21.94719
66.45725;44.11666;21.9374
66.45075;44.48318;22.05427
66.48141;44.13693;21.95734
66.36442;44.37354;21.93078
66.85733;43.61089;21.84141
66.39875;44.11854;21.95495
66.45567;44.35812;21.96807
66.8815;43.6038;21.86786
66.44483;44.20354;21.9637
66.46358;44.35688;21.95854
66.55967;44.1213;21.97047
66.42392;44.34432;21.95974
66.52625;44.09792;21.93698
66.38792;44.15047;21.93792
66.46533;44.41026;22.04896
66.46083;44.21245;21.96833
66.48917;44.37927;21.96714
66.77058;43.4801;21.73833
66.37183;44.3686;21.92443
66.3845;44.14443;21.92214
66.36709;44.21688;21.95182
66.33525;44.34338;21.91885
66.84325;43.60531;21.84438
67.22584;43.21115;21.88464
66.68667;44.03526;21.97464
66.321;44.36891;21.91495
66.431;44.13193;21.95292
66.33883;44.35391;21.92162
66.72575;44.01839;21.95932
66.43575;44.37458;21.94609
66.44067;44.39463;21.93193
66.39775;44.135;21.93995
66.42958;44.42859;22.04818
66.44991;44.0925;21.93422
66.47108;44.37781;21.9399
66.47775;44.07448;21.94948
66.36767;44.15807;21.91781
66.34892;44.37948;21.89839
66.31541;44.38302;21.91182
66.78225;44.00755;21.95594
66.80558;43.96151;21.97099
66.47633;44.09771;21.96177
66.42958;44.12292;21.93646
66.44517;44.15354;21.93438
66.38609;44.25365;21.95536
66.70258;43.96339;21.93906
66.379;44.37182;21.92781
66.46909;44.14948;21.94292
66.49267;44.31375;22.03323
66.68725;43.96349;21.96615
66.49509;44.08516;21.94604
66.30333;44.25261;21.95115
66.2815;44.36823;21.89792
66.37133;44.1662;21.92094
66.42917;44.37177;21.94182
66.305;44.47729;22.00146
66.4535;44.07635;21.93391
66.36075;44.25333;21.96188
66.73209;43.8951;21.94089
66.289;44.36651;21.9
66.65767;43.96396;21.93667
66.36308;44.365;21.99771
66.27842;44.35578;21.89974
66.32575;44.38573;21.89734
66.41817;44.10604;21.9312
66.3085;44.36182;21.89844
66.28675;44.37365;21.90479
66.74809;43.98198;21.94432
66.302;44.3687;21.91448
66.39883;44.08724;21.92188
67.09433;42.45958;21.365
66.39658;44.38599;21.93609
66.36242;44.11068;21.92135
66.34742;44.38802;21.93125
66.33717;44.1587;21.9137
66.38567;44.14088;21.92401
66.33266;44.34917;22.00339
66.67075;43.95323;21.94146
67.084;42.43661;21.41042
66.74208;43.95964;21.94703
66.30341;44.39896;21.90589
67.032;42.97068;21.5187
66.33392;44.12568;21.90542
66.3655;44.15162;21.90432
66.45517;44.08333;21.91984
66.407;44.10057;21.91401
66.32359;44.38;21.89854
66.28575;44.37437;21.88708
66.45033;44.10083;21.91891
66.39042;44.30391;21.95755
66.98866;42.96453;21.51213
66.69275;44.07776;21.97094
66.91042;43.0412;21.56396
67.03675;42.96172;21.54771
66.34917;44.12198;21.93547
66.33342;44.38828;21.90516
66.49541;44.26552;21.99771
66.41842;44.09578;21.91182
66.32025;44.1476;21.89812
66.37817;44.13375;21.90229
67.15875;43.21469;21.84276
66.35792;44.36417;21.91714
66.31216;44.50208;22.00208
66.67908;43.98844;21.91391
67.07767;42.96734;21.54073
66.3955;44.08104;21.90391
67.12458;42.97474;21.55958
66.66075;44.05885;21.97979
66.90108;43.03234;21.55917
66.35342;44.11271;21.91615
67.05133;42.96589;21.52792
66.29975;44.3651;21.88875
66.95133;43.03318;21.56958
66.40467;44.12328;21.90552
66.36459;44.13724;21.90859
66.36308;44.37734;21.92286
66.67667;44.00114;21.90896
66.93608;43.03406;21.5774
66.25658;44.39932;21.86026
66.89817;43.03411;21.54198
66.41225;44.10953;21.89594
66.28291;44.11219;21.88911
67.0815;42.96755;21.53542
66.66866;43.99901;21.90833
66.64191;44.0074;21.90214
66.92091;43.03271;21.57021
66.29525;44.40125;21.8762
67.0965;42.97156;21.54641
67.0475;42.96885;21.53776
66.578;43.95411;21.9038
67.82092;41.89964;21.36464
66.57242;43.90068;21.89724
66.274;44.37583;21.8887
66.2865;44.16323;21.87255
66.26708;44.12917;21.88172
66.31067;44.14526;21.88974
66.99641;43.03526;21.57406
66.60425;44.08573;21.95016
66.484;44.09682;21.8987
66.5415;43.94109;21.89484
66.601;43.88755;21.87896
66.88175;43.03463;21.54922
66.60583;43.89359;21.89089
66.69358;43.95448;21.90422
66.95609;42.96594;21.50438
66.27834;44.13193;21.89125
66.62767;43.98661;21.89583
66.771;43.77271;21.8875
67.05192;42.96755;21.52083
66.55859;44.05698;21.92198
66.62092;44.06333;21.96021
67.00742;42.97427;21.52531
66.27116;44.37469;21.88292
66.92825;42.96443;21.48286
66.92533;42.96979;21.48667
66.9185;43.04036;21.55344
66.91508;42.96693;21.46479
66.55175;44.08078;21.93948
67.0515;43.21672;21.8112
66.57208;44.07412;21.91917
66.96816;43.03141;21.58469
66.92233;43.03724;21.5649
66.48967;44.02922;21.91958
66.59367;44.00542;21.87448
66.59175;43.96078;21.90667
66.80717;44.03761;21.95083
66.96625;43.03464;21.56552
66.60384;43.90807;21.88099
66.92625;42.9637;21.48583
66.582;43.995;21.88552
66.78059;43.03912;21.51875
66.52116;43.57193;21.66641
66.18383;44.40813;21.86479
67.0125;43.21958;21.80745
66.87109;42.96464;21.4774
66.53433;43.90307;21.88156
66.86575;43.03568;21.53911
66.87458;43.04021;21.53766
66.54708;44.00161;21.87938
66.92758;42.96802;21.48823
66.88883;42.96594;21.46964
66.8685;42.96156;21.48682
66.90442;42.96349;21.48885
66.57433;43.96708;21.88062
66.49966;44.0737;21.92958
66.99409;43.03021;21.59406
66.86275;43.32318;21.80922
66.47733;43.96328;21.86818
66.87508;42.96781;21.46781
66.77808;43.03953;21.51667
67.00758;42.42109;21.30412
66.2485;44.30917;21.93906
66.477;43.94276;21.85698
66.54792;44.07896;21.90469
66.93667;43.03448;21.57339
66.71167;44.05536;21.92068
66.50075;43.94979;21.85969
