K5T6.PV;K5F5.PV;K5F6X.PV;K5T17.PV
177.7175;40.37476;33.29752;132.9925
177.715;39.15523;32.86184;132.2625
177.7137;38.6432;32.46759;132.2875
177.7125;36.88661;31.33418;133.7462
177.7112;39.56034;33.00311;131.755
177.7112;39.525;33.00979;132.1575
177.71;35.77239;30.12544;131.5775
177.7088;38.60404;32.83498;132.2456
177.7088;38.69637;32.95031;132.3531
177.7075;39.7596;33.07397;132.3581
177.7075;38.67011;32.64686;132.3169
177.7063;38.53636;32.86982;132.2256
177.7063;39.00724;32.9231;132.4662
177.7063;37.85743;32.75829;132.3719
177.7062;37.92406;32.87883;132.6106
177.705;38.66506;33.07362;132.325
177.705;39.04693;32.81399;132.3788
177.7038;39.40607;32.84711;132.32
177.7038;38.56768;32.49086;132.1731
177.7025;38.65866;32.83063;132.2538
177.7025;38.69966;32.50948;132.305
177.7;38.83006;33.02778;132.4181
177.7;39.12009;32.85543;132.4556
177.7;38.51296;32.58628;132.3056
177.6987;39.74395;32.94263;132.4044
177.6987;38.61423;32.30204;132.2287
177.6975;39.20901;32.85653;132.2094
177.6963;35.77605;30.06934;131.5888
177.6963;38.45832;32.82451;132.3825
177.6962;37.67391;30.39176;133.3338
177.6938;39.00813;32.89594;132.4438
177.6888;37.90465;32.987;131.79
177.6888;39.10912;32.99916;132.3406
177.6875;39.00987;32.79354;132.4438
177.6875;38.09455;33.08787;132.3106
177.6875;39.82258;32.69529;131.6
177.685;39.55534;33.03282;132.15
177.6825;39.05497;32.81667;132.4875
177.6812;35.79188;29.81062;131.4794
177.6812;39.05346;32.81804;132.4756
177.68;35.7919;30.07608;131.5756
177.68;38.61514;32.81991;132.3438
177.68;38.43845;33.00325;132.3681
177.6788;38.58426;32.40835;132.1581
177.6763;38.60836;32.89808;132.2206
177.6763;37.93748;32.90448;131.78
177.675;39.2604;32.85077;132.3225
177.6725;35.787;29.67378;131.4331
177.6725;39.02047;32.90998;132.4587
177.6712;37.59581;32.8921;133.7756
177.67;39.67215;32.88029;133.02
177.67;40.0706;32.94011;132.2087
177.6687;37.95721;32.68545;132.39
177.6675;40.12555;32.60423;131.5694
177.6662;38.42309;32.91076;132.4225
177.6662;39.05734;33.1579;132.34
177.6662;38.41291;32.68847;131.8731
177.6637;38.777;32.82098;132.4056
177.6637;38.40777;32.82104;132.3938
177.6625;39.99698;33.05144;132.3362
177.6625;38.99102;32.10412;132.0437
177.66;39.06499;32.669;132.4856
177.66;39.97407;33.02966;132.3131
177.6588;38.88436;32.06728;132.02
177.6575;38.08003;32.7834;131.7525
177.6575;38.11769;32.46278;132.3681
177.6563;39.02683;32.76662;132.1406
177.655;40.29958;33.48202;132.9431
177.655;39.01975;32.83272;132.4731
177.6537;40.0144;33.09594;132.2844
177.6537;38.09515;32.45295;132.3525
177.6525;37.9331;32.9323;132.5656
177.65;39.73061;32.75545;133.0513
177.65;38.67856;32.8468;132.3906
177.65;38.75769;32.88816;132.4075
177.65;38.45132;32.79072;131.8938
177.6488;38.94641;33.01038;132.4631
177.6463;38.75825;32.82938;132.4438
177.645;39.20721;32.91279;132.275
177.6425;39.07039;32.8561;132.4662
177.6425;38.28196;32.91797;131.7612
177.6413;40.08549;32.97652;132.2619
177.6413;38.64057;32.46725;132.1212
177.64;39.06837;32.7155;132.1769
177.6375;39.03316;32.79521;132.4869
177.6375;38.39716;32.88613;132.3819
177.635;35.3979;30.09915;131.6069
177.635;38.62099;32.56036;132.0931
177.6325;37.54604;32.96036;132.1288
177.6325;38.60799;32.33675;132.1163
177.6325;36.81841;31.24326;133.73
177.63;35.7892;29.9682;131.5156
177.63;39.06186;32.78952;132.1512
177.6275;37.92274;32.92375;131.775
177.6275;39.71173;32.88626;131.6913
177.6263;38.51994;32.70267;131.9256
177.625;38.55806;32.55638;131.9713
177.6237;37.9256;32.94378;131.7413
177.6237;38.93482;33.199;132.2437
177.62;39.03315;32.75217;132.125
177.62;38.50615;32.48171;131.9444
177.6175;38.49385;32.75226;131.8638
177.6163;38.13311;32.4241;132.3687
177.6162;39.6591;32.85032;132.3775
177.615;38.43373;32.90079;131.9175
177.6125;38.04135;32.631;132.3938
177.6113;39.03315;32.89431;132.0781
177.61;36.84853;31.40695;133.7437
177.6087;38.78415;32.81472;132.3719
177.605;35.79169;29.88437;131.4187
177.6013;40.05988;32.86449;132.1806
177.6;38.60867;32.87663;132.4444
177.6;39.55353;32.9167;132.1219
177.6;38.4343;32.60748;131.8931
177.5975;38.74247;32.78458;132.4837
177.5975;39.80467;32.69191;131.5656
177.5975;38.7233;32.5504;132.0163
177.595;38.46679;32.94985;132.4138
177.5938;38.53181;32.58411;131.9388
177.5925;35.78884;29.83367;131.4056
177.5925;38.14246;33.10381;132.3025
177.5912;35.08808;29.95781;131.6025
