K5F5.PV;K5F6X.PV
36.65779;29.09123
36.64809;29.05183
36.64005;28.86208
36.63972;29.78403
36.62869;28.17519
36.62698;30.01694
36.62282;29.59764
36.62239;30.49578
36.62093;30.36921
36.62088;29.70893
36.61335;28.0533
36.61179;25.25182
36.60181;30.07569
36.60148;29.82067
36.60061;30.06363
36.60048;29.84096
36.60048;29.15005
36.59908;29.3295
36.59037;28.24412
36.58956;29.71129
36.58678;28.33473
36.58669;30.04873
36.58335;30.52947
36.58087;28.17755
36.57722;28.91632
36.57383;29.12501
36.56907;29.96236
36.56781;28.02724
36.56591;29.21928
36.55402;28.90949
36.5475;29.17422
36.54505;29.35056
36.54458;29.15685
36.5417;29.30227
36.53754;28.95743
36.53558;28.66788
36.53162;29.06037
36.53001;28.36122
36.52776;29.42272
36.52687;29.15982
36.52657;29.37056
36.52269;30.05984
36.52205;29.06009
36.52018;29.16106
36.5117;29.13409
36.51049;27.71784
36.50605;29.45952
36.49504;27.56333
36.49477;29.05811
36.48719;29.25025
36.48453;30.07222
36.48254;30.82945
36.48061;28.57136
36.48029;28.48002
36.47763;29.79437
36.47684;29.19217
36.46652;28.57733
36.46649;29.0422
36.46498;28.36772
36.46368;28.526
36.45895;29.75865
36.45691;29.2605
36.45422;30.19553
36.45034;30.11306
36.44992;30.71536
36.44428;29.25772
36.444;28.87537
36.44062;29.29061
36.43923;28.57421
36.43191;28.54061
36.43132;29.29627
36.4291;28.04882
36.4288;28.30017
36.42518;29.46359
36.42159;28.13428
36.42109;27.94002
36.41973;28.24251
36.41488;29.23579
36.41315;27.40944
36.41312;29.76538
36.4123;29.13221
36.41165;30.09422
36.40995;28.10116
36.40912;28.53815
36.40703;30.27681
36.40629;28.78974
36.40443;30.56799
36.39687;28.42126
36.396;29.07889
36.39214;29.08258
36.39202;28.28145
36.38797;29.41119
36.38722;29.92705
36.38718;28.95844
36.38265;29.02186
36.37931;28.577
36.37673;29.3147
36.37654;29.49597
36.37628;30.44598
36.37216;28.90648
36.36648;29.98929
36.36214;29.41006
36.36151;29.17411
36.3568;28.16149
36.35258;28.27127
36.3465;29.35346
36.34623;29.0817
36.34112;27.86698
36.3385;29.02896
36.33187;29.16761
36.32764;29.31163
36.31466;29.31459
36.31118;28.71191
36.31116;29.31767
36.30672;28.45991
36.29838;28.94564
36.29562;29.20045
36.29155;28.58374
36.29151;28.59033
36.28823;27.49061
36.2805;29.22857
36.27764;30.32078
36.27662;29.85265
36.26767;27.04567
36.26489;30.58242
36.2575;29.34724
36.25744;28.2342
36.25689;29.2637
36.25521;28.59747
36.25383;28.73366
36.25183;27.969
36.25027;27.5687
36.24726;29.50943
36.24526;29.22529
36.24123;30.57191
36.23957;29.35324
36.23824;28.41887
36.23716;28.38248
36.22908;30.73385
36.22577;28.99024
36.22541;28.64144
36.22166;29.57911
36.21851;28.84423
36.21448;29.33259
36.21429;28.80511
36.21358;29.80334
36.20392;29.16097
36.20382;29.32102
36.20355;29.32421
36.20271;28.77627
36.2014;29.26772
36.19902;27.99095
36.1986;27.83711
36.19696;28.14209
36.18485;29.02161
36.17836;28.07791
36.17823;30.08361
36.17627;29.26574
36.17419;28.85665
36.16811;28.32548
36.16655;28.31673
36.16469;28.54576
36.16151;30.08733
36.1615;28.48593
36.15898;28.21805
36.15212;28.83369
36.15198;28.29576
36.14868;28.82461
36.14122;28.78461
36.13428;29.02682
36.12626;28.96193
36.12389;29.54561
36.12277;27.85739
36.117;28.30745
36.1144;27.95951
36.11031;29.48259
36.1085;27.20623
36.1011;29.57358
36.09964;28.75511
36.09918;28.66469
36.09829;28.45997
36.09718;28.44152
36.08887;29.90318
36.08867;29.39072
36.08083;27.96456
36.07986;28.06426
36.07835;28.60788
36.07265;27.30177
36.06807;28.7931
36.06259;28.22111
36.05866;28.54002
36.05405;31.66335
36.04802;28.19927
36.04721;28.12161
36.04475;30.08778
36.04177;29.835
36.0381;28.26231
36.03488;26.53072
36.03105;32.01591
36.03059;30.37806
36.03012;28.16147
36.0297;29.24818
36.0259;28.29812
36.01958;28.9611
36.01844;27.987
36.01664;27.61269
36.01305;28.92063
36.00953;28.32088
36.00047;28.3103
35.99514;28.20675
35.99406;29.79966
35.9916;30.23573
35.99051;27.82894
35.98861;28.2164
35.98785;28.28993
35.98272;28.27574
35.98112;29.78668
35.98007;28.64702
35.97919;29.67541
35.97547;29.34274
35.97496;28.14099
35.97406;29.48058
35.97205;25.41534
35.96375;28.34509
35.96045;27.38679
35.96001;28.04276
35.9554;30.3248
35.94802;29.73131
35.94226;31.42949
35.93741;29.48743
35.93625;28.86558
35.93104;29.07216
35.9289;29.13078
35.9285;28.2252
35.92788;27.74877
35.92545;28.60793
35.92315;28.58613
35.9195;28.26548
35.91852;27.59004
35.91588;30.38511
35.91521;27.97439
35.91508;28.39019
35.91495;28.47121
35.91216;30.25614
35.90808;27.18267
35.90459;29.3766
35.90398;28.29747
35.89592;28.31668
35.89275;29.84151
35.89161;27.41579
35.88747;28.19743
35.88464;30.24374
35.88247;28.25254
35.88066;27.14898
35.88018;25.67682
35.87631;25.82196
35.87607;29.32122
35.8695;29.05628
35.86821;29.18785
35.86793;25.85985
35.86776;25.7125
35.86776;27.71967
35.86589;28.57631
35.86396;28.67999
35.86118;27.20414
35.85352;28.33309
35.85266;28.3931
35.84888;27.83383
35.84727;28.10551
35.84575;29.83382
35.84204;30.58681
35.84142;29.7013
35.84117;28.1064
35.84013;28.17352
35.83909;28.41407
35.8364;27.47678
35.8358;27.34563
35.82773;28.03584
35.82573;27.72598
35.82539;27.53738
35.81716;27.42152
35.81146;28.12999
35.80556;28.97397
35.80415;28.57506
35.80109;28.39021
35.79144;25.58263
35.78943;27.27843
35.78786;28.12321
35.78118;28.18733
35.77692;25.56413
35.77663;28.13599
35.7765;28.74788
35.77557;28.26008
35.77322;30.41595
35.77163;25.73664
35.77005;32.13367
35.76696;28.44311
35.76608;27.52115
35.76414;29.16409
35.76362;27.70145
35.76291;30.80358
35.7605;27.77343
35.76046;28.24841
35.76015;27.16398
35.75917;28.18405
35.75654;28.18506
35.75636;27.73604
35.75329;30.36529
35.74648;29.12646
35.74252;28.53019
35.74114;29.13105
35.73996;28.90093
35.7384;25.7951
35.73787;28.49704
35.73466;27.60932
35.7322;25.46281
35.72964;25.84952
35.72701;25.61143
35.72541;25.79798
35.72419;27.83912
35.72412;28.84598
35.72372;28.18485
35.72304;28.66744
35.72235;28.52227
35.72005;28.52914
35.7176;28.554
35.71641;28.11804
35.71614;28.55688
35.71405;28.28009
35.70449;30.86265
35.70242;29.00433
35.70184;29.13637
35.69929;25.71539
35.69776;27.63987
35.69078;29.93577
35.69061;27.5321
35.68999;27.06017
35.6876;28.72905
35.68649;27.97841
35.68629;29.39193
35.67904;28.67552
35.67448;28.71918
35.67428;28.17875
35.67054;27.95862
35.67038;26.32373
35.66939;28.82069
35.66447;25.83329
35.66349;29.38405
35.6613;28.30068
35.66093;25.5775
35.65927;29.45528
35.65898;28.22626
35.65544;29.04832
35.65172;28.51483
35.65098;29.59929
35.65089;29.31277
35.64202;28.1342
35.64148;28.21157
35.64103;28.52873
35.64077;28.94255
35.63562;28.59533
35.63177;25.74507
35.63085;30.2666
35.62918;27.2503
35.62819;29.32347
35.62527;28.16236
35.6226;25.82057
35.62093;25.62384
35.62014;28.95752
35.61999;28.99068
35.61833;27.71524
35.61519;28.61942
35.61182;25.99533
35.61027;27.32046
35.60526;28.84109
35.60447;26.88674
35.60273;27.94617
35.6016;27.70387
35.59999;28.76623
35.59859;27.88236
35.59629;28.01857
35.59386;28.3642
35.58951;25.54593
35.58928;28.54597
35.58847;28.1256
35.58841;30.21338
35.58638;27.96698
35.58452;26.32074
35.58198;25.86165
35.58161;27.48446
35.58099;28.35481
35.57469;25.39886
35.56969;25.5536
35.5695;28.47766
35.56604;29.25861
35.56557;28.30595
35.56328;29.08294
35.56302;28.21664
35.55696;25.77902
35.55616;27.07568
35.55567;27.58792
35.55183;29.13223
35.54949;25.68307
35.54827;28.17165
35.54455;28.46594
35.54132;28.59065
35.53877;28.21651
35.53691;29.0064
35.53686;29.13584
35.53617;27.63841
35.53493;28.99678
35.53227;27.58013
35.53149;28.62798
35.531;28.33083
35.52829;30.05877
35.52588;26.66045
35.52406;25.70444
35.52365;28.81558
35.52319;28.22501
35.52267;28.21656
35.52092;25.43308
35.51831;25.88109
35.51617;29.25827
35.51364;25.05942
35.51181;28.33774
35.51142;27.98454
35.51061;25.76429
35.51044;28.16704
35.51019;27.84286
35.50875;28.93254
35.50869;27.71268
35.50776;27.25079
35.50721;25.42628
35.50242;28.46086
35.50012;27.44291
35.49947;25.78777
35.49853;28.09166
35.4977;25.66766
35.49603;28.56188
35.4957;29.41707
35.49401;27.74241
35.48933;25.62457
35.48912;28.20202
35.48876;28.61122
35.48359;28.68291
35.48307;28.11999
35.48251;27.7284
35.48156;28.94074
35.48093;25.72523
35.48091;29.08897
35.47724;27.65116
35.47712;27.48227
35.47124;28.44779
35.47038;27.49018
35.46874;26.5538
35.468;28.20774
35.46503;29.03472
35.46321;28.80696
35.46293;27.81065
35.46212;28.04199
35.46167;25.63292
35.46112;25.78236
35.46087;27.31021
35.45955;28.33746
35.45866;28.29651
35.45555;28.77482
35.45509;25.66249
35.45488;28.39369
35.45229;26.17347
35.45027;28.99806
35.44962;28.0712
35.44761;27.96585
35.44373;30.0623
35.44308;28.1127
35.44136;25.75167
35.43943;28.33052
35.43823;26.85272
35.43797;28.7853
35.43673;29.08004
35.42919;28.76839
35.42883;28.27822
35.42855;25.36578
35.42776;28.54134
35.42684;28.36262
35.42682;27.78065
35.42633;28.41959
35.42494;26.7605
35.42389;25.70362
35.42279;28.41379
35.4213;28.45677
35.41768;27.77351
35.41724;25.74279
35.4165;28.42011
35.41642;28.96542
35.41504;28.63726
35.41452;27.05217
35.41272;28.35989
35.41147;27.38614
35.40771;28.61669
35.407;27.93383
35.40491;27.94713
35.4049;27.55849
35.40385;27.80142
