K0P125.PV;K5Q2_2.PV;K5FCV4_2I.PV;K5P6.PV;K5PCV6I.PV;K5PCV17_1I.PV;K5P17_1.PV;K5PCV17_2I.PV;K5P17_2.PV;K5F3.PV;K5T20.PV;K5P110.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5HCV60I.PV;K5P16_1.PV;K5GKAL.PV;K5HCV61I.PV;K5P16_2.PV;K5FCV4_1I.PV;K5Q2_1.PV;K5P4_1.PV
68.01682;389.854;5.760567;0.8968694;95.01558;71.06522;6.061024;98.4805;5.885575;2193.885;-9.00075;65.43452;30.11079;152.103;4.012361;97.81992;0.592972;15.66813;98.0183;0.6783535;10.33414;390.9055;11.58139
67.97913;396.6094;5.769751;0.9500905;95.12183;71.13429;6.290812;98.53064;6.09369;2231.033;-7.3011;65.39336;30.58424;154.2365;4.004614;97.83655;0.6335366;15.91487;98.03017;0.7145444;10.3317;400.8636;11.99927
67.97134;304.3525;9.970403;1.155531;95.70911;70.85853;7.827801;98.52289;7.630862;2502.082;-8.563046;64.72391;34.00441;158.3549;4.038913;99.08965;0.7718979;17.87385;98.05887;0.8702077;15.48917;1222.544;14.79426
67.96342;296.6823;10.00827;1.041015;95.67174;70.77719;7.259575;98.50158;7.083014;2401.326;-9.231652;64.82765;32.85442;153.3861;4.02981;99.12554;0.6898516;17.16026;98.07903;0.7858152;15.49235;1183.368;13.80313
67.94608;370.6187;5.702003;0.9456407;95.08073;70.98629;6.519114;98.42998;6.338137;2268.359;-6.147578;65.46597;31.05623;152.603;4.021081;97.79111;0.6267016;16.17225;98.01542;0.7132157;10.66716;379.9566;12.39232
67.93164;337.8954;5.737898;0.9760652;95.06731;70.78584;6.70652;98.27245;6.528211;2329.154;-12.13757;65.22506;31.43694;152.9251;4.022549;97.77431;0.6409813;16.69625;98.03175;0.7365635;10.43337;342.9806;12.70368
67.91381;402.636;5.469247;0.9255994;95.37217;70.89096;6.607164;98.34824;6.429221;2288.75;-6.954506;65.21545;31.1937;151.9425;4.010426;97.84824;0.6085835;16.34785;97.92126;0.7005917;10.34894;407.5899;12.55865
67.89727;395.0548;5.434742;0.9966604;95.16729;71.01646;6.963613;98.47229;6.77503;2354.634;-5.977488;65.35458;31.92125;154.6063;4.017627;97.6302;0.6622303;16.84275;97.96503;0.7519825;10.57297;408.4299;13.1698
67.88683;381.1544;5.503661;1.019804;95.23051;71.13469;7.160998;98.55997;6.963173;2385.722;-5.356497;65.27906;32.32029;156.7917;4.010926;97.66616;0.680452;17.0685;97.97223;0.7681909;10.56712;396.5172;13.50087
67.88411;348.079;5.747931;0.9378932;94.81712;70.7719;6.296427;98.24819;6.116176;2252.302;-12.34442;65.28783;30.60605;152.4722;4.023026;97.75998;0.6144547;16.14324;98.03347;0.708423;10.39837;352.8842;11.98756
