K5PS14_1.PV;K0P102_1.PV
4.148681;4.120106
4.194019;4.120106
4.184531;4.120106
4.1778;4.120106
4.17045;4.120088
4.186331;4.120088
4.196794;4.120069
4.197769;4.120069
4.168294;4.12005
4.142363;4.12005
4.204875;4.12005
4.183781;4.12005
4.1817;4.12005
4.177294;4.12005
4.139587;4.120031
4.145869;4.120031
4.1487;4.120031
4.202044;4.120031
4.184587;4.120013
4.142906;4.120012
4.146619;4.119994
4.179263;4.119994
4.181025;4.119994
4.177406;4.119994
4.204688;4.119975
4.194656;4.119975
4.179862;4.119975
4.179975;4.119975
4.198894;4.119956
4.18365;4.119956
4.148569;4.119937
4.149413;4.119937
4.143544;4.119937
4.144275;4.119919
4.199663;4.119919
4.188544;4.119919
4.182544;4.119919
4.147762;4.1199
4.141444;4.1199
4.195538;4.1199
4.181325;4.1199
4.196006;4.119881
4.140225;4.119863
4.204575;4.119863
4.197919;4.119863
4.198894;4.119863
4.194919;4.119863
4.18155;4.119844
4.179825;4.119844
4.144294;4.119843
4.197525;4.119843
4.145981;4.119825
4.1982;4.119825
4.14795;4.119806
4.140844;4.119806
4.2027;4.119806
4.1763;4.119806
4.142925;4.119788
4.171537;4.119788
4.143356;4.11975
4.200094;4.11975
4.196175;4.11975
4.1862;4.119731
4.195875;4.119712
4.1949;4.119712
4.194881;4.119712
4.137281;4.119675
4.19925;4.119657
4.179619;4.119657
4.181737;4.119656
4.183669;4.119656
4.141481;4.119637
4.196175;4.119637
4.203319;4.119619
4.197731;4.119619
4.143;4.1196
4.197169;4.1196
4.139832;4.119581
4.1706;4.119581
4.199625;4.119581
4.197675;4.119581
4.181119;4.119563
4.139156;4.119544
4.1424;4.119544
4.19985;4.119544
4.186931;4.119544
4.147181;4.119506
4.200225;4.119506
4.18815;4.119506
4.185694;4.119506
4.146713;4.119488
4.194488;4.119488
4.144463;4.119469
4.142513;4.119469
4.13895;4.11945
4.149638;4.11945
4.196306;4.11945
4.178813;4.11945
4.166812;4.119431
4.198125;4.119431
4.199007;4.119431
4.184325;4.119431
4.195087;4.119412
4.181044;4.119412
4.202925;4.119394
4.204069;4.119394
4.181175;4.119394
4.202063;4.119375
4.1937;4.119375
4.176956;4.119375
4.141744;4.119356
4.199344;4.119356
4.182375;4.119356
4.14075;4.119338
4.144537;4.119338
4.141538;4.119338
4.199512;4.119338
4.19835;4.119338
4.197375;4.119338
4.178288;4.119338
4.143862;4.119319
4.1817;4.119319
4.14315;4.119281
4.147237;4.119263
4.19295;4.119263
4.182675;4.119263
4.179731;4.119263
4.147031;4.119225
4.193438;4.119225
4.18395;4.119225
4.185844;4.119225
4.196175;4.119206
4.14645;4.119187
4.138969;4.11915
4.153069;4.119131
4.198613;4.119131
4.180987;4.119131
4.144575;4.119112
4.143113;4.119112
4.196288;4.119112
4.145006;4.119075
4.180162;4.119075
4.146225;4.119056
4.147744;4.119056
4.143619;4.119056
4.194112;4.119056
4.176037;4.119056
4.141744;4.119038
4.137094;4.119038
4.191244;4.119038
4.197863;4.119019
4.182525;4.119019
4.143562;4.119
4.199512;4.119
4.193869;4.119
4.189575;4.119
4.182431;4.119
4.178325;4.119
4.140469;4.118963
4.170675;4.118962
4.203394;4.118962
4.198519;4.118962
4.201388;4.118944
4.194281;4.118944
4.185769;4.118944
4.180425;4.118944
4.141706;4.118925
4.194637;4.118925
4.186763;4.118925
4.142287;4.118887
4.143375;4.118887
4.14495;4.118887
4.190044;4.118887
4.179544;4.118887
4.145719;4.118869
4.145437;4.118869
4.142831;4.11885
4.147162;4.11885
4.188319;4.11885
4.177669;4.11885
4.148438;4.118831
4.145269;4.118831
4.152937;4.118831
4.191975;4.118831
4.198444;4.118813
4.144369;4.118794
4.154531;4.118794
4.198237;4.118794
4.201894;4.118793
4.18215;4.118775
4.180256;4.118775
4.180069;4.118756
4.178513;4.118719
4.176469;4.118719
4.139025;4.1187
4.152881;4.1187
4.18065;4.1187
4.177894;4.1187
4.142906;4.118681
4.14525;4.118681
4.190269;4.118681
4.141894;4.118663
4.140975;4.118662
4.194131;4.118662
4.183744;4.118662
4.166081;4.118644
4.145625;4.118644
4.153819;4.118644
4.176956;4.118644
4.140975;4.118625
4.181269;4.118606
4.180894;4.118606
4.197113;4.118587
4.194319;4.118587
4.144969;4.118569
4.141538;4.118569
4.188956;4.118569
4.18125;4.118569
4.1457;4.11855
4.145456;4.11855
4.147013;4.11855
4.198519;4.11855
4.193231;4.11855
4.182844;4.11855
4.14615;4.118531
4.1982;4.118531
4.203469;4.118531
4.189387;4.118531
4.154757;4.118513
4.18635;4.118513
4.132406;4.118494
4.1946;4.118494
4.194468;4.118494
4.143394;4.118475
4.193906;4.118475
4.18755;4.118475
4.146094;4.118456
